roc_length,smooth_length,flip_accuracy,whipsaw_rate,avg_trend_duration,zone_accuracy,composite_score,total_flips,total_extreme_entries,bars_tested
20,8,0.7796635877328512,0.24075,21.96124031007752,0.7724080958281702,0.5798055285671176,4000,2421,87876
16,8,0.7753862566257239,0.24680194089104543,19.374586366644607,0.7661126874746655,0.575703989844908,4534,2467,87876
14,8,0.7662432216763116,0.24353713582273287,18.02277857582598,0.7812624057165541,0.5755156709740014,4874,2519,87876
12,8,0.7682181358891595,0.25131282820705175,16.4732695554305,0.7881558028616852,0.5752088129071188,5332,2516,87876
10,8,0.7758756496280595,0.25408317898636135,14.790333445604581,0.7702915681639085,0.5744209635170328,5939,2538,87876
8,8,0.7766697488984645,0.2648876827981306,13.242460796139927,0.769319051262433,0.5717638233632587,6633,2614,87876
20,6,0.7780422486635462,0.2916301489921122,19.246767477536707,0.7835400225479143,0.5680333626091114,4564,2661,87876
14,6,0.7639880370733384,0.2785438499724214,16.150239058477382,0.7854761022600963,0.5665001878855357,5439,2699,87876
10,6,0.7751358801772726,0.28939828080229224,13.246606334841628,0.7748319641523524,0.5659264926176291,6631,2678,87876
16,6,0.7766894560486763,0.298743961352657,16.974294549671434,0.7760029717682021,0.5645215745114016,5175,2692,87876
12,6,0.7693481774834607,0.2921926910299003,14.590297391593287,0.7750368188512519,0.5633093761358708,6020,2716,87876
8,6,0.7761786528878587,0.302727877578177,11.688048975246208,0.7670007158196135,0.5616956972697509,7515,2794,87876
6,8,0.7772767521379685,0.3145130245091749,11.271175564681725,0.7653733528550513,0.558865921417811,7793,2732,87876
10,5,0.7745658809243586,0.32262086161518216,12.167497921862012,0.7788393489030432,0.5579610558930092,7219,2826,87876
12,5,0.7693564091261439,0.3191687344913151,13.62168450442066,0.7751748251748252,0.5565338348123605,6448,2860,87876
20,5,0.7739190618544579,0.33293460925039875,17.512063808574275,0.7841956059532247,0.556263767883899,5016,2822,87876
14,5,0.7659332221681346,0.3204977299478729,14.770433905146318,0.7810399717014503,0.5559486044451597,5947,2827,87876
8,5,0.7747067556778919,0.333127851066453,10.829099876695437,0.7711631108052306,0.5541560263297748,8111,2906,87876
6,6,0.7801891272308036,0.345395107654154,9.901240135287486,0.7745786516853933,0.5534675796637888,8871,2848,87876
16,5,0.7720206778524749,0.3383471951866926,15.544247787610619,0.7703600139811255,0.5520588827052875,5651,2861,87876
10,4,0.7765861907613708,0.3585455466869378,11.128357830714648,0.7755577755577756,0.5491356317025886,7893,3003,87876
6,5,0.7795987271587183,0.3684320049942774,9.138813735691988,0.7777010700724888,0.5479266972522931,9611,2897,87876
12,4,0.771637423745627,0.3628579449747333,12.328934437736908,0.775008308408109,0.546311354438802,7124,3009,87876
14,4,0.7701943077616794,0.36534668487331207,13.32701062215478,0.7788493515131361,0.5458170242303598,6591,3007,87876
8,4,0.777004238397129,0.3714573764982637,9.839121667040107,0.771551724137931,0.5453797277900873,8927,3016,87876
20,4,0.7749307982340897,0.37902648532569794,15.719169500626455,0.7794854660875375,0.544286372878098,5588,2993,87876
5,8,0.7765706073103519,0.3759953837276399,10.136657433056325,0.7676625659050966,0.5435270106636143,8665,2845,87876
6,4,0.7782893412342888,0.39969619291749736,8.338777060387391,0.7792807654239525,0.5398437987284725,10533,3031,87876
16,4,0.7693435098683726,0.3829956930929973,14.011646458200383,0.7637795275590551,0.5388854739737297,6269,3048,87876
5,6,0.7785645490920335,0.4107812341675955,8.899777057154438,0.7758324751115688,0.5366835375972682,9869,2914,87876
10,3,0.7771064444992906,0.41603784209933553,9.892318089659833,0.7703889585947302,0.534098995483129,8879,3188,87876
14,3,0.773501688267119,0.4278124584938239,11.666312433581297,0.7760689018763457,0.5308466055585874,7529,3251,87876
12,3,0.7734082775421541,0.42811735941320295,10.737131678689327,0.7722496909765142,0.5301119360819295,8180,3236,87876
8,3,0.7741110140854047,0.42778379442748843,8.647400551398189,0.770720863766275,0.5300930587697145,10157,3149,87876
5,5,0.778920336215314,0.4353460418818668,8.247839969947409,0.7720759746751082,0.5300662919473964,10649,3002,87876
6,3,0.7788901496055156,0.4438624651516431,7.4200743494423795,0.7764595691539182,0.5285370614847424,11837,3203,87876
20,3,0.7775361751560519,0.446,13.513309739959993,0.774916691911542,0.5276440502101509,6500,3301,87876
16,3,0.7687649830483889,0.4447823082239115,12.14058612109483,0.7703320134023759,0.5241127484218958,7235,3283,87876
5,4,0.7759532348062,0.4644488494354908,7.5696431649715565,0.7738209817131858,0.5219752673377387,11603,3118,87876
10,2,0.7766031477832461,0.5069907103312377,8.241741741741741,0.7675150128681727,0.5106596176336254,10657,3497,87876
5,3,0.7783794664220586,0.5125585682464091,6.746274389307113,0.7713498622589532,0.5103795024520692,13019,3268,87876
6,2,0.7792597228020529,0.5162125242648645,6.3145671555939025,0.770974389166912,0.5096932187844407,13909,3397,87876
8,2,0.7760722681765374,0.5146024654587573,7.26650670196922,0.7718417945690673,0.5091643989732987,12087,3388,87876
12,2,0.7735376081629792,0.5119983661799244,8.96905637254902,0.7654390934844193,0.5080647599041489,9793,3530,87876
20,2,0.7750289418705513,0.5202046035805626,11.231871083258728,0.7675054704595186,0.5069738743366312,7820,3656,87876
14,2,0.7711658254442275,0.5234316353887399,9.41913341913342,0.7744848998024273,0.5057587982424562,9325,3543,87876
16,2,0.7718826789985079,0.5265963479641601,9.962000907441016,0.7734946539110861,0.5051008702269296,8817,3554,87876
5,2,0.7791488147455791,0.5861098383190417,5.7490835297198215,0.7670789163722026,0.4915635764428285,15277,3397,87876
