roc_length,smooth_length,flip_accuracy,whipsaw_rate,avg_trend_duration,zone_accuracy,composite_score,total_flips,total_extreme_entries,bars_tested
20,8,0.7993311036789298,0.1806020066889632,26.043624161073826,0.8019323671497585,0.6214914224423216,299,208,7851
10,8,0.8043310131477185,0.20417633410672853,18.09767441860465,0.8076923076923077,0.6131513301435291,431,208,7851
12,8,0.7991769547325104,0.20987654320987653,19.262376237623762,0.8219895287958116,0.6128086943893835,405,191,7851
16,8,0.7889822595704948,0.19887955182072828,21.786516853932586,0.8080808080808081,0.6115110189186952,357,199,7851
12,6,0.7999999999999999,0.226457399103139,17.528089887640448,0.815,0.6067986166537404,446,200,7851
20,6,0.8035190615835778,0.2404692082111437,22.888235294117646,0.8046511627906977,0.6063886808415572,341,216,7851
14,8,0.7651309846431796,0.19241192411924118,21.14673913043478,0.8210526315789474,0.6063183033139525,369,190,7851
20,5,0.805318138651472,0.245014245014245,22.234285714285715,0.8037383177570093,0.6053286965188776,351,215,7851
14,6,0.8014184397163119,0.24822695035460993,18.44075829383886,0.8238341968911918,0.6037590556876912,423,193,7851
16,6,0.778063410454156,0.2210796915167095,20.054123711340207,0.803921568627451,0.6004122063103872,389,205,7851
14,5,0.785449146250928,0.2561247216035635,17.370535714285715,0.8177339901477833,0.5945987455441579,449,203,7851
20,4,0.7989556135770236,0.27676240208877284,20.3717277486911,0.801762114537445,0.5936821514452124,383,228,7851
10,6,0.796260477111541,0.26640926640926643,15.087040618955513,0.8009478672985783,0.5918393864991859,518,211,7851
16,5,0.7706855791962175,0.25059101654846333,18.438388625592417,0.8084112149532711,0.590096581515923,423,215,7851
12,5,0.7843137254901961,0.26720647773279355,15.81947261663286,0.8086124401913876,0.5890748643093551,494,209,7851
16,4,0.7872947894361171,0.29336188436830835,16.697424892703864,0.8162393162393162,0.585282550482854,467,235,7851
14,4,0.7838383838383839,0.2923387096774194,15.757575757575758,0.8160377358490566,0.5836998113643445,496,212,7851
10,5,0.7932044522554188,0.3105263157894737,13.708260105448154,0.8294930875576036,0.5831442062035047,570,217,7851
8,6,0.7937608318890814,0.27854671280276816,13.518197573656845,0.7748917748917749,0.5830225994041984,578,231,7851
6,8,0.7987421383647799,0.28987993138936535,13.371134020618557,0.7816593886462883,0.5828542349654282,583,229,7851
8,8,0.7845761631612492,0.2829827915869981,14.908045977011493,0.7964601769911505,0.5828193469715888,523,226,7851
6,6,0.8143074581430746,0.3201820940819423,11.851063829787234,0.7920353982300885,0.5813148834000401,659,226,7851
8,5,0.7952928297755882,0.3006535947712418,12.76595744680851,0.7887931034482759,0.5796382046454591,612,232,7851
20,3,0.7950502706883218,0.31786542923433875,18.09767441860465,0.7875,0.5784519503469915,431,241,7851
12,4,0.7791970802919708,0.3114754098360656,14.231751824817518,0.8082191780821918,0.5751466578292109,549,219,7851
8,4,0.7997360964054211,0.33088235294117646,11.4860088365243,0.8008658008658008,0.5746319129849158,680,231,7851
5,8,0.7974068071312802,0.3247172859450727,12.616504854368932,0.7905982905982906,0.5745377713898763,619,234,7851
6,5,0.8064516129032259,0.3384615384615385,10.92156862745098,0.7956521739130434,0.5739460330717991,715,230,7851
10,4,0.785329018338727,0.33494363929146537,12.580645161290322,0.8243243243243243,0.5727900243752057,621,222,7851
12,3,0.7903050108932462,0.36867862969004894,12.743464052287582,0.8370044052863436,0.5681035794046316,613,227,7851
16,3,0.7715210355987056,0.34757281553398056,15.138132295719844,0.8059071729957806,0.5636661288673624,515,238,7851
5,6,0.7859848484848485,0.3555240793201133,11.059574468085106,0.7982832618025751,0.5629995841072177,706,233,7851
14,3,0.7826596367896895,0.37894736842105264,13.708260105448154,0.8169642857142857,0.560468937356107,570,224,7851
5,5,0.7945326278659612,0.3786279683377309,10.299867899603699,0.7957446808510639,0.5593507195935389,758,235,7851
10,3,0.7873563218390803,0.38912732474964234,11.174785100286533,0.8185654008438819,0.5581944825013867,699,237,7851
6,4,0.7892376123867582,0.37888198757763975,9.699004975124378,0.8025210084033614,0.5580677420074871,805,238,7851
8,3,0.8011779736342856,0.414004914004914,9.592865928659286,0.8155737704918032,0.5553564552733149,814,244,7851
20,2,0.8050793650793651,0.4247619047619048,14.849236641221374,0.7874015748031497,0.5531544456164743,525,255,7851
6,3,0.7855550196760959,0.4221267454350161,8.387096774193548,0.8049792531120332,0.5455008779152637,931,241,7851
5,4,0.7805507000723909,0.42775229357798167,8.951779563719862,0.7966101694915254,0.541447241229656,872,236,7851
8,2,0.8038262891580454,0.47619047619047616,8.081865284974093,0.8063241106719368,0.5383872279808628,966,253,7851
10,2,0.7892628205128206,0.47664670658682634,9.351318944844124,0.8257261410788381,0.5368947271377627,835,241,7851
16,2,0.7685636856368564,0.44552845528455287,12.672638436482085,0.8063241106719368,0.5366345088629088,615,254,7851
6,2,0.7922973550791034,0.47162790697674417,7.262569832402234,0.8170731707317073,0.5365833245968304,1075,246,7851
12,2,0.790437890974084,0.4564926372155288,10.454423592493297,0.7795275590551181,0.5361172567701036,747,254,7851
5,3,0.7793279352671822,0.47017189079878663,7.894736842105263,0.8270042194092827,0.534300291868103,989,237,7851
14,2,0.7701317715959005,0.4590643274853801,11.420204978038067,0.8095238095238095,0.5334816990171659,684,252,7851
5,2,0.7883913296862369,0.5430962343096234,6.532663316582915,0.8264462809917356,0.5182902510227926,1195,242,7851
