roc_length,smooth_length,flip_accuracy,whipsaw_rate,avg_trend_duration,zone_accuracy,composite_score,total_flips,total_extreme_entries,bars_tested
20,8,0.7787121212121212,0.24130879345603273,22.71818181818182,0.7938257993384785,0.5824316754029276,4401,2721,100013
16,8,0.7762518412146702,0.23594600040298205,20.144296654574767,0.7810351067680058,0.5808639942514101,4963,2763,100013
14,8,0.7745345600394803,0.236944085624654,18.448504983388705,0.7701190905810177,0.5782912435442813,5419,2771,100013
12,8,0.772730011615054,0.24271026462160797,16.849629130141604,0.7804878048780488,0.577693480589728,5933,2829,100013
20,6,0.7831488466276656,0.2748324192565509,20.308614384396588,0.7830374753451677,0.5738649115377052,4923,3042,100013
10,8,0.7685093863949547,0.25285285285285286,15.009911398107825,0.7815155807365439,0.5737428071536655,6660,2824,100013
16,6,0.7747117021767694,0.27351947359061,17.779082177161154,0.7834645669291339,0.5711777509634322,5623,3048,100013
8,8,0.7763138925732832,0.2728974461826447,13.367210484086653,0.7757137942896457,0.5705108436470647,7479,2907,100013
14,6,0.7763398358846473,0.2793853196011117,16.34287115761936,0.7799342105263158,0.5696797815813224,6117,3040,100013
10,6,0.7763833391217324,0.2881105743424584,13.41444101462891,0.7764550264550265,0.5668454139434442,7452,3024,100013
12,6,0.7705860578148415,0.2866696388765047,14.856123662306778,0.7808355437665783,0.5659057517119184,6729,3016,100013
20,5,0.7802078243375599,0.31230283911671924,18.551224944320712,0.788377874456184,0.5641811505873214,5389,3218,100013
8,6,0.7751006512463645,0.295397489539749,11.951219512195122,0.7726240674667532,0.5639269489740837,8365,3083,100013
16,5,0.7752991370048817,0.30516586895527315,16.499504787058434,0.7868445547626435,0.5639147819337988,6059,3223,100013
10,5,0.7775337873599901,0.3106430989093644,12.532848545636911,0.7743362831858407,0.5612530543008867,7977,3164,100013
14,5,0.772388266852742,0.31040751401302835,15.14439393939394,0.7779183802594116,0.5601788932053188,6601,3161,100013
12,5,0.772266288256236,0.31322634200332045,13.830358378303584,0.7768388106416275,0.5592038650183674,7228,3195,100013
6,8,0.7711551694492726,0.308152924919392,11.512150178509732,0.7667867671143138,0.5584596258342203,8684,3053,100013
8,5,0.7758266116003529,0.32416070445789763,11.003963011889036,0.7802746566791511,0.5580904630816538,9085,3204,100013
20,4,0.7774378988235188,0.35294117647058826,16.849966284558327,0.7861689814814815,0.5526357064964901,5933,3456,100013
6,6,0.7763023823236798,0.33591047812817904,10.169701902533319,0.7626325639426076,0.5526315178732908,9830,3206,100013
16,4,0.7736150825072965,0.3526964789778636,14.8518573551263,0.7862371888726208,0.5512692338072127,6731,3415,100013
10,4,0.7744426039668285,0.35097747799245455,11.429453464440888,0.7764776477647765,0.5503535874464239,8747,3333,100013
12,4,0.7735797962750496,0.3535570131180626,12.608931499936924,0.7781427291728874,0.5497154494202801,7928,3349,100013
6,5,0.7792224225744203,0.35338773960903397,9.486381322957198,0.7645102781136639,0.5495317121285224,10538,3308,100013
8,4,0.7775365842085494,0.3561989306970645,10.084745762711865,0.7689798339264532,0.5489392186335028,9913,3372,100013
5,8,0.7771255394664639,0.35906111228589555,10.569736702971344,0.7707286432160804,0.5483663753649908,9458,3184,100013
14,4,0.7709987223780015,0.3551762114537445,13.761944100234063,0.7736576683476714,0.5477921579850175,7264,3371,100013
5,6,0.7829312967619758,0.3891786179921773,9.30967681847816,0.7720254314259763,0.5430005374184339,10738,3303,100013
6,4,0.7802488291239261,0.3859679365626616,8.616326178777692,0.7653419053185272,0.5418271521605864,11602,3422,100013
10,3,0.7763367095947551,0.40496288009763043,10.16680227827502,0.7725501113585747,0.5368679190758316,9833,3592,100013
20,3,0.7739630694879279,0.41050782965022686,14.631001170960188,0.7840637450199203,0.536601133630608,6833,3765,100013
5,5,0.7824182158812509,0.4125021615078679,8.643147427583225,0.7659131469363474,0.5360399084201464,11566,3362,100013
12,3,0.7739538530215023,0.41071825661552147,11.114311130879573,0.7751330159619154,0.5350298801208447,8994,3571,100013
8,3,0.7722597772469547,0.40889925540504174,8.968239727256416,0.774639932222536,0.5347104517189358,11147,3541,100013
14,3,0.7746721778286839,0.41220165611300535,12.172938740713677,0.7682758620689655,0.5339347953453515,8212,3625,100013
16,3,0.7726572197789997,0.4152069547164915,12.97080197248897,0.774829001367989,0.5335010942480959,7707,3655,100013
6,3,0.7803763236078313,0.43616697135892746,7.614687285746934,0.7617338487023744,0.5287307326036188,13128,3622,100013
5,4,0.7822222222222223,0.4504911897707781,7.793996101364522,0.7679719462302746,0.5267404214203031,12826,3422,100013
8,2,0.7775123112666158,0.4916243462442204,7.577167980594299,0.7680343255564495,0.5148071803695675,13193,3729,100013
5,3,0.7821784467411158,0.5027049521431544,6.933342581674412,0.7732962447844228,0.5144272771094802,14418,3595,100013
12,2,0.7772269540071194,0.5020377917747314,9.259008800370541,0.7763636363636364,0.5134374216776385,10796,3850,100013
10,2,0.7769360265501407,0.4974189726664974,8.459715639810426,0.7682606410930111,0.5132348930908629,11817,3806,100013
20,2,0.7723082859529155,0.5040959278166924,11.868796010448824,0.7802062868369352,0.5119082238182637,8423,4072,100013
14,2,0.7744450476368803,0.5026036451031444,10.010215322984477,0.7681232634503663,0.5111237906228842,9986,3959,100013
6,2,0.7818839167803251,0.5089622028834914,6.492043904656751,0.7608182533438238,0.510866118156247,15398,3813,100013
16,2,0.7753353940051118,0.508950323058998,10.58813559322034,0.76998001998002,0.5101561480997681,9441,4004,100013
5,2,0.7834334304572755,0.5738494470210489,5.9438663257418085,0.7735449735449735,0.49706823962270813,16818,3780,100013
