roc_length,smooth_length,flip_accuracy,whipsaw_rate,avg_trend_duration,zone_accuracy,composite_score,total_flips,total_extreme_entries,bars_tested
20,8,0.8016147635524797,0.18685121107266436,26.90277777777778,0.7748917748917749,0.6172216579559603,289,231,7850
20,6,0.8035527690700105,0.21316614420062696,24.364779874213838,0.7792792792792793,0.6103627930889864,319,222,7850
16,8,0.7647058823529412,0.15170278637770898,24.062111801242235,0.7619047619047619,0.6093332623754804,323,210,7850
20,5,0.8071216617210683,0.228486646884273,23.05952380952381,0.7719298245614035,0.6058479883486524,337,228,7850
14,8,0.7669526820211751,0.20273972602739726,21.38736263736264,0.7681159420289855,0.5965884224777522,365,207,7850
8,8,0.7867694283879255,0.26011560693641617,15.027027027027026,0.757847533632287,0.5835888830407976,519,223,7850
20,4,0.7915590008613265,0.29198966408268734,20.072538860103627,0.7768595041322314,0.5833622164994192,387,242,7850
12,8,0.7589697940775029,0.2360097323600973,18.98780487804878,0.7635467980295566,0.583263157775961,411,203,7850
10,6,0.7695010008409433,0.2787193973634652,14.68867924528302,0.808695652173913,0.5803056954325974,531,230,7850
16,6,0.7563786008230453,0.24938271604938272,19.178217821782177,0.7669491525423728,0.5796446295212685,405,236,7850
10,8,0.7557477338381843,0.2569593147751606,16.706008583690988,0.7880184331797235,0.5791154129250622,467,217,7850
10,5,0.7907790535336029,0.3050259965337955,13.515625,0.7982832618025751,0.5788673372176474,577,233,7850
14,5,0.7755005561735261,0.2860215053763441,16.77801724137931,0.7702702702702703,0.5761469940427806,465,222,7850
14,6,0.7580546399904827,0.2608695652173913,17.855504587155963,0.7603686635944701,0.5755299650895528,437,217,7850
16,5,0.7545963229416467,0.2589928057553957,18.625,0.7593360995850622,0.5751239838533275,417,241,7850
12,6,0.7733189117324794,0.2997946611909651,16.01851851851852,0.7766990291262136,0.5724206862148314,487,206,7850
6,8,0.7739920499716071,0.2879045996592845,13.276450511945393,0.7654867256637168,0.5722004143304965,587,226,7850
20,3,0.7911832946635732,0.33642691415313225,18.01860465116279,0.7769230769230769,0.5708227043815773,431,260,7850
16,4,0.7498144023756496,0.2828507795100223,17.294642857142858,0.7717842323651453,0.5685056768960957,449,241,7850
8,5,0.78263130525221,0.31201248049922,12.1625,0.7627118644067796,0.5680714316611096,641,236,7850
6,6,0.7835002384358608,0.32474964234620884,11.14756446991404,0.7777777777777778,0.5668046990676429,699,225,7850
8,6,0.775206611570248,0.31239669421487604,12.887417218543046,0.7675438596491229,0.5665632654423082,605,228,7850
10,4,0.7776836242925991,0.3333333333333333,12.318037974683545,0.7948717948717948,0.5659325884601536,633,234,7850
6,5,0.7912813738441216,0.34081902245706736,10.292328042328043,0.7841409691629956,0.5659204935625218,757,227,7850
14,4,0.7841612857374919,0.33723196881091616,15.205078125,0.7709251101321586,0.5654719874621595,513,227,7850
12,5,0.7776664416255078,0.3352165725047081,14.68867924528302,0.7735849056603774,0.5637726939448539,531,212,7850
12,4,0.7834332351247926,0.3592400690846287,13.46885813148789,0.7953488372093023,0.5622728311335257,579,215,7850
14,3,0.7849540637921636,0.3533697632058288,14.206204379562044,0.7782608695652173,0.5621791497819597,549,231,7850
8,4,0.7827926657263752,0.3328631875881523,10.994350282485875,0.7613168724279835,0.5619619378519549,709,243,7850
16,3,0.7659385873777601,0.332657200811359,15.823170731707316,0.7707509881422925,0.5606053062960751,493,253,7850
6,4,0.8024691358024691,0.37037037037037035,9.309808612440191,0.7754237288135594,0.5605149786631336,837,236,7850
8,3,0.8074534161490683,0.3875776397515528,9.681592039800995,0.7670682730923695,0.5569411458117723,805,249,7850
5,5,0.81044957472661,0.38517618469015796,9.465936739659368,0.7551020408163265,0.5566578701740696,823,245,7850
6,3,0.8048268625393494,0.3987408184679958,8.175420168067227,0.7862903225806451,0.5551550196512696,953,248,7850
10,3,0.7825895569424391,0.3878954607977992,10.723140495867769,0.7935222672064778,0.5527908456049219,727,247,7850
12,3,0.784771377677004,0.39035769828926903,12.126168224299066,0.7727272727272727,0.5507133225519409,643,220,7850
5,8,0.7678126557050323,0.34678624813153963,11.646706586826348,0.7415254237288136,0.5506849654734063,669,236,7850
5,6,0.7924773022049286,0.3761348897535668,10.105194805194806,0.7385892116182573,0.5505581448882979,771,241,7850
20,2,0.7886497064579255,0.41291585127201563,15.192156862745097,0.7820069204152249,0.5497760055381493,511,289,7850
5,4,0.8090090090090089,0.4172972972972973,8.41991341991342,0.7642276422764228,0.548825977348581,925,246,7850
14,2,0.7973309579982987,0.4186046511627907,12.088509316770187,0.7710843373493976,0.5477770105740274,645,250,7850
16,2,0.7801406275134551,0.4190800681431005,13.284982935153584,0.7578947368421053,0.5404251856904114,587,285,7850
8,2,0.805702217529039,0.44561774023231254,8.228329809725158,0.7598425196850394,0.5398086934309403,947,254,7850
5,3,0.802314368370299,0.4523580365736285,7.510597302504817,0.7670682730923695,0.5375645806879541,1039,249,7850
10,2,0.7948387744329706,0.46929316338354576,9.031322505800464,0.7948717948717948,0.5358534841534929,863,273,7850
6,2,0.7951665193044503,0.47568523430592397,6.887610619469027,0.7943548387096774,0.532927212119948,1131,248,7850
12,2,0.7759405457581435,0.45322793148880103,10.270448548812665,0.7836734693877551,0.5323649155250793,759,245,7850
5,2,0.8008298755186721,0.5186412593206297,6.464344941956882,0.7509433962264151,0.5173890681958221,1207,265,7850
