roc_length,smooth_length,flip_accuracy,whipsaw_rate,avg_trend_duration,zone_accuracy,composite_score,total_flips,total_extreme_entries,bars_tested
14,8,0.7963900809712025,0.20246913580246914,19.481054365733115,0.7482142857142857,0.59445906117335,1215,561,23713
20,8,0.7778318150106669,0.20100502512562815,23.792756539235413,0.7737642585551331,0.5930713348051547,995,527,23713
16,8,0.7904209732448205,0.21970357454228423,20.636998254799302,0.7660377358490567,0.5909785176281387,1147,531,23713
8,8,0.7868616394302158,0.23270055113288426,14.490808823529411,0.7792869269949066,0.5871749317408893,1633,590,23713
12,8,0.78367516757103,0.22048997772828507,17.570579494799407,0.7614035087719299,0.5870791816533862,1347,571,23713
14,6,0.7910573304675056,0.24548736462093862,17.08742774566474,0.7694859038142621,0.5845240763323059,1385,604,23713
20,6,0.7830393230838969,0.26064291920069504,20.565217391304348,0.7963963963963964,0.5826987676493113,1151,556,23713
10,8,0.7729866768499661,0.23421588594704684,16.065896739130434,0.78125,0.5825664369409271,1473,576,23713
8,6,0.7969337659697692,0.2621983914209115,12.687231759656653,0.768621236133122,0.5813455694376659,1865,632,23713
16,6,0.7880478116267877,0.25831399845320957,18.304953560371516,0.7729636048526863,0.5810424626044568,1293,578,23713
16,5,0.8020407092645053,0.29016277423920733,16.74929178470255,0.7834710743801653,0.5792258844993331,1413,606,23713
10,6,0.7857806826434278,0.2739564961787184,13.911176470588236,0.7860696517412935,0.5773778010490409,1701,605,23713
12,6,0.7679926026757563,0.25471085120207926,15.375812743823147,0.7806873977086743,0.5754648717959698,1539,612,23713
20,5,0.7846156403935037,0.28881737731295254,19.04186795491143,0.7839721254355401,0.5740220179865431,1243,575,23713
6,8,0.7875174771210672,0.2789115646258503,12.381151832460732,0.7646103896103896,0.5732054096374957,1911,617,23713
8,5,0.7962988750721371,0.2945851962245405,11.753479125248509,0.7711213517665131,0.5732047875375939,2013,652,23713
14,5,0.7784012218923345,0.27854785478547855,15.620211360634082,0.7750410509031199,0.5723532182278723,1515,610,23713
16,4,0.7991043032569266,0.32103559870550163,15.317357512953368,0.7851500789889415,0.5704298567492353,1545,634,23713
10,5,0.7799430936992717,0.2883031301482702,12.993956043956043,0.7758346581875993,0.5700193370585953,1821,630,23713
12,5,0.7700789329645955,0.278886872353297,14.314769975786925,0.7799043062200957,0.569809892419617,1653,628,23713
8,4,0.8019341994272714,0.32821670428893907,10.681120144534779,0.7677224736048266,0.5660333302773614,2215,663,23713
6,6,0.7920430256242613,0.3148741418764302,10.827838827838828,0.7613104524180967,0.5649761932108394,2185,642,23713
12,4,0.7790314693492002,0.32066115702479336,13.03638368246968,0.7770992366412214,0.5618093946564443,1815,656,23713
10,4,0.7839132933533234,0.32283858070964516,11.8245,0.7653374233128835,0.5609538736394122,2001,653,23713
5,8,0.7870954700033268,0.33493512734262376,11.36923076923077,0.7779456193353474,0.5608387325069886,2081,663,23713
6,5,0.7914540816326531,0.34360683048729695,9.853333333333333,0.7796101949025487,0.5601263728673409,2401,668,23713
20,4,0.7817815505931138,0.3433261955745896,16.892857142857142,0.7838283828382838,0.5589281913448714,1401,607,23713
14,4,0.7803828903439833,0.3317507418397626,14.043349168646081,0.7695852534562212,0.5585952218347391,1685,652,23713
16,3,0.7966850488135669,0.37681159420289856,13.718097447795824,0.7904191616766467,0.5560922695530736,1725,670,23713
8,3,0.7987772926232042,0.37995991983967936,9.481956696070569,0.7784172661870503,0.5533439785200402,2495,695,23713
6,4,0.7926372153382254,0.3768389287061486,8.92377358490566,0.7787610619469026,0.5519090730263866,2651,679,23713
5,6,0.7883197797785271,0.3778420835055808,9.779983457402812,0.7890855457227138,0.5518763904130365,2419,679,23713
10,3,0.7953273113184264,0.37760995113282986,10.510666666666667,0.7671428571428571,0.551249724324095,2251,701,23713
12,3,0.7894643569779974,0.3743289409468033,11.546875,0.7724550898203593,0.551033267259536,2049,668,23713
14,3,0.7842643542320614,0.37493275954814415,12.728202368137783,0.7794117647058824,0.5503549014332516,1859,681,23713
20,3,0.7852761663517421,0.40364092906465787,14.854899497487438,0.8040435458786936,0.5476751847812465,1593,644,23713
5,5,0.784256290919374,0.411323584551931,8.870217554388597,0.7875722543352601,0.541664971830205,2667,693,23713
6,3,0.7980267382879016,0.43114371457152384,7.887925283522348,0.7759103641456583,0.5395731913302504,2999,714,23713
5,4,0.7930662745343694,0.44122600202088247,7.967654986522911,0.7734265734265734,0.5349606999373211,2969,716,23713
8,2,0.798419937039981,0.4710217755443886,7.924932975871314,0.7724867724867724,0.529235560151197,2985,756,23713
10,2,0.7954890049867219,0.47130692336171787,8.75851851851852,0.7767253044654939,0.5289499922923955,2701,739,23713
20,2,0.787141839508859,0.46780202235231505,12.59531416400426,0.7799717912552891,0.528200689445079,1879,710,23713
16,2,0.7874483085614855,0.463519313304721,11.282919847328245,0.7714285714285715,0.5278204232531634,2097,736,23713
14,2,0.7858271081910652,0.4693967415235579,10.417621145374449,0.7700831024930748,0.5253993733390856,2271,723,23713
12,2,0.7902679178566571,0.4675642594859241,9.652244897959184,0.7561643835616438,0.5251625861320446,2451,730,23713
5,3,0.7941750095738279,0.4995568685376662,6.988179669030733,0.7626666666666667,0.5189455274805043,3385,751,23713
6,2,0.7948142796743453,0.5021002520302437,6.624089635854341,0.7535483870967742,0.5170889140739705,3571,775,23713
5,2,0.7981574539363484,0.5723618090452262,5.9429504900728825,0.7586206896551724,0.5013108597336645,3980,784,23713
