roc_length,smooth_length,flip_accuracy,whipsaw_rate,avg_trend_duration,zone_accuracy,composite_score,total_flips,total_extreme_entries,bars_tested
16,8,0.7964519140989729,0.15966386554621848,21.859550561797754,0.7798165137614679,0.619736187784512,357,219,7851
20,8,0.8104366347177848,0.18849840255591055,24.951923076923077,0.7638888888888888,0.617002475159504,313,217,7851
12,8,0.791361043194784,0.1784841075794621,19.073529411764707,0.7982456140350878,0.6142393777631439,409,229,7851
14,8,0.7922077922077921,0.16883116883116883,20.265625,0.7739130434782608,0.6140582888609067,385,231,7851
14,6,0.8075442648190916,0.21016166281755197,18.01388888888889,0.7927927927927928,0.610491349033864,433,223,7851
10,8,0.7921478060046189,0.18937644341801385,18.016203703703702,0.7892376681614349,0.6097670988205219,433,224,7851
12,6,0.7962546816479401,0.19550561797752808,17.527027027027028,0.7740585774058577,0.607083810227747,445,240,7851
20,6,0.7982708933717579,0.21037463976945245,22.497109826589597,0.7625570776255708,0.6055122585330268,347,220,7851
16,6,0.782816229116945,0.21241050119331742,18.617224880382775,0.7857142857142857,0.6005967923748766,419,225,7851
20,5,0.8086253369272237,0.2398921832884097,21.037837837837838,0.7533632286995515,0.5994484963435691,371,224,7851
8,8,0.7895791583166333,0.22444889779559118,15.6285140562249,0.7948717948717948,0.5994244498209091,499,235,7851
16,5,0.7941834451901566,0.24161073825503357,17.44843049327354,0.7973568281938326,0.5982772799063226,447,228,7851
10,6,0.7984031936127746,0.23353293413173654,15.566,0.7705627705627706,0.5965556866456557,501,232,7851
14,4,0.8151202749140894,0.26597938144329897,16.078512396694215,0.7659574468085106,0.5939306541475429,485,236,7851
14,5,0.795146324054247,0.24411134903640258,16.699570815450645,0.7685589519650655,0.5931925334467171,467,230,7851
12,5,0.7912457912457912,0.24848484848484848,15.753036437246964,0.771551724137931,0.5905800765798472,495,233,7851
16,4,0.7957894736842105,0.28421052631578947,16.417721518987342,0.7842323651452282,0.5855643544956128,475,242,7851
10,5,0.7993883792048931,0.26972477064220185,14.305147058823529,0.7531914893617021,0.5844438615413463,545,236,7851
6,8,0.7824316463059918,0.26527050610820246,13.606643356643357,0.7882882882882883,0.584442240851352,573,223,7851
20,4,0.801330008312552,0.2817955112219451,19.46,0.7445887445887446,0.5840982624832133,401,232,7851
8,6,0.7809021675454013,0.2565905096660808,13.702464788732394,0.7725321888412017,0.5837745324640216,569,234,7851
5,8,0.7848436671966085,0.3068362480127186,12.39171974522293,0.8166666666666667,0.5783780313138902,629,241,7851
14,3,0.8085626911314986,0.3155963302752294,14.305147058823529,0.7580645161290323,0.5769179348225009,545,249,7851
6,6,0.7908594138102335,0.3144560357675112,11.616417910447762,0.7905982905982906,0.5741745793543603,671,235,7851
16,3,0.8079640333975595,0.3448940269749518,15.023166023166024,0.7832699619771863,0.5736220759858184,519,264,7851
8,5,0.7866458007303079,0.30203442879499215,12.199059561128527,0.7725321888412017,0.5734663633185441,639,234,7851
12,4,0.7803992740471869,0.3030852994555354,14.147272727272727,0.7620967741935484,0.5706927911666801,551,249,7851
10,4,0.7818999437886452,0.30354131534569984,13.14527027027027,0.756198347107438,0.5695811207065701,593,243,7851
5,6,0.7897435897435897,0.34825174825174826,10.899159663865547,0.816,0.5686885750242175,715,251,7851
6,5,0.7842323651452282,0.34439834024896265,10.778393351800554,0.819327731092437,0.5681452466591103,723,239,7851
8,4,0.7841409691629956,0.328928046989721,11.445588235294117,0.7800829875518672,0.5665190306142388,681,242,7851
20,3,0.7795334838224228,0.3295711060948081,17.61085972850679,0.736,0.5620596221725123,443,251,7851
12,3,0.7979132344865459,0.3624382207578254,12.83993399339934,0.7647058823529411,0.5615432194512,607,256,7851
5,5,0.7920449632511889,0.3748378728923476,10.106493506493507,0.8032128514056225,0.5604246337078873,771,250,7851
6,4,0.79244499792445,0.37733499377334995,9.703241895261845,0.8057851239669421,0.5600693910627991,803,243,7851
5,4,0.8011834319526626,0.3988165680473373,9.22037914691943,0.7951807228915663,0.5558592725263104,845,250,7851
16,2,0.7940011318619128,0.398981324278438,13.23469387755102,0.78125,0.553771232689722,589,289,7851
10,3,0.7812971342383106,0.36199095022624433,11.755287009063444,0.7469879518072289,0.5524909424597224,663,250,7851
6,3,0.7978142076502732,0.42295081967213116,8.514223194748359,0.8137651821862348,0.5509844264368474,915,248,7851
14,2,0.8085550339071466,0.41784037558685444,12.197492163009404,0.7574626865671642,0.5499216846757765,639,269,7851
8,3,0.7716602646180112,0.39564660691421255,9.978205128205127,0.7813765182186235,0.54473065376779,781,248,7851
5,3,0.8092783505154638,0.4556701030927835,8.030959752321982,0.78125,0.541632006353352,970,257,7851
20,2,0.7700305810397555,0.42752293577981654,14.306985294117647,0.7299270072992701,0.5312305892911515,545,275,7851
10,2,0.7821323219553308,0.45764854614412137,9.850632911392404,0.7689393939393939,0.5309485745472259,791,265,7851
12,2,0.7777777777777778,0.4536652835408022,10.777008310249307,0.7617328519855595,0.5299292913118071,723,278,7851
6,2,0.8016605166051661,0.492619926199262,7.185595567867036,0.7756653992395437,0.5283522386523613,1084,264,7851
8,2,0.7724750277469479,0.46059933407325193,8.646666666666667,0.7805755395683454,0.5278094866320432,901,279,7851
5,2,0.8101662008730072,0.5209059233449478,6.797733217088056,0.7739463601532567,0.5237528583802724,1148,262,7851
