roc_length,smooth_length,flip_accuracy,whipsaw_rate,avg_trend_duration,zone_accuracy,composite_score,total_flips,total_extreme_entries,bars_tested
16,8,0.7860804416403785,0.214863000197122,20.95347003154574,0.8055835856037672,0.5932352554047359,5073,2973,106329
20,8,0.7908496732026143,0.22081105169340465,23.670158234900825,0.8034919548099966,0.5932314781238663,4488,2921,106329
12,8,0.7879951071106753,0.22166583208145552,17.741736227045074,0.80032414910859,0.5912647367534999,5991,3085,106329
14,8,0.7888077858880779,0.22149242838898012,19.393065693430657,0.7945250659630607,0.5908003146623672,5481,3032,106329
10,8,0.7929406517616199,0.2327715919349985,15.99262603461249,0.7847178186429931,0.5877960379354552,6646,3154,106329
8,8,0.7939226213811569,0.25131027253668764,13.925959900406237,0.786589099816289,0.5836885667090967,7632,3266,106329
16,6,0.7918581359726641,0.2569358543912352,18.783138918345706,0.7987092808850645,0.5836060318184841,5659,3254,106329
20,6,0.7914716588663547,0.2720358814352574,20.714842988102205,0.8006819590824551,0.5800824959814361,5128,3226,106329
14,6,0.7865307883101478,0.2607148633349507,17.190876738919442,0.7925948223961469,0.5798046648136772,6183,3322,106329
12,6,0.7873392627363248,0.2625018548746105,15.772039180765805,0.7910005920663115,0.5793350292098842,6739,3378,106329
8,6,0.7943227197517667,0.2716516800757217,12.574606555437226,0.786536248561565,0.5786717757154651,8452,3476,106329
10,6,0.7881003142554203,0.2686487921422883,14.107128634010355,0.7914344382516867,0.5780514493321469,7534,3409,106329
16,5,0.7903066271018794,0.2843250370858744,17.519782393669633,0.7974285714285714,0.5759641937213474,6067,3500,106329
10,5,0.7937010779056779,0.295156906350383,13.130977387866057,0.7927548441449032,0.5735368465422496,8094,3561,106329
6,8,0.7875351223656178,0.2925292529252925,11.957691009339484,0.8018283692126217,0.573341531765365,8888,3391,106329
14,5,0.7915990970596612,0.2952095808383233,15.911513699655638,0.7947189097103918,0.5732133460089727,6680,3522,106329
8,5,0.7937827134254544,0.29642230026338895,11.663703215892877,0.7877371459994501,0.5724274188789946,9112,3637,106329
20,5,0.7904195215771126,0.3002163721601154,19.153291253381425,0.7938822184105203,0.5715757339581863,5546,3498,106329
12,5,0.7879870686354581,0.29268961733644216,14.577640603566529,0.7858352144469526,0.5711838487848523,7291,3544,106329
6,6,0.7893279927992799,0.3194,10.627762776277628,0.8027855153203343,0.5673323832057096,10000,3590,106329
16,4,0.7919095302147164,0.32830245068738795,15.883126587953967,0.7991989319092123,0.565719448609235,6692,3745,106329
10,4,0.796265389239296,0.3344632768361582,12.009040569555882,0.7955949503088907,0.5649810210124021,8850,3723,106329
8,4,0.791619670526468,0.33053053053053055,10.638402242466713,0.7922730881185499,0.5637754740060925,9990,3779,106329
14,4,0.7936110143373778,0.3330142231947484,14.536041581179045,0.7888265169740711,0.5635178175484145,7312,3741,106329
20,4,0.7935624659028915,0.3397708674304419,17.385005729251922,0.7977951062113471,0.5632909222139899,6110,3719,106329
6,5,0.7901000712673284,0.334607495804587,9.908251748251748,0.7973662993818866,0.5629540201418294,10726,3721,106329
12,4,0.791122889051409,0.3402392403502281,13.106931425752343,0.7808944165123048,0.5595837020644507,8109,3779,106329
5,8,0.7911256246465098,0.3546215058151398,10.842465054586267,0.8035408338092519,0.5592795718016493,9802,3502,106329
6,4,0.7894661549589119,0.3686655405405405,8.97592702086325,0.7902261502469456,0.553102774372286,11840,3847,106329
5,6,0.791865171710811,0.38337850045167116,9.600325232631674,0.8041938997821351,0.5523887143019826,11070,3672,106329
8,3,0.794042540066002,0.38025512037369746,9.546851136465726,0.7912912912912913,0.5519937324137595,11132,3996,106329
20,3,0.7921461449942463,0.39427502876869963,15.279096532872968,0.7997061704211558,0.5493568012138446,6952,4084,106329
10,3,0.7934000453703982,0.39439009782391693,10.608765099331137,0.7930343272362816,0.5485465055929144,10018,3991,106329
16,3,0.7921553464793573,0.39690721649484534,13.696868153112515,0.7930697901415324,0.5476321152744835,7760,4098,106329
14,3,0.7913628692003739,0.3952289618796452,12.74103824481477,0.788621873467386,0.5470621775678152,8342,4078,106329
5,5,0.7921714970051151,0.4044031474970701,8.896274591879447,0.8025343189017952,0.5469577220828904,11946,3788,106329
12,3,0.7934580756565789,0.4018976987675864,11.591513961605585,0.7855392156862745,0.5456118618694822,9169,4080,106329
6,3,0.7924197859668878,0.4109630526953362,8.04618762777315,0.793756145526057,0.5440479465432752,13208,4068,106329
5,4,0.7932053816400808,0.4355507758488247,8.163632173311823,0.7966274910577414,0.5386121987661295,13018,3914,106329
20,2,0.7945447252306458,0.4722656720009626,12.789169675090253,0.7993003935286401,0.5305206909829034,8311,4574,106329
8,2,0.793365601663038,0.4689337958075705,8.013422818791947,0.7938949361097964,0.5299055741186427,13262,4226,106329
5,3,0.7926670616320157,0.48322836801752467,7.274936674197303,0.7972316658572123,0.5265532250484024,14608,4118,106329
10,2,0.7905489452577156,0.4802939211756847,8.874154488517746,0.789485926959758,0.5254588365876998,11976,4299,106329
16,2,0.7920339883165162,0.48130841121495327,11.287732342007436,0.7859861204387733,0.5253135039171711,9416,4467,106329
12,2,0.7924570991917252,0.48646924829157173,9.683889192637142,0.7907081641858367,0.5248042711208312,10975,4434,106329
6,2,0.7901972093523978,0.4821831303563374,6.848691841732182,0.7890120036934442,0.52469709316398,15519,4332,106329
14,2,0.7913785507989303,0.48509458254927207,10.526148969889064,0.7888322623532018,0.524528666649803,10097,4513,106329
5,2,0.7930954047119197,0.5557175345501195,6.197690692792162,0.795659201108289,0.5082943275167671,17149,4331,106329
