roc_length,smooth_length,flip_accuracy,whipsaw_rate,avg_trend_duration,zone_accuracy,composite_score,total_flips,total_extreme_entries,bars_tested
16,8,0.7948288586655926,0.2049645390070922,22.233498935415188,0.7963446475195822,0.599942608192913,1410,767,31386
20,8,0.7605818310367654,0.1723563696919234,26.106666666666666,0.7966804979253111,0.5967755899716497,1201,724,31386
16,6,0.7939731266848096,0.2376425855513308,19.863665187064047,0.8069053708439897,0.5926801684747507,1578,783,31386
20,6,0.777385190760453,0.2162565249813572,23.37910447761194,0.7926208651399491,0.5906382632108857,1341,787,31386
14,8,0.7693580410324289,0.20502645502645503,20.7313037723362,0.7944664031620553,0.5904912966127757,1512,760,31386
12,8,0.7704065962280969,0.20421686746987952,18.881253767329717,0.7867360208062418,0.5896064051109798,1660,770,31386
10,8,0.7728597449908925,0.2174863387978142,17.12356478950246,0.7923280423280423,0.587706430948388,1830,757,31386
16,5,0.7953076850106461,0.26037959667852906,18.590504451038576,0.8046116504854369,0.5869161300212817,1686,825,31386
20,5,0.7791969785741966,0.23393854748603352,21.89238294898672,0.7941520467836257,0.5868447158696173,1432,856,31386
14,6,0.775159356709747,0.2505733944954128,17.970166379804933,0.7980049875311721,0.5812259422092976,1744,803,31386
12,6,0.7680351521511017,0.2429171038824764,16.443044619422572,0.7933168316831684,0.5797000391658547,1906,809,31386
10,6,0.7766698322253878,0.2564102564102564,14.87790973871734,0.7945544554455446,0.5792851961556648,2106,809,31386
8,8,0.776898993423735,0.24056147144240078,15.17094430992736,0.765,0.5789411128699391,2066,801,31386
20,4,0.7853873224972435,0.2774968394437421,19.81530676786844,0.797566371681416,0.5783030198415672,1582,905,31386
14,5,0.7807224625913332,0.2627302275189599,16.976693766937668,0.7836538461538461,0.5778228829645994,1846,833,31386
16,4,0.7865018969705657,0.2952329360780065,16.978319783197833,0.8066361556064073,0.5751676133107334,1846,875,31386
12,5,0.7744317735946185,0.2710960232783705,15.198447355652595,0.791566265060241,0.5744332691491709,2062,832,31386
10,5,0.7815491731940818,0.28503046127067017,13.634305616020896,0.7917159763313609,0.573214027946999,2298,846,31386
8,6,0.7802608798454607,0.27870216306156403,13.037453183520599,0.766109785202864,0.5704091885682142,2404,839,31386
6,8,0.7788904231008037,0.28789126853377267,12.908117016893284,0.7713270142180095,0.5683942325742632,2428,845,31386
14,4,0.7788632004977326,0.3029411764705882,15.361451692005886,0.7935409457900807,0.5683451500591449,2040,868,31386
12,4,0.7822967164902582,0.3027728085867621,14.015212527964206,0.7859649122807018,0.5682381026861417,2236,857,31386
8,5,0.7808065899146812,0.2964533538936006,12.08214423447744,0.776361529548088,0.567547963922687,2594,864,31386
10,4,0.7845464135021096,0.31645569620253167,12.393351800554017,0.7814269535673839,0.5646657076534607,2528,884,31386
6,6,0.782730571041549,0.3139784946236559,11.232699892434564,0.7694954128440367,0.5626748324563376,2790,873,31386
16,3,0.7883762143381615,0.34707574304889743,15.023980815347722,0.8053763440860215,0.5623626116323291,2086,931,31386
20,3,0.7759023851686817,0.3286038592508513,17.789892106757524,0.798590130916415,0.5620374385898126,1762,994,31386
6,5,0.7828878470551978,0.32739273927392737,10.342687355562893,0.7622298065984073,0.5581446920039393,3030,880,31386
8,4,0.7837628472074508,0.33298969072164947,10.769680302509453,0.7690607734806629,0.5581443720637643,2910,906,31386
12,3,0.782794138022915,0.35251798561151076,12.524590163934427,0.7895902547065338,0.5562822412045934,2502,905,31386
5,8,0.7738539364873699,0.3308214016578749,11.80851865812288,0.7701149425287356,0.5555419448423036,2654,871,31386
14,3,0.7856853038420697,0.3589409722222222,13.600521059487624,0.7857142857142857,0.555278410237226,2304,925,31386
5,6,0.7911740974897601,0.358355091383812,10.227881162259223,0.7734806629834254,0.5549736306908382,3064,906,31386
6,4,0.7843237279445924,0.3564179104477612,9.354434159450582,0.7717976318622174,0.5526686959586176,3350,930,31386
10,3,0.7920700783771323,0.37586445366528354,10.832929782082324,0.782051282051282,0.5522918645885309,2892,937,31386
5,5,0.792011708429145,0.38184523809523807,9.326585293242037,0.7861842105263158,0.5511562075050586,3360,913,31386
8,3,0.7864917177119191,0.37391841779975277,9.684389489953633,0.771578947368421,0.5490721269590582,3236,951,31386
6,3,0.7872635581429104,0.3954593453009504,8.272511222603644,0.778816199376947,0.544817705372189,3788,964,31386
5,4,0.7929641228147091,0.40913978494623654,8.423769830599623,0.7795527156549521,0.5435273670469688,3720,940,31386
16,2,0.7866321360959674,0.43216280925778133,12.505788423153692,0.7952987267384917,0.5385676101801613,2506,1022,31386
20,2,0.7674854342531945,0.41248817407757804,14.826313298627543,0.7953736654804271,0.5371658392953385,2114,1125,31386
14,2,0.7853948935279096,0.4350838803792852,11.427216344399854,0.7825661116552399,0.5353225914828612,2742,1022,31386
10,2,0.7943567349370388,0.4532077692760447,9.221077421254048,0.7830374753451677,0.5336475155998268,3398,1015,31386
8,2,0.7894745239935604,0.45177267987486963,8.169230769230769,0.7796442687747036,0.5316209669181825,3836,1014,31386
12,2,0.7860843828500244,0.44631093544137024,10.320922570016474,0.7759295499021527,0.5315854247097278,3036,1023,31386
5,3,0.7970141541266343,0.46544428772919605,7.365859393369386,0.7796086508753862,0.5307086103757227,4254,972,31386
6,2,0.7906531757891044,0.46717625899280574,7.044749269170227,0.7811579980372915,0.5282305222226298,4448,1020,31386
5,2,0.7967192362834666,0.537972166998012,6.229270232650626,0.7726829268292683,0.511253494441164,5030,1027,31386
