bb_length,bb_mult,kc_mult,fire_accuracy,touch_reversal,squeeze_whipsaw,avg_squeeze_dur,squeeze_freq,total_fires,total_touches,total_squeezes,composite_score,bars_tested
30,1.5,1.8,0.9271523178807947,0.5121759622937941,0.5592105263157895,21.86842105263158,19.360591007514966,151,1273,152,0.7163870543587395,7851
22,1.5,2.0,0.9030612244897959,0.5318151373074347,0.5786802030456852,25.78787878787879,25.219717233473443,196,1493,198,0.7065758382861135,7851
20,1.5,2.0,0.8840579710144928,0.5308328035600763,0.5625,25.980861244019138,26.620812635333078,207,1573,209,0.7040310547143032,7851
25,1.5,2.0,0.8804347826086957,0.5267857142857143,0.5837837837837838,25.156756756756756,23.563877213093875,184,1344,185,0.6993583948855687,7851
30,1.5,1.5,0.9060402684563759,0.5121759622937941,0.62,15.046666666666667,19.105846388995033,149,1273,150,0.6948560711103612,7851
22,1.8,2.0,0.8709677419354839,0.5164359861591695,0.5825688073394495,18.004587155963304,27.76716341867278,217,1156,218,0.6947571172855752,7851
18,2.0,1.0,0.8828828828828829,0.5410714285714285,0.4954954954954955,4.714285714285714,14.26569863711629,111,1120,112,0.6934017052767053,7851
20,1.5,1.8,0.8464912280701754,0.5308328035600763,0.5764192139737991,20.8,29.295631129792383,228,1573,230,0.6925507658176219,7851
30,1.8,1.8,0.9060402684563759,0.5021052631578947,0.62,15.046666666666667,19.105846388995033,149,950,150,0.6923383963263864,7851
25,1.5,1.8,0.8730964467005076,0.5267857142857143,0.6111111111111112,20.272727272727273,25.219717233473443,197,1344,198,0.690847584803803,7851
20,2.0,1.8,0.8727272727272727,0.5237623762376238,0.6181818181818182,13.891402714932127,28.14928034645268,220,1010,221,0.6882133213321332,7851
20,1.5,1.5,0.8793103448275862,0.5308328035600763,0.6336206896551724,15.523605150214593,29.677748057572284,232,1573,233,0.6880961319245018,7851
30,2.0,2.0,0.9060402684563759,0.4847328244274809,0.62,15.046666666666667,19.105846388995033,149,786,150,0.687995286643783,7851
20,2.2,2.0,0.8767123287671232,0.5157384987893463,0.6210045662100456,14.172727272727272,28.021908037192713,219,826,220,0.6866971817749621,7851
22,1.5,1.8,0.8617511520737328,0.5318151373074347,0.6192660550458715,20.269406392694062,27.894535727932748,217,1493,219,0.6866626161875106,7851
25,2.2,1.8,0.8848484848484849,0.5029154518950437,0.6181818181818182,10.690909090909091,21.016431027894537,165,686,165,0.6866379538828518,7851
30,1.5,2.0,0.8653846153846154,0.5121759622937941,0.5987261146496815,25.40764331210191,19.9974525538148,156,1273,157,0.6866190354860732,7851
22,1.5,1.5,0.8681818181818182,0.5318151373074347,0.6272727272727273,14.922727272727272,28.021908037192713,220,1493,220,0.6865901479632223,7851
20,2.0,2.0,0.8793103448275862,0.5237623762376238,0.6336206896551724,15.523605150214593,29.677748057572284,232,1010,233,0.6863285250938886,7851
18,1.5,1.8,0.8442622950819673,0.5362485615650172,0.6,20.96747967479675,31.333588077951852,244,1738,246,0.685118182119258,7851
18,2.2,1.5,0.8699551569506726,0.5182724252491694,0.6233183856502242,7.950892857142857,28.53139727423258,223,903,224,0.6842339855563665,7851
30,1.8,2.0,0.8831168831168831,0.5021052631578947,0.6258064516129033,18.348387096774193,19.742707935294867,154,950,155,0.6840097678213127,7851
20,1.8,1.8,0.8793103448275862,0.5137096774193548,0.6336206896551724,15.523605150214593,29.677748057572284,232,1240,233,0.6838153503893214,7851
25,2.0,1.5,0.8636363636363636,0.5348288075560803,0.6363636363636364,8.545454545454545,19.6153356260349,154,847,154,0.68370720188902,7851
25,1.8,1.5,0.8713450292397661,0.5004686035613871,0.6140350877192983,10.871345029239766,21.78066488345434,171,1067,171,0.6830118877324519,7851
22,1.8,1.8,0.8681818181818182,0.5164359861591695,0.6272727272727273,14.922727272727272,28.021908037192713,220,1156,220,0.682745360176156,7851
18,1.5,2.0,0.8622448979591837,0.5362485615650172,0.5888324873096447,28.91919191919192,25.219717233473443,196,1738,198,0.6824635148876251,7851
30,1.5,1.2,0.8842975206611571,0.5121759622937941,0.6446280991735537,9.074380165289256,15.412049420455993,121,1273,121,0.6821762219784071,7851
16,1.5,1.8,0.8529411764705882,0.5286993154291733,0.6234309623430963,23.004166666666666,30.569354222392054,238,1899,240,0.681250517508709,7851
18,2.0,1.8,0.8674698795180723,0.5410714285714285,0.6465863453815262,13.668,31.84307731499172,249,1120,250,0.680790439127911,7851
18,2.2,2.0,0.8700787401574803,0.5182724252491694,0.6259842519685039,13.60392156862745,32.47993886129156,254,903,255,0.6799624339319246,7851
18,1.5,1.2,0.8664122137404581,0.5362485615650172,0.6335877862595419,10.562737642585551,33.49891733537129,262,1738,263,0.6797573290562208,7851
20,2.2,1.8,0.8705357142857143,0.5157384987893463,0.6428571428571429,11.244444444444444,28.65876958349255,224,826,225,0.6793810532687651,7851
25,1.5,1.2,0.8493975903614458,0.5267857142857143,0.6325301204819277,9.951807228915662,21.1438033371545,166,1344,166,0.6783831755593803,7851
22,2.2,2.0,0.8629441624365483,0.5019206145966709,0.6243654822335025,14.116751269035532,25.092344924213474,197,781,197,0.6782720318217565,7851
22,2.0,2.0,0.8681818181818182,0.4984025559105431,0.6272727272727273,14.922727272727272,28.021908037192713,220,939,220,0.6782370026139993,7851
14,1.5,1.8,0.8702928870292888,0.5333009236752553,0.6610878661087866,24.733333333333334,30.569354222392054,239,2057,240,0.678192206796417,7851
20,1.5,1.2,0.847457627118644,0.5308328035600763,0.635593220338983,10.113924050632912,30.187237294612153,236,1573,237,0.6777351217831796,7851
20,1.8,1.5,0.8620689655172413,0.5137096774193548,0.6379310344827587,11.369098712446352,29.677748057572284,232,1240,233,0.6775653503893214,7851
18,2.2,1.0,0.8947368421052632,0.5182724252491694,0.5263157894736842,4.0519480519480515,9.80766781301745,76,903,77,0.6769296920949308,7851
20,1.8,2.0,0.8483606557377049,0.5137096774193548,0.6163265306122448,17.422764227642276,31.333588077951852,244,1240,246,0.6766313366265024,7851
18,2.2,1.8,0.859375,0.5182724252491694,0.625,11.311284046692608,32.73468347981149,256,903,257,0.6765728005126065,7851
18,2.5,1.8,0.8685258964143426,0.5193199381761978,0.6414342629482072,8.357142857142858,32.09782193351165,251,647,252,0.6765328178421144,7851
18,2.0,2.0,0.8582375478927203,0.5410714285714285,0.6436781609195402,15.293893129770993,33.37154502611132,261,1120,262,0.6762003395706027,7851
18,1.8,1.5,0.8538461538461538,0.531930879038317,0.6307692307692307,11.53256704980843,33.24417271685136,260,1331,261,0.676037303693032,7851
14,1.8,2.0,0.8561151079136691,0.5322777101096224,0.6187050359712231,19.7168458781362,35.53687428353076,278,1642,279,0.6759995771028159,7851
18,1.5,1.0,0.8634361233480177,0.5362485615650172,0.6431718061674009,7.355263157894737,29.04088651127245,227,1738,228,0.6758526574327567,7851
18,2.5,2.0,0.8664122137404581,0.5193199381761978,0.6335877862595419,10.562737642585551,33.49891733537129,262,647,263,0.675525173209016,7851
18,1.5,1.5,0.8582375478927203,0.5362485615650172,0.6436781609195402,15.293893129770993,33.37154502611132,261,1738,262,0.6749946228189998,7851
18,1.8,1.2,0.8634361233480177,0.531930879038317,0.6431718061674009,7.355263157894737,29.04088651127245,227,1331,228,0.6747732368010816,7851
22,1.5,1.2,0.8367346938775511,0.5318151373074347,0.6377551020408163,10.642857142857142,24.96497261495351,196,1493,196,0.6745354169799199,7851
16,1.5,1.2,0.875,0.5286993154291733,0.6153846153846154,10.111821086261982,39.86753279836964,312,1899,313,0.6743827870138568,7851
18,1.8,1.8,0.8582375478927203,0.531930879038317,0.6436781609195402,15.293893129770993,33.37154502611132,261,1331,262,0.6739152021873248,7851
25,1.8,2.0,0.8404255319148937,0.5004686035613871,0.6137566137566137,18.354497354497354,24.07336645013374,188,1067,189,0.6738056570256614,7851
16,2.5,2.0,0.875,0.5260347129506008,0.6153846153846154,10.111821086261982,39.86753279836964,312,749,313,0.6737166363942135,7851
16,2.0,1.0,0.8953488372093024,0.5415637860082304,0.5755813953488372,4.341040462427745,22.03540950197427,172,1215,173,0.6735106534519164,7851
16,2.0,2.0,0.8576388888888888,0.5415637860082304,0.6319444444444444,15.397923875432525,36.81059737613043,288,1215,289,0.6733455064307291,7851
