bb_length,bb_mult,kc_mult,fire_accuracy,touch_reversal,squeeze_whipsaw,avg_squeeze_dur,squeeze_freq,total_fires,total_touches,total_squeezes,composite_score,bars_tested
20,1.5,1.8,0.8546255506607929,0.5819968960165546,0.5506607929515418,21.662280701754387,29.04088651127245,227,1933,228,0.714221690964491,7851
16,1.5,1.8,0.8811475409836066,0.5809222423146474,0.5860655737704918,23.179591836734694,31.206215768691887,244,2212,245,0.7110480698166344,7851
20,1.5,1.2,0.8622222222222222,0.5819968960165546,0.5733333333333334,10.070796460176991,28.786141892752514,225,1933,226,0.710832557337472,7851
14,1.5,1.8,0.8917748917748918,0.5782482357824824,0.5930735930735931,26.163793103448278,29.550375748312316,231,2409,232,0.7099468178648622,7851
30,1.5,2.0,0.86875,0.5348988910632746,0.525,26.03125,20.3795694815947,160,1533,160,0.7096622227658186,7851
18,1.5,1.8,0.8403361344537815,0.5916955017301038,0.5630252100840336,22.14225941422594,30.441981913132086,238,2023,239,0.7085317767257651,7851
25,1.5,2.0,0.8685714285714285,0.5564657694558222,0.5371428571428571,27.965714285714284,22.290154120494204,175,1709,175,0.7055164423639555,7851
30,1.5,1.0,0.9295774647887324,0.5348988910632746,0.5492957746478874,5.943661971830986,9.04343395745765,71,1533,71,0.7047106382587763,7851
25,1.5,1.5,0.8472906403940886,0.5564657694558222,0.5566502463054187,14.25615763546798,25.856578779773276,203,1709,203,0.7041410729058274,7851
20,1.5,2.0,0.8645833333333334,0.5819968960165546,0.5520833333333334,28.99481865284974,24.58285568717361,192,1933,193,0.7035373284946395,7851
18,1.5,1.2,0.8533834586466166,0.5916955017301038,0.5789473684210527,9.932584269662922,34.00840657241116,266,2023,267,0.7025213933005624,7851
20,2.5,2.0,0.8622222222222222,0.5445255474452555,0.5733333333333334,10.070796460176991,28.786141892752514,225,685,226,0.7014647201946471,7851
22,1.5,1.5,0.8333333333333334,0.5668651867893882,0.5648148148148148,15.532407407407407,27.512418800152847,216,1847,216,0.7005125929936433,7851
25,1.8,1.8,0.8472906403940886,0.5380392156862746,0.5566502463054187,14.25615763546798,25.856578779773276,203,1275,203,0.6995344344634405,7851
20,2.2,1.8,0.8558951965065502,0.5456475583864119,0.5764192139737991,10.491304347826087,29.295631129792383,229,942,230,0.6990756450551182,7851
18,2.5,2.0,0.8533834586466166,0.5773584905660377,0.5789473684210527,9.932584269662922,34.00840657241116,266,795,267,0.6989371405095459,7851
30,1.8,1.2,0.9295774647887324,0.5082108902333622,0.5492957746478874,5.943661971830986,9.04343395745765,71,1157,71,0.6980386380512982,7851
18,1.5,2.0,0.8536585365853658,0.5916955017301038,0.5756097560975609,28.674757281553397,26.238695707553177,205,2023,206,0.6978698064452341,7851
22,1.5,1.2,0.8235294117647058,0.5668651867893882,0.5686274509803921,9.588235294117647,25.983951089033244,204,1847,204,0.6966182574816607,7851
18,1.8,2.0,0.872093023255814,0.5593536357986327,0.6007751937984496,18.575289575289574,32.98942809833142,258,1609,259,0.6962901373129043,7851
22,2.5,1.8,0.8452380952380952,0.5480132450331126,0.5773809523809523,8.18452380952381,21.398547955674438,168,604,168,0.6962295017344686,7851
14,1.8,2.0,0.8593155893536122,0.5709677419354838,0.5931558935361216,21.617424242424242,33.62628964463126,263,1860,264,0.6962038228315388,7851
18,1.5,1.5,0.8272058823529411,0.5916955017301038,0.5698529411764706,15.293040293040294,34.77264042797096,272,2023,273,0.6956680041310057,7851
22,2.0,1.5,0.8579545454545454,0.5169340463458111,0.5681818181818182,9.090909090909092,22.417526429754172,176,1122,176,0.6945744206773617,7851
25,1.5,1.8,0.8164251207729468,0.5564657694558222,0.5652173913043478,20.07729468599034,26.366068016813145,207,1709,207,0.6927396307697526,7851
20,2.0,1.5,0.8277511961722488,0.545016077170418,0.569377990430622,9.004761904761905,26.748184944593046,209,1244,210,0.6922348805366236,7851
20,1.8,2.0,0.8382978723404255,0.5544619422572179,0.5914893617021276,18.83050847457627,30.059864985352185,235,1524,236,0.6921327318653132,7851
22,2.5,2.0,0.8235294117647058,0.5480132450331126,0.5686274509803921,9.588235294117647,25.983951089033244,204,604,204,0.6919052720425919,7851
22,1.8,1.8,0.8333333333333334,0.5319747013352073,0.5648148148148148,15.532407407407407,27.512418800152847,216,1423,216,0.691789971630098,7851
