bb_length,bb_mult,kc_mult,fire_accuracy,touch_reversal,squeeze_whipsaw,avg_squeeze_dur,squeeze_freq,total_fires,total_touches,total_squeezes,composite_score,bars_tested
25,2.5,1.8,0.8358458961474037,0.4985200557955976,0.08542713567839195,8.680904522613066,14.289133556725705,1194,58786,1194,0.8040269988735225,83560
22,2.5,1.8,0.8236024844720496,0.49709425707662674,0.08385093167701864,8.179391682184978,19.27955959789373,1610,61258,1611,0.8003915766915168,83560
30,2.5,1.8,0.8345959595959596,0.49629252689735387,0.09848484848484848,9.006313131313131,9.478219243657252,792,55024,792,0.7998307074819142,83560
20,2.5,2.0,0.8323569175304191,0.49621230168183333,0.10139702568724651,9.877477477477477,26.567735758736237,2219,62967,2220,0.7984108942577723,83560
20,2.5,1.8,0.8241179568193786,0.49621230168183333,0.09268035808320169,8.146315789473684,22.738152225945427,1899,62967,1900,0.7981183729454715,83560
25,2.5,2.0,0.8217306441119063,0.4985200557955976,0.09499024072869226,10.085769980506823,18.417903303015798,1537,58786,1539,0.7974016470002983,83560
22,2.5,2.0,0.830890052356021,0.49709425707662674,0.10471204188481675,10.036106750392465,22.86979415988511,1910,61258,1911,0.7973625695047587,83560
25,2.0,1.5,0.8397913561847988,0.4719376801815617,0.09239940387481371,9.120625465376024,16.072283389181425,1342,65212,1343,0.7968219759321267,83560
25,2.2,1.8,0.8271375464684015,0.4842220148368422,0.09107806691449814,10.357894736842105,19.327429392053613,1614,63221,1615,0.7964272509211063,83560
18,2.5,1.8,0.8222320247022497,0.49395432154052843,0.09704455227172475,8.046296296296296,27.14217328865486,2267,64757,2268,0.7958970497278758,83560
18,2.5,2.0,0.8311437403400309,0.49395432154052843,0.10158362302047122,9.703088803088804,30.99569171852561,2588,64757,2590,0.795776310534481,83560
30,2.5,2.0,0.8196872125114996,0.49629252689735387,0.0984360625574977,10.262189512419504,13.008616562948779,1087,55024,1087,0.7953702798384139,83560
30,2.2,1.8,0.82842287694974,0.4811755281866426,0.09705372616984402,10.587521663778164,13.810435615126854,1154,59922,1154,0.7945573135891216,83560
20,2.2,1.8,0.8370736086175943,0.47988789976920543,0.10682226211849193,10.492597577388963,26.675442795595977,2228,66726,2229,0.7943884919979566,83560
22,2.2,1.8,0.8319796954314721,0.48268786082908377,0.10355329949238579,10.399797057331304,23.58784107228339,1970,65301,1971,0.794377548963616,83560
30,2.0,2.0,0.8353388220392653,0.471451013080277,0.09753008233058898,15.399367088607596,18.90856869315462,1579,62384,1580,0.7940818792992015,83560
30,2.0,1.5,0.8351893095768375,0.471451013080277,0.09910913140311804,9.516703786191536,10.746768788894208,898,62384,898,0.7936422632923409,83560
22,2.0,1.5,0.8309206716850029,0.4703872777181048,0.09322524609148813,8.876157407407407,20.679751077070367,1727,67032,1728,0.793566709412155,83560
20,2.2,2.0,0.8332655551037007,0.47988789976920543,0.10573403822692151,12.385772357723578,29.439923408329342,2459,66726,2460,0.7935181319166811,83560
22,2.2,2.0,0.8318827301878149,0.48268786082908377,0.10856619331195602,12.51602564102564,26.13690761129727,2183,65301,2184,0.7930952359356264,83560
18,2.0,1.5,0.8329218106995885,0.4652490591417083,0.09465020576131687,8.569724393253805,29.092867400670176,2430,69883,2431,0.7925262565549743,83560
25,2.2,2.0,0.825945945945946,0.4842220148368422,0.10540540540540541,12.573203673689898,22.151747247486835,1850,63221,1851,0.7924879361416429,83560
18,2.2,1.8,0.8311094166984369,0.47882998171846436,0.09950438429279451,10.16234756097561,31.402584968884632,2623,68375,2624,0.7918265827511408,83560
30,1.8,1.8,0.8353388220392653,0.4581371705638539,0.09753008233058898,15.399367088607596,18.90856869315462,1579,63935,1580,0.7907534186700957,83560
20,2.0,1.5,0.8231527093596059,0.4677572621083871,0.09507389162561576,8.76907927129493,24.305887984681664,2030,68403,2031,0.7901166554285746,83560
30,2.0,1.8,0.822450476889215,0.471451013080277,0.09977989728539985,12.77916360968452,16.31163235998085,1363,62384,1363,0.7896529220154838,83560
22,2.0,1.8,0.832637923041261,0.4703872777181048,0.11358368103847936,12.334569045412419,25.82575394925802,2157,67032,2158,0.7889922760822846,83560
22,2.2,1.5,0.8129032258064516,0.48268786082908377,0.08530465949820788,7.577363896848137,16.706558161799904,1395,65301,1396,0.7889904070431357,83560
25,2.0,1.8,0.8240389821331889,0.4719376801815617,0.10503519220357337,12.227272727272727,22.11584490186692,1847,65212,1848,0.7889373166344537,83560
25,2.2,1.5,0.806640625,0.4842220148368422,0.095703125,7.9609375,12.254667304930589,1024,63221,1024,0.7887312849592105,83560
16,2.5,1.8,0.8223755902651653,0.4930257671656118,0.10134398837631675,7.893246187363834,32.958353279080896,2753,66674,2754,0.7886349948520435,83560
30,2.2,1.5,0.8049490538573508,0.4811755281866426,0.08733624454148471,7.858806404657933,8.221637146960267,687,59922,687,0.7885326011150741,83560
30,2.2,2.0,0.8125884016973126,0.4811755281866426,0.10325318246110325,12.765912305516267,16.921972235519387,1414,59922,1414,0.7882571069405786,83560
20,2.0,1.8,0.8294190358467244,0.4677572621083871,0.11166048619695097,12.23640856672158,29.056965055050263,2427,68403,2428,0.7878499047318763,83560
20,2.0,2.0,0.8305217732444096,0.4677572621083871,0.10984699882306787,14.731764705882354,30.516993776926757,2549,68403,2550,0.7877724414997748,83560
30,1.8,1.5,0.8245614035087719,0.4581371705638539,0.09774436090225563,11.02422723475355,14.32503590234562,1197,63935,1197,0.7874666234680311,83560
22,2.0,2.0,0.8238341968911918,0.4703872777181048,0.10924006908462867,14.838152783772118,27.728578267113452,2316,67032,2317,0.7874370612257264,83560
20,1.8,1.5,0.8375387339530765,0.45158867706528016,0.10712704736609119,10.897345132743363,27.046433700335086,2259,69240,2260,0.7873770276107201,83560
25,1.8,1.5,0.8194945848375451,0.45801733477789813,0.09386281588447654,10.70655441972339,19.901866921972236,1662,66456,1663,0.7868870051746188,83560
25,2.0,2.0,0.8217325988983475,0.4719376801815617,0.11066599899849774,15.121621621621621,23.91096218286261,1997,65212,1998,0.7868376999652702,83560
20,2.2,1.5,0.8198830409356725,0.47988789976920543,0.09415204678362574,7.410286382232613,20.476304451890858,1710,66726,1711,0.7865017393494228,83560
