bb_length,bb_mult,kc_mult,fire_accuracy,touch_reversal,squeeze_whipsaw,avg_squeeze_dur,squeeze_freq,total_fires,total_touches,total_squeezes,composite_score,bars_tested
25,1.5,1.2,0.8802395209580839,0.5952976488244122,0.44047619047619047,11.005917159763314,21.528662420382165,167,1999,169,0.7527772208744805,7850
22,1.5,1.5,0.8944954128440367,0.6176336226587483,0.5229357798165137,16.69406392694064,27.898089171974522,218,2189,219,0.7420230845637696,7850
18,1.5,1.0,0.8825910931174089,0.6234689845910707,0.5060728744939271,7.862903225806452,31.59235668789809,247,2531,248,0.7401014599044097,7850
22,1.5,1.2,0.8726415094339622,0.6176336226587483,0.5070422535211268,10.827102803738319,27.26114649681529,212,2189,214,0.739440295114594,7850
30,2.2,1.5,0.8765432098765432,0.5075493612078978,0.4074074074074074,8.061728395061728,10.318471337579618,81,861,81,0.7379984514130855,7850
18,1.8,1.2,0.8825910931174089,0.5974973931178311,0.5060728744939271,7.862903225806452,31.59235668789809,247,1918,248,0.7336085620360998,7850
22,1.8,1.5,0.8666666666666667,0.5818836232753449,0.4881516587677725,11.929245283018869,27.006369426751593,210,1667,212,0.7334329911268931,7850
22,1.8,1.8,0.8944954128440367,0.5818836232753449,0.5229357798165137,16.69406392694064,27.898089171974522,218,1667,219,0.7330855847179187,7850
14,1.5,1.5,0.8620689655172413,0.6180747922437673,0.47586206896551725,18.147766323024054,37.07006369426752,290,2888,291,0.732390430984289,7850
14,1.8,1.8,0.8620689655172413,0.6101331043366252,0.47586206896551725,18.147766323024054,37.07006369426752,290,2329,291,0.7304050090075035,7850
22,2.0,2.0,0.8944954128440367,0.5708029197080292,0.5229357798165137,16.69406392694064,27.898089171974522,218,1370,219,0.7303154088260899,7850
25,2.5,2.0,0.8802395209580839,0.5053110773899848,0.44047619047619047,11.005917159763314,21.528662420382165,167,659,169,0.7302805780158736,7850
22,2.0,1.5,0.8686868686868687,0.5708029197080292,0.49246231155778897,9.68,25.477707006369428,198,1370,200,0.7301912126436206,7850
30,1.5,1.0,0.8846153846153846,0.5618413754853022,0.48717948717948717,7.423076923076923,9.936305732484076,78,1803,78,0.7282808566918384,7850
14,2.0,2.0,0.8620689655172413,0.6014344262295082,0.47586206896551725,18.147766323024054,37.07006369426752,290,1952,291,0.7282303394807242,7850
20,2.2,2.0,0.859375,0.5626620570440796,0.46303501945525294,13.37984496124031,32.86624203821656,256,1157,258,0.7279421893335124,7850
25,2.2,1.5,0.8613138686131386,0.5375782881002088,0.45255474452554745,7.824817518248175,17.452229299363058,137,958,137,0.7278982216600887,7850
20,1.5,1.5,0.8669354838709677,0.6213675213675214,0.5403225806451613,16.27309236947791,31.719745222929937,248,2340,249,0.7274756383036638,7850
30,1.5,1.8,0.8727272727272727,0.5618413754853022,0.503030303030303,22.204819277108435,21.146496815286625,165,1803,166,0.7265209499319315,7850
20,1.5,1.2,0.8540772532188842,0.6213675213675214,0.5427350427350427,11.323404255319149,29.93630573248408,233,2340,235,0.7258812956237849,7850
18,1.5,1.5,0.8544776119402985,0.6234689845910707,0.5186567164179104,16.442379182156134,34.26751592356688,268,2531,269,0.7254338240861015,7850
25,1.5,1.5,0.8518518518518519,0.5952976488244122,0.5185185185185185,16.542105263157893,24.203821656050955,189,1999,190,0.7247503381320289,7850
20,1.8,1.5,0.8553719008264463,0.5900168255748738,0.5102880658436214,11.836065573770492,31.0828025477707,242,1783,244,0.7247390892677958,7850
25,2.2,1.8,0.8579545454545454,0.5375782881002088,0.4689265536723164,11.151685393258427,22.67515923566879,176,958,178,0.7245492972433367,7850
22,1.8,2.0,0.8777292576419214,0.5818836232753449,0.537117903930131,18.934782608695652,29.299363057324843,229,1667,230,0.7245102071288798,7850
20,2.0,1.8,0.8464566929133859,0.5740365111561866,0.4745098039215686,13.23828125,32.611464968152866,254,1479,256,0.7244662430690821,7850
30,2.0,1.8,0.86,0.5236768802228412,0.46,12.602649006622517,19.23566878980892,150,1077,151,0.7239192200557103,7850
18,1.5,1.2,0.8546099290780141,0.6234689845910707,0.5123674911660777,10.72887323943662,36.17834394904459,282,2531,284,0.7238611121645782,7850
30,1.5,1.5,0.852760736196319,0.5618413754853022,0.49079754601226994,15.207317073170731,20.891719745222932,163,1803,164,0.7235891782271537,7850
20,2.0,1.5,0.8471074380165289,0.5740365111561866,0.4897119341563786,9.245901639344263,31.0828025477707,242,1479,244,0.7234087047419595,7850
30,1.5,1.2,0.8524590163934426,0.5618413754853022,0.4918032786885246,10.471544715447154,15.668789808917198,122,1803,123,0.7232472291172272,7850
25,1.5,1.8,0.8737373737373737,0.5952976488244122,0.5555555555555556,22.1356783919598,25.35031847133758,198,1999,199,0.7220567354384262,7850
20,1.5,1.0,0.8383838383838383,0.6213675213675214,0.5404040404040404,8.06532663316583,25.35031847133758,198,2340,199,0.7217560217560217,7850
16,1.5,1.5,0.8556338028169014,0.6121771217712177,0.5105633802816901,16.936842105263157,36.30573248407644,284,2710,285,0.721584022077325,7850
18,2.0,1.8,0.8628158844765343,0.5754895767530006,0.4892086330935252,13.519713261648745,35.54140127388535,277,1583,279,0.7211793324680202,7850
22,2.0,1.8,0.8430493273542601,0.5708029197080292,0.4977578475336323,13.526785714285714,28.53503184713376,223,1370,224,0.7211760662498772,7850
18,2.2,2.0,0.8695652173913043,0.5678627145085804,0.49097472924187724,13.816546762589928,35.41401273885351,276,1282,278,0.7210682069693113,7850
18,1.8,1.5,0.8623188405797102,0.5974973931178311,0.5126353790613718,11.906474820143885,35.41401273885351,276,1918,278,0.720887801123272,7850
30,1.8,1.2,0.8846153846153846,0.5303490136570561,0.48717948717948717,7.423076923076923,9.936305732484076,78,1318,78,0.7204077662347768,7850
16,2.2,2.0,0.8650519031141869,0.583977512297962,0.49480968858131485,14.717241379310344,36.94267515923567,289,1423,290,0.720236401598025,7850
20,1.8,1.8,0.8669354838709677,0.5900168255748738,0.5403225806451613,16.27309236947791,31.719745222929937,248,1783,249,0.7196379643555019,7850
18,2.0,1.5,0.8652482269503546,0.5754895767530006,0.49469964664310956,9.257042253521126,36.17834394904459,282,1583,284,0.7194747106975048,7850
16,1.8,1.8,0.8556338028169014,0.6033412887828162,0.5105633802816901,16.936842105263157,36.30573248407644,284,2095,285,0.7193750638302245,7850
18,1.8,1.8,0.8544776119402985,0.5974973931178311,0.5186567164179104,16.442379182156134,34.26751592356688,268,1918,269,0.7189409262177916,7850
30,2.0,1.5,0.8640776699029126,0.5236768802228412,0.4854368932038835,9.615384615384615,13.248407643312103,103,1077,104,0.7187832977256132,7850
20,1.8,2.0,0.869198312236287,0.5900168255748738,0.5569620253164557,19.747899159663866,30.31847133757962,237,1783,238,0.718492408172858,7850
30,2.2,2.0,0.86,0.5075493612078978,0.4666666666666667,12.920529801324504,19.23566878980892,150,861,151,0.7182206736353077,7850
25,1.8,1.5,0.8342857142857143,0.5637319316688568,0.4943181818181818,11.841807909604519,22.547770700636942,175,1522,177,0.7176391517483829,7850
22,2.2,1.8,0.8564593301435407,0.5508072174738842,0.5095238095238095,11.530805687203792,26.878980891719745,209,1053,211,0.7172586510305808,7850
22,1.5,1.8,0.8532110091743119,0.6176336226587483,0.573394495412844,22.141552511415526,27.898089171974522,218,2189,219,0.7170230845637696,7850
25,1.8,1.8,0.8518518518518519,0.5637319316688568,0.5185185185185185,16.542105263157893,24.203821656050955,189,1522,190,0.7168589088431401,7850
16,1.5,1.0,0.8688524590163934,0.6121771217712177,0.5147540983606558,7.643790849673203,38.98089171974522,305,2710,306,0.7164812491880486,7850
18,1.8,2.0,0.8530612244897959,0.5974973931178311,0.5469387755102041,20.516260162601625,31.337579617834397,245,1918,246,0.7163287223857883,7850
25,2.0,1.5,0.8387096774193549,0.5459098497495827,0.48717948717948717,9.815286624203821,20.0,155,1198,157,0.7162954938683302,7850
25,2.5,1.8,0.8571428571428571,0.5053110773899848,0.47096774193548385,8.67741935483871,19.745222929936308,154,659,155,0.7157286910064824,7850
30,1.8,1.8,0.852760736196319,0.5303490136570561,0.49079754601226994,15.207317073170731,20.891719745222932,163,1318,164,0.7157160877700921,7850
22,2.5,2.0,0.8726415094339622,0.5227272727272727,0.5070422535211268,10.827102803738319,27.26114649681529,212,748,214,0.715713707631725,7850
18,2.5,1.8,0.8625954198473282,0.5574136008918618,0.5057034220532319,9.007575757575758,33.63057324840764,262,897,264,0.7156552152498432,7850
20,2.0,2.0,0.8669354838709677,0.5740365111561866,0.5403225806451613,16.27309236947791,31.719745222929937,248,1479,249,0.71564288575083,7850
20,2.5,1.8,0.852017937219731,0.5444444444444444,0.5044642857142857,8.991111111111111,28.662420382165607,223,810,225,0.715600420848459,7850
25,1.5,1.0,0.8270676691729323,0.5952976488244122,0.5037593984962406,7.43609022556391,16.94267515923567,133,1999,133,0.7153657655895617,7850
16,2.0,1.8,0.8633333333333333,0.5845799769850403,0.5049833887043189,13.87748344370861,38.47133757961784,300,1738,302,0.7147802511041506,7850
16,2.0,2.0,0.8556338028169014,0.5845799769850403,0.5105633802816901,16.936842105263157,36.30573248407644,284,1738,285,0.7146847358807806,7850
16,2.2,1.5,0.8729096989966555,0.583977512297962,0.5183946488294314,8.296666666666667,38.21656050955414,299,1423,300,0.7145743580502057,7850
16,1.8,1.2,0.8688524590163934,0.6033412887828162,0.5147540983606558,7.643790849673203,38.98089171974522,305,2095,306,0.7142722909409482,7850
20,2.2,1.5,0.8564593301435407,0.5626620570440796,0.5333333333333333,8.113744075829384,26.878980891719745,209,1157,211,0.7142699799707487,7850
30,2.0,2.0,0.852760736196319,0.5236768802228412,0.49079754601226994,15.207317073170731,20.891719745222932,163,1077,164,0.7140480544115384,7850
20,1.8,1.2,0.8383838383838383,0.5900168255748738,0.5404040404040404,8.06532663316583,25.35031847133758,198,1783,199,0.7139183478078597,7850
18,2.2,1.5,0.8549019607843137,0.5678627145085804,0.5215686274509804,8.0859375,32.611464968152866,255,1282,256,0.713691668386106,7850
18,2.0,2.0,0.8544776119402985,0.5754895767530006,0.5186567164179104,16.442379182156134,34.26751592356688,268,1583,269,0.7134389721265839,7850
14,2.2,2.0,0.8633540372670807,0.6116264687693259,0.5217391304347826,14.603715170278639,41.146496815286625,322,1617,323,0.7129005510716157,7850
14,1.8,2.0,0.828125,0.6101331043366252,0.53515625,22.610894941634243,32.738853503184714,256,2329,257,0.7126169577455151,7850
25,1.5,2.0,0.8666666666666667,0.5952976488244122,0.5444444444444444,28.049723756906076,23.05732484076433,180,1999,181,0.7125475552386383,7850
25,2.0,2.0,0.8518518518518519,0.5459098497495827,0.5185185185185185,16.542105263157893,24.203821656050955,189,1198,190,0.7124033883633215,7850
22,2.5,1.8,0.8415300546448088,0.5227272727272727,0.483695652173913,9.221621621621622,23.566878980891723,183,748,185,0.7122169215317825,7850
14,2.0,1.8,0.8633540372670807,0.6014344262295082,0.515527950310559,14.424148606811146,41.146496815286625,322,1952,323,0.7119053354677171,7850
22,1.5,1.0,0.8148148148148148,0.6176336226587483,0.5493827160493827,8.122699386503067,20.764331210191084,162,2189,163,0.7115071710967857,7850
30,1.5,2.0,0.8622754491017964,0.5618413754853022,0.5329341317365269,26.339285714285715,21.40127388535032,167,1803,168,0.711445159953447,7850
20,1.5,1.8,0.84375,0.6213675213675214,0.5892857142857143,22.862222222222222,28.662420382165607,224,2340,225,0.7111454517704517,7850
20,2.2,1.8,0.8493723849372385,0.5626620570440796,0.5333333333333333,11.556016597510373,30.70063694267516,239,1157,241,0.7109761681710662,7850
14,2.2,1.5,0.8695652173913043,0.6116264687693259,0.5173410404624278,8.463976945244957,44.203821656050955,345,1617,347,0.7107678862006976,7850
16,1.8,2.0,0.84375,0.6033412887828162,0.5546875,21.06225680933852,32.738853503184714,256,2095,257,0.7107236913570628,7850
16,1.8,1.5,0.8519736842105263,0.6033412887828162,0.5245901639344263,12.156862745098039,38.98089171974522,304,2095,306,0.7103117336090133,7850
16,1.5,1.2,0.8381877022653722,0.6121771217712177,0.5129032258064516,11.12540192926045,39.61783439490446,309,2710,311,0.7102450606792957,7850
22,2.2,1.5,0.8538011695906432,0.5508072174738842,0.5348837209302325,8.190751445086706,22.038216560509554,171,1053,173,0.7101212250131058,7850
25,1.8,2.0,0.8682926829268293,0.5637319316688568,0.5658536585365853,18.655339805825243,26.24203821656051,205,1522,206,0.7099573731611166,7850
22,2.2,2.0,0.8325581395348837,0.5508072174738842,0.5116279069767442,14.356481481481481,27.515923566878982,215,1053,216,0.7095622694847501,7850
18,1.5,1.8,0.8448275862068966,0.6234689845910707,0.5991379310344828,23.472103004291846,29.681528662420384,232,2531,233,0.709531039251216,7850
30,2.5,1.8,0.8829787234042553,0.4567307692307692,0.4787234042553192,8.821052631578947,12.101910828025478,94,624,95,0.709395458265139,7850
14,1.5,1.0,0.8583815028901735,0.6180747922437673,0.5202312138728323,8.048991354466859,44.203821656050955,346,2888,347,0.7083023093663675,7850
30,2.2,1.8,0.8633093525179856,0.5075493612078978,0.5107913669064749,10.042857142857143,17.8343949044586,139,861,140,0.7081823043307514,7850
14,2.5,1.8,0.8709677419354839,0.5868465430016864,0.5102639296187683,9.628654970760234,43.56687898089172,341,1186,342,0.7078245109582219,7850
25,1.8,1.2,0.8270676691729323,0.5637319316688568,0.5037593984962406,7.43609022556391,16.94267515923567,133,1522,133,0.7074743363006728,7850
18,2.5,2.0,0.8546099290780141,0.5574136008918618,0.5123674911660777,10.72887323943662,36.17834394904459,282,897,284,0.707347266239776,7850
