bb_length,bb_mult,kc_mult,fire_accuracy,touch_reversal,squeeze_whipsaw,avg_squeeze_dur,squeeze_freq,total_fires,total_touches,total_squeezes,composite_score,bars_tested
18,2.5,1.8,0.8290113452188006,0.583240589198036,0.21231766612641814,9.0822528363047,30.014837156130664,2468,45825,2468,0.7914094057399935,82226
22,2.5,2.0,0.8254580520732884,0.5862616685401496,0.21311475409836064,10.90983606557377,25.223165422129252,2074,40922,2074,0.7909241442324337,82226
22,2.2,1.8,0.8262108262108262,0.5759292933564512,0.20892687559354226,11.414529914529915,25.612336730474546,2106,47294,2106,0.7896138523039751,82226
22,2.2,1.5,0.8171324422843257,0.5759292933564512,0.19987849331713245,8.544349939246658,20.01799917301097,1646,47294,1646,0.7891524326951274,82226
25,2.5,2.0,0.8211572180011689,0.584951713891542,0.21507890122735243,10.998831092928112,20.808503393087346,1711,37692,1711,0.788815368566398,82226
22,2.5,1.5,0.8129554655870446,0.5862616685401496,0.17408906882591094,7.168421052631579,15.019580181451122,1235,40922,1235,0.7886140001309888,82226
25,2.2,1.8,0.826879271070615,0.5756520165577145,0.214123006833713,11.452164009111618,21.355775545447912,1756,44209,1756,0.7884460337521848,82226
18,2.5,1.5,0.8249594813614263,0.583240589198036,0.17990275526742303,6.999459751485683,22.511127867097997,1851,45825,1851,0.7883169004059379,82226
20,2.5,1.8,0.8186112423240435,0.5851892839027989,0.21492678318375058,9.142182333490789,25.746114367718242,2117,43374,2117,0.7881489978769751,82226
18,2.2,1.5,0.8218694885361552,0.5704545015549246,0.20458553791887124,8.531305114638448,27.58251647897259,2268,51771,2268,0.7880280874698598,82226
25,2.5,1.5,0.8173076923076923,0.584951713891542,0.17735042735042736,7.085470085470085,11.383260769099799,936,37692,936,0.7879473301822871,82226
30,2.5,2.0,0.8075079872204473,0.5814345991561182,0.19968051118210864,11.0870607028754,15.226327439009559,1252,33180,1252,0.7876909181596365,82226
20,2.5,2.0,0.8227524499360886,0.5851892839027989,0.22411589262888795,10.956540264167021,28.54328314645003,2347,43374,2347,0.7870940827993043,82226
30,2.0,1.8,0.8202917771883289,0.5647491043515962,0.20092838196286472,13.437665782493369,18.339697905771896,1508,43823,1508,0.7870427137536815,82226
22,2.5,1.8,0.81214848143982,0.5862616685401496,0.21316085489313835,9.43082114735658,21.6233308199353,1778,40922,1778,0.7869197478436988,82226
30,2.2,1.8,0.81,0.5713277014247888,0.1976923076923077,11.495384615384616,15.810084401527497,1300,39655,1300,0.7864088484331202,82226
20,2.2,1.2,0.8391959798994975,0.5728744939271255,0.15912897822445563,6.1038525963149075,14.520954442633718,1194,49400,1194,0.7862336988586658,82226
20,2.5,1.2,0.8401084010840109,0.5851892839027989,0.14905149051490515,5.487804878048781,8.975263298713303,738,43374,738,0.7859450174526644,82226
30,2.5,1.8,0.8104838709677419,0.5814345991561182,0.21068548387096775,9.492943548387096,12.06431055870406,992,33180,992,0.7858324401116101,82226
20,2.2,1.5,0.8139656070870245,0.5728744939271255,0.20635747785304848,8.608650338718082,23.338116897331744,1919,49400,1919,0.7858189361446266,82226
22,2.5,1.2,0.8312159709618875,0.5862616685401496,0.15063520871143377,5.7368421052631575,6.701043465570501,551,40922,551,0.7856398272983768,82226
20,1.8,1.2,0.8184296619411123,0.5502933103708089,0.19083969465648856,8.376772082878952,22.30438060953956,1834,55743,1834,0.7853923025109137,82226
20,2.0,1.5,0.823985408116735,0.5633691351045789,0.2106703146374829,9.898312813497492,26.67039622503831,2193,53070,2193,0.7853703275517945,82226
22,2.0,1.0,0.8414634146341463,0.5647728161413936,0.1448170731707317,5.786585365853658,7.978011821078491,656,51148,656,0.7852938137914459,82226
30,2.2,1.5,0.8054607508532423,0.5713277014247888,0.19681456200227532,8.530147895335608,10.690049376109746,879,39655,879,0.785266510111601,82226
22,2.2,1.0,0.8297413793103449,0.5759292933564512,0.12284482758620689,5.301724137931035,5.642983971006737,464,47294,464,0.7852107716149748,82226
16,2.5,1.5,0.8267543859649122,0.5797259934799653,0.1868421052631579,6.892982456140351,27.728455719602074,2280,48466,2280,0.785177112405079,82226
20,2.0,1.0,0.8484500574052812,0.5633691351045789,0.14810562571756603,5.575200918484501,10.592756549023424,871,53070,871,0.7841029037531826,82226
22,2.2,1.2,0.816435432230523,0.5759292933564512,0.15048025613660618,6.278548559231591,11.395422372485589,937,47294,937,0.784078374566434,82226
30,2.0,1.5,0.8149466192170819,0.5647491043515962,0.20640569395017794,9.849644128113878,13.66964220562839,1124,43823,1124,0.784069838365479,82226
20,2.5,1.5,0.8072531900604433,0.5851892839027989,0.18468770987239758,7.175285426460712,18.10862744144188,1489,43374,1489,0.7840542047903404,82226
30,1.8,1.5,0.8144023756495917,0.5561552571103286,0.19747587230883445,11.811432813659986,16.381679760659644,1347,47431,1347,0.783990558895251,82226
25,2.2,1.5,0.8021978021978022,0.5756520165577145,0.2032967032967033,8.76923076923077,15.493882713496948,1274,44209,1274,0.7837481689745934,82226
25,2.0,1.2,0.8173076923076923,0.5679469317307493,0.17735042735042736,7.085470085470085,11.383260769099799,936,48089,936,0.783696134642089,82226
25,1.8,1.2,0.8094059405940595,0.5555037041357989,0.19224422442244224,8.464521452145215,14.739863303577945,1212,51429,1212,0.783636652106557,82226
16,2.2,1.5,0.827893175074184,0.5650152523062222,0.2062314540059347,8.411721068249259,32.78768272809087,2696,54418,2696,0.7834177642171756,82226
20,2.2,2.0,0.8198632891033374,0.5728744939271255,0.22195416164053075,13.712907117008443,30.24590762046068,2487,49400,2487,0.7832792237685487,82226
