bb_length,bb_mult,kc_mult,fire_accuracy,touch_reversal,squeeze_whipsaw,avg_squeeze_dur,squeeze_freq,total_fires,total_touches,total_squeezes,composite_score,bars_tested
22,1.5,1.0,0.910958904109589,0.526984126984127,0.564625850340136,7.5646258503401365,18.723729461215132,146,1575,147,0.7095234988972757,7851
20,1.5,1.2,0.8933333333333333,0.5301568154402895,0.588495575221239,10.47787610619469,28.786141892752514,225,1658,226,0.7034153100547625,7851
18,1.5,1.2,0.8901515151515151,0.5308219178082192,0.5622641509433962,10.41132075471698,33.753661953891225,264,1752,265,0.7029287930051749,7851
22,1.8,1.2,0.910958904109589,0.4938704028021016,0.564625850340136,7.5646258503401365,18.723729461215132,146,1142,147,0.7012450678517694,7851
22,2.5,1.8,0.9069767441860465,0.46882217090069284,0.5549132947976878,8.445086705202312,22.03540950197427,172,433,173,0.7005702422815652,7851
25,1.5,1.0,0.9047619047619048,0.5133991537376587,0.6,7.857142857142857,13.374092472296523,105,1418,105,0.6983497884344145,7851
25,1.8,1.2,0.9047619047619048,0.5071496663489037,0.6,7.857142857142857,13.374092472296523,105,1049,105,0.6967874165872259,7851
20,2.0,1.5,0.8786407766990292,0.4928861788617886,0.5603864734299517,9.541062801932368,26.366068016813145,206,984,207,0.696717159367668,7851
22,1.8,1.0,0.9047619047619048,0.4938704028021016,0.5119047619047619,5.916666666666667,10.699273977837219,84,1142,84,0.696086648319573,7851
22,2.0,1.5,0.8958333333333334,0.4820224719101124,0.5751295336787565,8.740932642487047,24.58285568717361,192,890,193,0.6954732345578389,7851
22,1.5,1.5,0.8899521531100478,0.526984126984127,0.6142857142857143,16.142857142857142,26.748184944593046,209,1575,210,0.6951602491076174,7851
18,1.5,1.8,0.8661087866108786,0.5308219178082192,0.5875,21.90871369294606,30.69672653165202,239,1752,241,0.6945019045492317,7851
16,1.5,1.8,0.8514056224899599,0.5349668198060235,0.568,22.685258964143426,31.97044962425169,249,1959,251,0.6938793089914076,7851
30,2.0,2.0,0.8888888888888888,0.4823529411764706,0.577922077922078,14.448051948051948,19.6153356260349,153,765,154,0.6927743824802648,7851
22,2.2,1.2,0.8902439024390244,0.4753623188405797,0.47560975609756095,5.536585365853658,10.444529359317285,82,690,82,0.6923771650759986,7851
22,2.2,1.5,0.9025974025974026,0.4753623188405797,0.5870967741935483,7.877419354838709,19.742707935294867,154,690,155,0.6916198004893658,7851
18,2.5,2.0,0.8901515151515151,0.484375,0.5622641509433962,10.41132075471698,33.753661953891225,264,576,265,0.6913170635531201,7851
20,2.5,2.0,0.8933333333333333,0.4817073170731707,0.588495575221239,10.47787610619469,28.786141892752514,225,492,226,0.6913029354629828,7851
22,1.8,2.0,0.8812785388127854,0.4938704028021016,0.5863636363636363,18.28181818181818,28.021908037192713,219,1142,220,0.6912602532534519,7851
30,1.8,1.8,0.8888888888888888,0.4756980351602896,0.577922077922078,14.448051948051948,19.6153356260349,153,967,154,0.6911106559762196,7851
18,1.5,1.0,0.8644859813084113,0.5308219178082192,0.6046511627906976,7.911627906976745,27.38504649089288,214,1752,215,0.6900047622166712,7851
30,1.5,1.5,0.8888888888888888,0.46985121378230227,0.577922077922078,14.448051948051948,19.6153356260349,153,1277,154,0.6896489506317227,7851
22,1.5,1.2,0.8737864077669902,0.526984126984127,0.6183574879227053,9.85024154589372,26.366068016813145,206,1575,207,0.6892925820954524,7851
20,2.5,1.8,0.8663366336633663,0.4817073170731707,0.5665024630541872,8.699507389162562,25.856578779773276,202,492,203,0.6887022036037558,7851
25,1.5,1.5,0.8770053475935828,0.5133991537376587,0.6117021276595744,15.462765957446809,23.945994140873776,187,1418,188,0.6885258607975959,7851
25,1.8,2.0,0.8795811518324608,0.5071496663489037,0.609375,18.65625,24.45548337791364,191,1049,192,0.6883180121369641,7851
18,1.8,1.2,0.8644859813084113,0.5217717717717718,0.6046511627906976,7.911627906976745,27.38504649089288,214,1332,215,0.6877422257075593,7851
14,1.5,1.5,0.8783783783783784,0.5433874709976798,0.5959595959595959,17.221476510067113,37.95694815947013,296,2155,298,0.6871089020072509,7851
25,1.8,1.8,0.8770053475935828,0.5071496663489037,0.6117021276595744,15.462765957446809,23.945994140873776,187,1049,188,0.6869634889504072,7851
22,1.8,1.8,0.8899521531100478,0.4938704028021016,0.6142857142857143,16.142857142857142,26.748184944593046,209,1142,210,0.6868818180621111,7851
25,2.2,1.5,0.92,0.443163097199341,0.6,8.96,12.737230925996688,100,607,100,0.6867907742998353,7851
18,1.8,1.5,0.8697318007662835,0.5217717717717718,0.5992366412213741,11.492366412213741,33.37154502611132,261,1332,262,0.685934081157299,7851
18,2.2,1.8,0.8901515151515151,0.4771395076201641,0.5773584905660377,10.924528301886792,33.753661953891225,264,853,265,0.6857346055525007,7851
25,2.0,1.5,0.87248322147651,0.4683229813664596,0.5733333333333334,8.766666666666667,19.105846388995033,149,805,150,0.6854923784512345,7851
20,1.8,2.0,0.8723404255319149,0.5044606650446066,0.6101694915254238,18.64406779661017,30.059864985352185,235,1233,236,0.6851751460637832,7851
16,1.5,1.5,0.8850174216027874,0.5349668198060235,0.6111111111111112,16.048442906574394,36.81059737613043,287,1959,289,0.6851181580276802,7851
22,2.0,2.0,0.8899521531100478,0.4820224719101124,0.6142857142857143,16.142857142857142,26.748184944593046,209,890,210,0.6839198353391138,7851
14,2.0,2.0,0.8783783783783784,0.5301659125188537,0.5959595959595959,17.221476510067113,37.95694815947013,296,1326,298,0.6838035123875443,7851
14,1.8,1.8,0.8783783783783784,0.5282112845138055,0.5959595959595959,17.221476510067113,37.95694815947013,296,1666,298,0.6833148553862823,7851
18,1.8,2.0,0.8669354838709677,0.5217717717717718,0.6184738955823293,19.397590361445783,31.715705005731753,248,1332,249,0.6830456058657646,7851
