bb_length,bb_mult,kc_mult,fire_accuracy,touch_reversal,squeeze_whipsaw,avg_squeeze_dur,squeeze_freq,total_fires,total_touches,total_squeezes,composite_score,bars_tested
20,1.5,1.2,0.8888888888888888,0.5897341211225997,0.41452991452991456,9.790598290598291,29.805120366832252,234,2708,234,0.7604677183148378,7851
20,1.5,1.8,0.867579908675799,0.5897341211225997,0.410958904109589,21.436363636363637,28.021908037192713,219,2708,220,0.7549677768559924,7851
20,1.5,1.5,0.8699186991869918,0.5897341211225997,0.4186991869918699,14.906882591093117,31.46096038721182,246,2708,247,0.7512994093100936,7851
22,1.5,1.5,0.8863636363636364,0.5710371819960861,0.4318181818181818,15.031818181818181,28.021908037192713,220,2555,220,0.750713840953567,7851
14,1.8,2.0,0.8689138576779026,0.5866569978245105,0.4044943820224719,20.52238805970149,34.13577888167112,267,2758,268,0.7493218464510951,7851
18,2.2,1.8,0.8953068592057761,0.5590994371482176,0.4007220216606498,10.093525179856115,35.409501974270796,277,1599,278,0.7491705750098401,7851
22,2.0,1.5,0.8950276243093923,0.5344009489916963,0.4143646408839779,8.883977900552486,23.054387976054006,181,1686,181,0.7485173643197472,7851
20,1.5,2.0,0.8857142857142857,0.5897341211225997,0.45714285714285713,25.379146919431278,26.875557253853014,210,2708,211,0.7475982786444504,7851
22,1.5,1.2,0.8719211822660099,0.5710371819960861,0.42857142857142855,9.561576354679802,25.856578779773276,203,2555,203,0.7471927930359672,7851
18,1.8,2.0,0.8875,0.5733905579399141,0.44583333333333336,19.33609958506224,30.69672653165202,240,2330,241,0.7469780952655585,7851
18,1.5,1.2,0.8836363636363637,0.5917383820998279,0.43272727272727274,9.702898550724637,35.15475735575086,275,2905,276,0.7462524241744631,7851
18,1.8,1.5,0.8860294117647058,0.5733905579399141,0.4227941176470588,10.663003663003662,34.77264042797096,272,2330,273,0.7455035328893406,7851
20,1.8,1.8,0.8699186991869918,0.5632881830920131,0.4186991869918699,14.906882591093117,31.46096038721182,246,2141,247,0.7446879248024469,7851
25,1.5,1.2,0.8816568047337278,0.5550774526678142,0.4378698224852071,9.189349112426035,21.525920264934403,169,2324,169,0.74379894896577,7851
22,1.8,1.8,0.8863636363636364,0.5424317617866005,0.4318181818181818,15.031818181818181,28.021908037192713,220,2015,220,0.7435624859011956,7851
25,2.0,1.5,0.8671328671328671,0.5247718383311604,0.3916083916083916,8.664335664335665,18.214240224175263,143,1534,143,0.7434307218205523,7851
20,2.5,2.0,0.8888888888888888,0.5203488372093024,0.41452991452991456,9.790598290598291,29.805120366832252,234,1032,234,0.7431213973365136,7851
16,1.5,1.0,0.8876404494382022,0.5892063492063492,0.42696629213483145,7.257462686567164,34.13577888167112,267,3150,268,0.7425338111622266,7851
22,2.0,1.8,0.8738738738738738,0.5344009489916963,0.4144144144144144,12.121621621621621,28.27665265571265,222,1686,222,0.7421587958064826,7851
30,1.8,2.0,0.8838709677419355,0.5194564546016059,0.4129032258064516,17.55483870967742,19.742707935294867,155,1619,155,0.7417995975213691,7851
22,2.0,2.0,0.8863636363636364,0.5344009489916963,0.4318181818181818,15.031818181818181,28.021908037192713,220,1686,220,0.7415547827024694,7851
18,1.5,1.5,0.8566176470588235,0.5917383820998279,0.4227941176470588,14.875457875457876,34.77264042797096,272,2905,273,0.7412669595175544,7851
18,1.5,2.0,0.863013698630137,0.5917383820998279,0.4520547945205479,25.827272727272728,28.021908037192713,219,2905,220,0.7410674307262852,7851
16,1.8,2.0,0.859375,0.5792610250297974,0.4296875,19.638132295719846,32.73468347981149,256,2517,257,0.7406480754577636,7851
20,1.8,2.0,0.8601694915254238,0.5632881830920131,0.4322033898305085,18.067510548523206,30.187237294612153,236,2141,237,0.7405099836153164,7851
20,2.0,2.0,0.8699186991869918,0.5460021905805038,0.4186991869918699,14.906882591093117,31.46096038721182,246,1826,247,0.7403664266745696,7851
25,1.5,2.0,0.8624338624338624,0.5550774526678142,0.42857142857142855,24.312169312169313,24.07336645013374,189,2324,189,0.740356664754255,7851
22,1.8,2.0,0.874439461883408,0.5424317617866005,0.4304932735426009,17.69506726457399,28.404024964972614,223,2015,223,0.7403164606260223,7851
16,1.8,1.2,0.8876404494382022,0.5792610250297974,0.42696629213483145,7.257462686567164,34.13577888167112,267,2517,268,0.7400474801180885,7851
20,1.8,1.5,0.8647540983606558,0.5632881830920131,0.4344262295081967,10.389344262295081,31.07884345943192,244,2141,244,0.7398436454717643,7851
30,1.5,1.2,0.8706896551724138,0.5362806343104277,0.4224137931034483,8.758620689655173,14.775187874156158,116,2081,116,0.739673606853469,7851
16,1.5,1.5,0.8788927335640139,0.5892063492063492,0.43944636678200694,15.427586206896551,36.9379696853904,289,3150,290,0.7395445328663057,7851
20,2.2,1.8,0.8796680497925311,0.543918918918919,0.43983402489626555,10.04149377593361,30.69672653165202,241,1480,241,0.738760427557336,7851
18,1.5,1.8,0.8559670781893004,0.5917383820998279,0.4567901234567901,20.704918032786885,31.07884345943192,243,2905,244,0.738729115685163,7851
22,1.5,1.8,0.8577981651376146,0.5710371819960861,0.44954128440366975,20.10091743119266,27.76716341867278,218,2555,218,0.7377134239393885,7851
16,1.8,1.8,0.8788927335640139,0.5792610250297974,0.43944636678200694,15.427586206896551,36.9379696853904,289,2517,290,0.7370582018221676,7851
18,1.8,1.8,0.8566176470588235,0.5733905579399141,0.4227941176470588,14.875457875457876,34.77264042797096,272,2330,273,0.7366800034775759,7851
25,1.5,1.8,0.8585365853658536,0.5550774526678142,0.43902439024390244,19.058536585365854,26.111323398293212,205,2324,205,0.736574241215734,7851
18,2.0,1.8,0.8717948717948718,0.5683229813664596,0.43956043956043955,12.405109489051094,34.900012737230924,273,1932,274,0.7355624090945817,7851
20,1.5,1.0,0.8700564971751412,0.5897341211225997,0.4576271186440678,7.141242937853107,22.544898739014137,177,2708,177,0.7354561291507065,7851
18,2.0,2.0,0.8566176470588235,0.5683229813664596,0.4227941176470588,14.875457875457876,34.77264042797096,272,1932,273,0.7354131093342123,7851
20,2.0,1.2,0.9103448275862069,0.5460021905805038,0.41379310344827586,5.903448275862069,18.4689848426952,145,1826,145,0.7351902028175398,7851
30,1.5,1.8,0.8518518518518519,0.5362806343104277,0.41975308641975306,19.876543209876544,20.634314100114636,162,2081,162,0.7346874425282242,7851
20,2.0,1.8,0.8838174273858921,0.5460021905805038,0.46473029045643155,12.54356846473029,30.69672653165202,241,1826,241,0.7343019923606989,7851
16,2.0,2.0,0.8788927335640139,0.5682031984948259,0.43944636678200694,15.427586206896551,36.9379696853904,289,2126,290,0.7342937451884248,7851
16,1.5,2.0,0.8508771929824561,0.5892063492063492,0.45614035087719296,26.283842794759824,29.168258820532415,228,3150,229,0.7342501814944931,7851
25,1.8,1.5,0.8666666666666667,0.5300218340611353,0.43333333333333335,9.805555555555555,22.927015666794038,180,1832,180,0.7341721251819504,7851
20,2.2,2.0,0.8780487804878049,0.543918918918919,0.45528455284552843,12.56910569105691,31.333588077951852,246,1480,246,0.7333505788681025,7851
18,2.0,1.2,0.8628571428571429,0.5683229813664596,0.4,6.1875,22.417526429754172,175,1932,176,0.7328128881987578,7851
22,2.5,2.0,0.8719211822660099,0.5123711340206185,0.42857142857142855,9.561576354679802,25.856578779773276,203,970,203,0.7325262810421004,7851
18,2.5,2.0,0.8836363636363637,0.5361552028218695,0.43272727272727274,9.702898550724637,35.15475735575086,275,1134,276,0.7323566293549735,7851
14,1.5,1.8,0.8373983739837398,0.5892176970407267,0.45528455284552843,23.813765182186234,31.46096038721182,246,3413,247,0.732267864265235,7851
22,1.5,2.0,0.8620689655172413,0.5710371819960861,0.47783251231527096,24.862068965517242,25.856578779773276,203,2555,203,0.7319218570753762,7851
30,1.5,2.0,0.8461538461538461,0.5362806343104277,0.4294117647058823,23.076470588235296,21.65329257419437,169,2081,170,0.7305633712472901,7851
30,2.0,1.2,0.8936170212765957,0.5041014168530947,0.3404255319148936,5.127659574468085,5.986498535218444,47,1341,47,0.7302806733622098,7851
20,2.0,1.5,0.8709677419354839,0.5460021905805038,0.4700460829493088,8.894009216589861,27.639791109412815,217,1826,217,0.7302793494884439,7851
18,2.2,2.0,0.8727272727272727,0.5590994371482176,0.4509090909090909,12.554347826086957,35.15475735575086,275,1599,276,0.7302745061183786,7851
30,2.2,1.8,0.8739495798319328,0.4922089825847846,0.42016806722689076,9.411764705882353,15.157304801936059,119,1091,119,0.7301951027890532,7851
22,2.0,1.0,0.8909090909090909,0.5344009489916963,0.36363636363636365,4.9818181818181815,7.005477009298178,55,1686,55,0.7297820554297422,7851
22,2.2,2.0,0.8657407407407407,0.5098756400877835,0.4305555555555556,12.833333333333334,27.512418800152847,216,1367,216,0.7295522433552791,7851
16,2.2,2.0,0.8852459016393442,0.5680778032036613,0.4524590163934426,12.696078431372548,38.97592663354987,305,1748,306,0.7295185894717747,7851
30,1.8,1.5,0.8661417322834646,0.5194564546016059,0.4409448818897638,9.598425196850394,16.176283276015795,127,1619,127,0.7294704128629999,7851
20,1.8,1.2,0.8700564971751412,0.5632881830920131,0.4576271186440678,7.141242937853107,22.544898739014137,177,2141,177,0.7288446446430598,7851
20,2.5,1.5,0.9103448275862069,0.5203488372093024,0.41379310344827586,5.903448275862069,18.4689848426952,145,1032,145,0.7287768644747393,7851
16,1.5,1.8,0.8313725490196079,0.5892063492063492,0.4549019607843137,21.3671875,32.60731117055152,255,3150,256,0.7286423431938054,7851
16,2.5,1.8,0.8729096989966555,0.5618401206636501,0.44481605351170567,8.06,38.211692777990066,299,1326,300,0.7274427718569993,7851
16,2.0,1.8,0.8811881188118812,0.5682031984948259,0.46204620462046203,12.575657894736842,38.72118201502993,303,2126,304,0.7263603807537721,7851
25,2.5,2.0,0.8816568047337278,0.484814398200225,0.4378698224852071,9.189349112426035,21.525920264934403,169,889,169,0.7262331853488727,7851
16,1.8,1.5,0.8646864686468647,0.5792610250297974,0.45544554455445546,10.993421052631579,38.72118201502993,303,2517,304,0.7258245073545116,7851
16,2.5,1.2,0.8881118881118881,0.5618401206636501,0.38461538461538464,4.503496503496503,18.214240224175263,143,1326,143,0.7257747154805979,7851
25,1.8,2.0,0.8631578947368421,0.5300218340611353,0.4631578947368421,18.126315789473683,24.200738759393708,190,1832,190,0.7256633532521259,7851
16,2.0,1.5,0.8622950819672132,0.5682031984948259,0.4426229508196721,8.722222222222221,38.97592663354987,305,2126,306,0.7251237087863692,7851
22,2.2,1.8,0.863849765258216,0.5098756400877835,0.4460093896713615,9.690140845070422,27.130301872372947,213,1367,213,0.7251214921815703,7851
