bb_length,bb_mult,kc_mult,fire_accuracy,touch_reversal,squeeze_whipsaw,avg_squeeze_dur,squeeze_freq,total_fires,total_touches,total_squeezes,composite_score,bars_tested
18,2.5,2.0,0.8403335392217418,0.3920226937304736,0.025015441630636195,9.736955850571164,29.30505668298244,3238,104346,3239,0.7938518747914819,110527
25,2.5,2.0,0.8408969567538708,0.3838054600766465,0.02189001601708489,10.860651361452216,16.94608557185122,1873,101244,1873,0.7927479480410516,110527
18,2.2,2.0,0.8489971346704871,0.38008839925419047,0.022349570200573064,12.37496419364079,31.585042568784097,3490,105657,3491,0.7914921100499103,110527
20,2.5,2.0,0.8332140300644237,0.3901505264073784,0.025053686471009307,9.874373657838225,25.27889113067395,2794,103437,2794,0.7912384190034194,110527
22,2.5,2.0,0.8314417822614544,0.3880886669722355,0.02395964691046658,10.21311475409836,21.524152469532332,2379,102541,2379,0.7904647896938785,110527
22,2.5,1.8,0.826226012793177,0.3880886669722355,0.019722814498933903,9.06449893390192,16.973228260967907,1876,102541,1876,0.7899592669562785,110527
16,2.5,1.8,0.8265366430260047,0.39378538587224987,0.02186115214180207,8.06440177252585,30.626000886661178,3384,105268,3385,0.7898987165293113,110527
18,2.2,1.8,0.8359020852221215,0.38008839925419047,0.024176488365064974,10.121148036253777,29.947433658744018,3309,105657,3310,0.7897486032889177,110527
20,2.2,2.0,0.8386148317543286,0.37752875370439193,0.02515517804639007,12.648595689092097,27.70363802509794,3061,104943,3062,0.7896778434407989,110527
25,2.5,1.8,0.8279921517331589,0.3838054600766465,0.01896664486592544,9.02158273381295,13.833723886471178,1529,101244,1529,0.7896073493226279,110527
20,2.2,1.8,0.8371198881509961,0.37752875370439193,0.02446696959105208,10.329255505068158,25.88507785427995,2861,104943,2861,0.7894014124736337,110527
20,2.5,1.8,0.8226514486391572,0.3901505264073784,0.019754170324846356,8.668568920105356,20.61034860260389,2278,103437,2278,0.78939452361238,110527
18,2.5,1.8,0.8222140762463344,0.3920226937304736,0.022360703812316716,8.47617302052786,24.681751970106852,2728,104346,2728,0.7890797203534394,110527
30,2.2,1.5,0.8387096774193549,0.365886908760422,0.016129032258064516,8.762672811059907,7.853284717761271,868,101228,868,0.7890523723513958,110527
25,2.2,1.8,0.8394235717961914,0.3721844278602137,0.024189397838394237,11.28255275347401,17.579414984573905,1943,103043,1943,0.7888258290443122,110527
30,2.5,1.8,0.8286270691333982,0.37696234714879534,0.016553067185978577,9.514118792599806,9.291847240945652,1027,99116,1027,0.7886904407307236,110527
22,2.2,1.8,0.8368852459016394,0.37619198524963265,0.025819672131147543,10.672950819672131,22.076053814904956,2440,104133,2440,0.7886586520501131,110527
18,2.0,1.8,0.8504139309163574,0.3682587580744024,0.023979446188980874,12.069920091324201,31.70266088828974,3503,106045,3504,0.788356239099113,110527
22,2.2,2.0,0.8362637362637363,0.37619198524963265,0.027106227106227107,12.750274624679605,24.70889465922354,2730,104133,2731,0.7881505604149722,110527
25,2.2,1.5,0.829066265060241,0.3721844278602137,0.01957831325301205,8.316265060240964,12.01516371565319,1328,103043,1328,0.7868714081698727,110527
30,2.2,2.0,0.8350456621004566,0.365886908760422,0.021118721461187213,13.401255707762557,15.85133044414487,1752,101228,1752,0.7867057454549455,110527
20,2.0,1.8,0.8363338788870703,0.3659437141094395,0.022913256955810146,12.394960732984293,27.649352646864568,3055,105355,3056,0.7866577779545284,110527
22,2.0,2.0,0.8384535726613739,0.3650378237946053,0.027959958577839145,14.969634230503797,26.21983768671908,2897,104696,2898,0.7858055381026037,110527
30,2.0,1.8,0.8396990740740741,0.3554845601277918,0.02141203703703704,13.16087962962963,15.634188931211378,1728,102041,1728,0.7854278529949108,110527
20,2.0,2.0,0.8333847577908053,0.3659437141094395,0.02437519284171552,14.640037014188772,29.332199372099126,3241,105355,3242,0.7854075576541726,110527
16,2.5,2.0,0.8367828137280587,0.39378538587224987,0.026460571129159026,9.49515579994763,34.552643245541816,3817,105268,3819,0.7852783090616205,110527
20,2.2,1.5,0.8218643240605173,0.37752875370439193,0.02342606149341142,7.9941434846266475,18.538456666696824,2049,104943,2049,0.7850264051171668,110527
18,2.0,1.5,0.827281981676281,0.3682587580744024,0.023752969121140142,8.866304716661011,26.66316827562496,2947,106045,2947,0.7843110417411998,110527
25,1.8,2.0,0.8427184466019417,0.345771719038817,0.02174757281553398,18.540582524271844,23.297474825155845,2575,103872,2575,0.7838215705364032,110527
22,2.2,1.5,0.8144635447540012,0.37619198524963265,0.018375815056312982,8.29045643153527,15.263238846616664,1687,104133,1687,0.7837931059745302,110527
18,1.8,1.5,0.8401785714285714,0.35312113458033934,0.023809523809523808,10.478131508479619,30.408859373727687,3360,105907,3361,0.7837000418317291,110527
22,2.0,1.5,0.8254423720707795,0.3650378237946053,0.022477283596365374,9.34337637494022,18.918454314330436,2091,104696,2091,0.7832728466707938,110527
20,1.8,1.5,0.8388429752066116,0.3503314151140486,0.024449035812672177,10.709366391184574,26.274123064952455,2904,105306,2904,0.7831234873873275,110527
25,1.8,1.5,0.8435782108945528,0.345771719038817,0.025987006496751622,11.586706646676662,18.104173640829842,2001,103872,2001,0.7830196414038821,110527
25,2.0,1.5,0.8280597014925373,0.36047318794469835,0.02208955223880597,9.66089552238806,15.154668090149919,1675,103722,1675,0.7830138193742342,110527
16,2.2,1.5,0.8286814244465832,0.3821048771543821,0.021488133418858243,7.412123155869147,28.210301555276086,3117,106353,3118,0.7828798448265474,110527
22,1.8,2.0,0.8374202216996977,0.34953606476001375,0.023177695666778637,17.904298186702484,26.94364272983072,2977,104756,2978,0.782815658783218,110527
18,2.2,1.5,0.8236220472440945,0.38008839925419047,0.02283464566929134,7.640551181102362,22.9808101187945,2540,105657,2540,0.7828055643804767,110527
22,2.0,1.8,0.8287596048298573,0.3650378237946053,0.02854006586169045,12.426637394804244,24.726989785301328,2733,104696,2733,0.7827523209321858,110527
16,2.2,1.8,0.8398447606727037,0.3821048771543821,0.0258732212160414,9.899922420480992,34.9869262714088,3865,106353,3867,0.7826997984007149,110527
16,2.2,2.0,0.8426826227873349,0.3821048771543821,0.02343555223136375,12.057577268195415,36.29882291204864,4011,106353,4012,0.7819740798802073,110527
22,1.8,1.8,0.8384535726613739,0.34953606476001375,0.027959958577839145,14.969634230503797,26.21983768671908,2897,104756,2898,0.7819300983439557,110527
30,2.0,2.0,0.8340184994861254,0.3554845601277918,0.02877697841726619,15.939876670092497,17.60655767369059,1946,102041,1946,0.781882445273469,110527
25,2.2,2.0,0.8208888888888889,0.3721844278602137,0.029777777777777778,13.242666666666667,20.357016837514816,2250,103043,2250,0.7818683291872756,110527
20,2.0,1.5,0.8205645161290323,0.3659437141094395,0.024193548387096774,9.106048387096774,22.437956336460775,2480,105355,2480,0.7816068962692952,110527
25,2.0,2.0,0.8286298568507158,0.36047318794469835,0.028629856850715747,15.518609406952965,22.12129163009943,2445,103722,2445,0.7815497898287103,110527
20,1.8,1.8,0.8333847577908053,0.3503314151140486,0.02437519284171552,14.640037014188772,29.332199372099126,3241,105306,3242,0.7815044829053248,110527
25,2.0,1.8,0.8276633840644584,0.36047318794469835,0.02909579230080573,12.96598030438675,20.212255828892488,2234,103722,2234,0.7811433641303106,110527
18,2.0,2.0,0.8297752808988764,0.3682587580744024,0.024719101123595506,14.642796967144061,32.21837198150678,3560,106045,3561,0.78112021187152,110527
16,2.0,1.5,0.8255486775464266,0.3709746954076851,0.023072594259988744,8.59831223628692,32.16408660327341,3554,106700,3555,0.7810333175453963,110527
25,2.5,1.5,0.8344748858447488,0.3838054600766465,0.02054794520547945,6.985159817351598,7.925665222072435,876,101244,876,0.7810084426447323,110527
22,2.5,1.5,0.8330494037478705,0.3880886669722355,0.020442930153321975,6.911413969335605,10.621839007663286,1174,102541,1174,0.7809403950224455,110527
30,2.0,1.5,0.8209718670076727,0.3554845601277918,0.017050298380221655,9.956521739130435,10.61279144462439,1173,102041,1173,0.7809001255391943,110527
22,1.8,1.5,0.8349244232299124,0.34953606476001375,0.028241845664280032,10.938345266507557,22.74557347978322,2514,104756,2514,0.7808008817429072,110527
30,1.8,2.0,0.8349976224441275,0.34201139484202603,0.020922491678554447,19.159771754636235,19.02702507079718,2103,102327,2103,0.7807715125241061,110527
30,2.5,2.0,0.8090379008746356,0.37696234714879534,0.026239067055393587,11.079446064139942,12.41325648936459,1372,99116,1372,0.780392190285741,110527
20,1.8,2.0,0.8281829419035847,0.3503314151140486,0.024103831891223733,17.78683966635774,29.286961556904647,3236,105306,3237,0.7800117783767816,110527
14,2.5,1.8,0.8365477338476374,0.39604669348684274,0.022415039768618944,7.798746685948421,37.53833904837732,4148,106139,4149,0.7797958020293692,110527
