bb_length,bb_mult,kc_mult,fire_accuracy,touch_reversal,squeeze_whipsaw,avg_squeeze_dur,squeeze_freq,total_fires,total_touches,total_squeezes,composite_score,bars_tested
18,1.5,1.8,0.8947368421052632,0.6004855678446183,0.3441295546558704,20.866935483870968,31.528095601322146,247,3707,248,0.7799632299265623,7866
16,1.5,1.8,0.8893280632411067,0.603001017293998,0.35177865612648224,21.901574803149607,32.29087210780575,253,3932,254,0.7757858890845347,7866
25,1.5,1.0,0.8990825688073395,0.5730411686586986,0.29357798165137616,6.5963302752293576,13.857106534452074,109,3012,109,0.775553870146326,7866
20,1.5,1.8,0.8716814159292036,0.6028985507246377,0.3495575221238938,21.185022026431717,28.858377828629546,226,3450,227,0.774839681928947,7866
25,1.8,1.2,0.8990825688073395,0.5646637485077597,0.29357798165137616,6.5963302752293576,13.857106534452074,109,2513,109,0.7734595151085912,7866
22,1.5,1.0,0.8714285714285714,0.5903651426818043,0.32857142857142857,7.164285714285715,17.79811848461734,140,3259,140,0.7685198570990225,7866
30,2.5,1.0,1.0,0.5093283582089553,0.0,4.0,0.12712941774726672,1,1072,1,0.7673320895522389,7866
20,1.5,2.0,0.8472222222222222,0.6028985507246377,0.35648148148148145,25.1889400921659,27.587083651156878,216,3450,217,0.7651411336702361,7866
22,1.5,2.0,0.8768472906403941,0.5903651426818043,0.3793103448275862,25.344827586206897,25.807271802695144,203,3259,203,0.7646684613683163,7866
22,1.8,1.2,0.8714285714285714,0.5736240171551108,0.32857142857142857,7.164285714285715,17.79811848461734,140,2798,140,0.7643345757173491,7866
22,2.5,1.8,0.8571428571428571,0.5404463040446305,0.3167701863354037,8.105590062111801,20.467836257309944,161,1434,161,0.7630618865701637,7866
22,1.5,1.8,0.8551401869158879,0.5903651426818043,0.3644859813084112,20.80373831775701,27.20569539791508,214,3259,214,0.7630118464181146,7866
18,2.0,1.5,0.8549019607843137,0.5959228248998908,0.3568627450980392,8.2734375,32.54513094330028,255,2747,256,0.7619937232802565,7866
20,1.5,1.0,0.8209876543209876,0.6028985507246377,0.3333333333333333,7.796296296296297,20.59496567505721,162,3450,162,0.7616505636070855,7866
22,2.2,1.5,0.8551724137931035,0.551185073121533,0.3103448275862069,7.448275862068965,18.433765573353675,145,1983,145,0.7612445441424522,7866
22,1.8,2.0,0.8678414096916299,0.5736240171551108,0.3744493392070485,17.374449339207047,28.858377828629546,227,2798,227,0.7601460923945045,7866
20,1.8,2.0,0.8553719008264463,0.5866261398176292,0.3677685950413223,17.714876033057852,30.765319094838546,242,2961,242,0.7600504246172797,7866
30,1.5,1.5,0.90625,0.5541141586360266,0.40625,12.725,20.340706839562674,160,2698,160,0.7588410396590066,7866
18,1.5,2.0,0.8518518518518519,0.6004855678446183,0.36574074074074076,26.677419354838708,27.587083651156878,216,3707,217,0.7586503644820627,7866
20,2.0,1.5,0.8505154639175257,0.584375,0.3711340206185567,9.11340206185567,24.663107042969745,194,2560,194,0.7584648840206185,7866
25,2.2,1.5,0.8818181818181818,0.540303738317757,0.33636363636363636,7.245454545454545,13.98423595219934,110,1712,110,0.7579850254885301,7866
18,1.8,1.2,0.8325358851674641,0.6008897362567525,0.3444976076555024,7.3971291866028706,26.570048309178745,209,3147,209,0.7578300895665805,7866
18,1.5,1.0,0.8325358851674641,0.6004855678446183,0.3444976076555024,7.3971291866028706,26.570048309178745,209,3707,209,0.7577290474635469,7866
20,1.8,1.2,0.8209876543209876,0.5866261398176292,0.3333333333333333,7.796296296296297,20.59496567505721,162,2961,162,0.7575824608803333,7866
30,1.8,1.8,0.90625,0.5474157303370787,0.40625,12.725,20.340706839562674,160,2225,160,0.7571664325842696,7866
25,1.8,2.0,0.8768472906403941,0.5646637485077597,0.3891625615763547,17.088669950738915,25.807271802695144,203,2513,203,0.7569294839249694,7866
16,2.2,1.2,0.8941798941798942,0.6049481245011972,0.3439153439153439,5.328042328042328,24.02745995423341,189,2506,189,0.7567925866808548,7866
20,1.5,1.2,0.8318181818181818,0.6028985507246377,0.37727272727272726,9.631818181818181,27.96847190439868,220,3450,220,0.755951910408432,7866
20,2.5,1.8,0.837696335078534,0.5574387947269304,0.3403141361256545,8.277486910994764,24.281718789727943,191,1593,191,0.7555900651738792,7866
30,1.8,2.0,0.8579545454545454,0.5474157303370787,0.35795454545454547,15.494318181818182,22.374777523518944,176,2225,176,0.7547516598569969,7866
