symbol,timeframe,base_length,step_mult,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,squeeze_accuracy,total_flips,total_squeezes,bars_tested,composite_score
AAPL,1min,16,1.8,3,0.7673183267334114,0.09128205128205129,45.07850179579271,0.10858257477243173,1950,1538,87876,0.7620282877520459
AAPL,1min,15,1.8,3,0.7759838546922301,0.09132189707366296,44.34931852599697,0.10742786985880909,1982,1629,87876,0.7608340918182559
AAPL,1min,16,1.7,3,0.7772861356932154,0.0880039331366765,43.21495327102804,0.10204081632653061,2034,1715,87876,0.7550202685749438
AAPL,1min,14,1.8,3,0.7797619047619048,0.09411196911196912,42.42201834862385,0.1033503691084611,2072,1761,87876,0.7501586890684605
AAPL,1min,15,1.7,3,0.7786187322611164,0.09649952696310313,41.57879791765263,0.09816971713810316,2114,1803,87876,0.7437081913917012
AAPL,1min,13,1.8,3,0.7726146220570013,0.09154275092936803,40.84425848442585,0.10298826040554962,2152,1874,87876,0.7394950601401628
AAPL,1min,16,1.6,3,0.7771655953474136,0.10376492194674013,40.356453835553516,0.09276139410187667,2178,1865,87876,0.7337930216296324
AAPL,1min,14,1.7,3,0.7805025734181048,0.1008174386920981,39.916401635620176,0.09518828451882845,2202,1913,87876,0.7336213912605611
AAPL,1min,15,1.6,3,0.7854389086595491,0.10631672597864769,39.09924343569203,0.09704852426213106,2248,1999,87876,0.7297214607199118
AAPL,1min,12,1.8,3,0.7734468339307049,0.09946236559139784,39.379650380995066,0.1025,2232,2001,87876,0.7296106495313682
AAPL,1min,11,1.8,3,0.7859848484848485,0.09222027972027973,38.415828596414514,0.09644670050761421,2288,2168,87876,0.7295562403882426
AAPL,1min,16,1.5,3,0.7816193853427896,0.09485815602836879,38.960532150776054,0.08815298507462686,2256,2146,87876,0.7291456629093526
AAPL,1min,13,1.7,3,0.7798769771528997,0.10413005272407733,38.61802197802198,0.09229258713794797,2276,2038,87876,0.7249392655693607
AAPL,1min,14,1.6,3,0.77763272410792,0.09660574412532637,38.24814976055725,0.09363295880149813,2298,2137,87876,0.7241846426538716
AAPL,1min,15,1.5,3,0.7843892694063926,0.09631849315068493,37.625695931477516,0.08747252747252747,2336,2276,87876,0.7222451267799607
AAPL,1min,12,1.7,3,0.7765474162407724,0.09795570698466781,37.43374520664678,0.09639104613978985,2348,2190,87876,0.7193644166639918
AAPL,1min,10,1.8,3,0.7796280877046905,0.09367194004995837,36.59183673469388,0.0933786078098472,2402,2357,87876,0.7163926035858027
AAPL,1min,13,1.6,3,0.7726380712082982,0.0941968040370059,36.9608750525873,0.09090909090909091,2378,2278,87876,0.7154910968214905
AAPL,1min,14,1.5,3,0.7769506479183899,0.09553349875930521,36.349193214729006,0.08668076109936575,2418,2366,87876,0.7126397609251636
AAPL,1min,12,1.6,3,0.7756462585034014,0.08979591836734693,35.87464271131074,0.08897088970889709,2450,2440,87876,0.7113293384685555
AAPL,1min,16,1.4,3,0.7832653061224489,0.09877551020408164,35.874234381380155,0.085619285120532,2450,2407,87876,0.71124610193864
AAPL,1min,13,1.5,3,0.7868309485956545,0.09260731319554849,34.93320079522863,0.08807266982622433,2516,2533,87876,0.7091852736145979
AAPL,1min,10,1.7,3,0.7699511400651465,0.08957654723127036,35.78696537678208,0.08882854926299456,2456,2579,87876,0.7088832906814784
AAPL,1min,11,1.7,3,0.7663385288487832,0.10049220672682527,36.05129257283545,0.09125475285171103,2438,2368,87876,0.7067198195557411
AAPL,1min,11,1.6,3,0.7804588607594937,0.09414556962025317,34.767313019390585,0.08850226928895613,2528,2645,87876,0.7057149248453759
AAPL,1min,9,1.8,3,0.7674199623352166,0.09564164648910412,35.4691158659669,0.09349435138293728,2478,2568,87876,0.7054182184633087
AAPL,1min,15,1.4,3,0.781786941580756,0.0999206978588422,34.84966283220944,0.08658008658008658,2522,2542,87876,0.7049043459170163
AAPL,1min,14,1.4,3,0.7837626854020296,0.0936768149882904,34.30534947286216,0.08837727441515039,2562,2694,87876,0.7044077081096173
AAPL,1min,16,1.3,3,0.785602503912363,0.10289514866979656,34.385909980430526,0.08900331004045604,2556,2720,87876,0.7032877454881005
AAPL,1min,8,1.8,3,0.7776045726162639,0.09041309431021044,34.25224171539961,0.09141660851360782,2566,2867,87876,0.7032296696236203
AAPL,1min,12,1.5,3,0.7828048466099511,0.09860788863109049,33.98723404255319,0.08532176428054954,2586,2767,87876,0.7006171393274433
AAPL,1min,9,1.7,3,0.7818835001283039,0.09584295612009237,33.83018867924528,0.08680555555555555,2598,2881,87876,0.7003375150044149
AAPL,1min,15,1.3,3,0.7901762001548587,0.10552380952380952,33.4858993902439,0.08776223776223777,2625,2861,87876,0.6990538616179491
AAPL,1min,8,1.7,3,0.790059347181009,0.09458456973293769,32.6,0.08369363804817789,2696,3239,87876,0.6962243906015001
AAPL,1min,11,1.5,3,0.7810851544837979,0.09570459683496609,33.11609498680739,0.08527918781725888,2654,2956,87876,0.6959034501530963
