symbol,timeframe,base_length,step_mult,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,squeeze_accuracy,total_flips,total_squeezes,bars_tested,composite_score
AMD,1min,16,1.8,3,0.7719816272965879,0.10974409448818898,49.19891678975874,0.3258807588075881,2032,1476,100013,0.7916396597528966
AMD,1min,15,1.8,3,0.772079772079772,0.11490978157644824,47.46935866983373,0.3268411442483262,2106,1643,100013,0.7817380478962352
AMD,1min,16,1.7,3,0.7785451197053407,0.10267034990791897,46.0262551819438,0.32271634615384615,2172,1664,100013,0.7791090533950161
AMD,1min,15,1.7,3,0.7822384428223844,0.09717153284671533,45.60611592879963,0.3169491525423729,2192,1770,100013,0.7787764407780045
AMD,1min,12,1.8,3,0.7945978035025231,0.09572573463935886,44.51447661469933,0.31453252032520324,2246,1968,100013,0.7775541018741793
AMD,1min,14,1.7,3,0.791031390134529,0.09865470852017937,44.82907133243607,0.3104189044038668,2230,1862,100013,0.7765551569271887
AMD,1min,13,1.8,3,0.7867559523809523,0.10446428571428572,44.62840553818669,0.31273712737127374,2240,1845,100013,0.772934427147121
AMD,1min,14,1.8,3,0.7758568395511071,0.10964513193812557,45.4815657715066,0.3178384660081348,2198,1721,100013,0.7729249861305367
AMD,1min,16,1.6,3,0.7848457888493475,0.10008896797153025,44.46995994659546,0.31097890751757706,2248,1849,100013,0.7722908389292609
AMD,1min,13,1.7,3,0.7916307161345988,0.0992234685073339,43.131635735865345,0.3214822233350025,2318,1997,100013,0.7696568580930087
AMD,1min,15,1.6,3,0.7811693895098882,0.10533104041272572,42.983225806451614,0.31126831733198584,2326,1979,100013,0.7621822827992455
AMD,1min,11,1.8,3,0.7816429170159261,0.11148365465213747,41.90188679245283,0.31763059701492535,2386,2144,100013,0.7562694760334331
AMD,1min,15,1.5,3,0.7905423821204688,0.10220768601798855,40.87361963190184,0.3080652269722345,2446,2269,100013,0.7550434256761159
AMD,1min,16,1.5,3,0.7807456872565387,0.10601001669449082,41.72693110647182,0.30765639589169,2396,2142,100013,0.7549387028960326
AMD,1min,14,1.6,3,0.777128547579299,0.10517529215358931,41.72693110647182,0.30591016548463357,2396,2115,100013,0.7536194505831655
AMD,1min,10,1.8,3,0.7857901726427623,0.10398406374501992,39.83100836986847,0.3076267575628462,2510,2347,100013,0.7475723494204447
AMD,1min,12,1.7,3,0.7752095160854284,0.10746147607461476,40.541987829614605,0.30926430517711173,2466,2202,100013,0.7468581787326166
AMD,1min,14,1.5,3,0.7819798301486199,0.10151273885350319,39.794504181600956,0.3085456039441249,2512,2434,100013,0.7468088948821467
AMD,1min,11,1.7,3,0.7750131648235913,0.10387045813586097,39.48478862109838,0.3090984628167844,2532,2407,100013,0.7422902684499587
AMD,1min,13,1.6,3,0.7738379814077025,0.11115537848605578,39.82622558788362,0.30782684739833843,2510,2287,100013,0.7416019639891781
AMD,1min,16,1.4,3,0.7808666144609763,0.11746280344557557,39.13983548766157,0.30806451612903224,2554,2480,100013,0.7390329482635203
AMD,1min,12,1.6,3,0.7819529652351739,0.11004601226993865,38.333716915995396,0.30647082175466456,2608,2519,100013,0.7369320935343323
AMD,1min,11,1.6,3,0.7900882287184118,0.10520446096654275,37.18594272963927,0.31127272727272726,2690,2750,100013,0.7358777950937796
AMD,1min,13,1.5,3,0.7833554779423418,0.11518126888217523,37.77521722704949,0.3069120961682945,2648,2662,100013,0.7333673825853014
AMD,1min,15,1.4,3,0.7805042843808062,0.11346444780635401,37.83238743851684,0.30763444904099285,2644,2659,100013,0.7331975284765366
AMD,1min,10,1.7,3,0.7774379445111154,0.10877719429857464,37.520825515947465,0.3057728119180633,2666,2685,100013,0.7314337026242804
AMD,1min,10,1.6,3,0.7905321024793522,0.1054519368723099,35.878363832077504,0.30731548007838017,2788,3063,100013,0.7287333468541847
AMD,1min,9,1.8,3,0.7714186374615583,0.11203007518796992,37.60549078600978,0.3039252336448598,2660,2675,100013,0.728666807371114
AMD,1min,12,1.5,3,0.7837083567488591,0.11302121433796634,36.58726673984632,0.30761245674740484,2734,2891,100013,0.7280994912123849
AMD,1min,8,1.8,3,0.7846260710656111,0.10334996436208126,35.64812834224599,0.3015661446184605,2806,3001,100013,0.7251594071287398
AMD,1min,9,1.7,3,0.7838132169753438,0.1058574453069866,35.29579950582421,0.3047808764940239,2834,3012,100013,0.7229399195225938
AMD,1min,14,1.4,3,0.775004223301245,0.11616161616161616,36.08480692890653,0.3093220338983051,2772,2833,100013,0.7219711749640388
AMD,1min,16,1.3,3,0.7813507861850656,0.12625178826895564,35.77495527728086,0.31258790436005623,2796,2845,100013,0.7205853254019068
AMD,1min,15,1.3,3,0.7865640307907628,0.12491252624212736,34.979348967448374,0.3098544973544973,2858,3025,100013,0.7182919614725217
