symbol,timeframe,base_length,step_mult,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,squeeze_accuracy,total_flips,total_squeezes,bars_tested,composite_score
AMZN,1hr,15,1.7,3,0.8444444444444444,0.07878787878787878,47.048780487804876,0.9928057553956835,165,139,7851,0.9156331077045237
AMZN,1hr,15,1.8,3,0.7819706498951783,0.06918238993710692,48.835443037974684,0.975,159,120,7851,0.9026441299790356
AMZN,1hr,16,1.8,3,0.8057259713701432,0.07975460122699386,47.629629629629626,0.975,163,120,7851,0.9021426001666288
AMZN,1hr,16,1.7,3,0.797979797979798,0.07878787878787878,47.048780487804876,1.0,165,128,7851,0.900449618132545
AMZN,1hr,14,1.8,3,0.7864271457085827,0.0658682634730539,46.48192771084337,0.9919354838709677,167,124,7851,0.8955245649393013
AMZN,1hr,13,1.8,3,0.796844181459566,0.07692307692307693,45.92857142857143,0.9856115107913669,169,139,7851,0.8926254685178316
AMZN,1hr,16,1.6,3,0.8245614035087719,0.1111111111111111,45.38823529411765,0.9787234042553191,171,141,7851,0.889980165265061
AMZN,1hr,14,1.7,3,0.8173258003766478,0.10734463276836158,43.84090909090909,0.9797297297297297,177,148,7851,0.880619149581014
AMZN,1hr,12,1.8,3,0.8100558659217878,0.1005586592178771,43.348314606741575,0.9801324503311258,179,151,7851,0.877309868177376
AMZN,1hr,16,1.5,3,0.8205128205128206,0.08205128205128205,39.7680412371134,0.9935064935064936,195,154,7851,0.8692745003175733
AMZN,1hr,15,1.6,3,0.8059964726631392,0.09523809523809523,41.04255319148936,0.9726027397260274,189,146,7851,0.8642860355602024
AMZN,1hr,15,1.5,3,0.814070351758794,0.09045226130653267,38.964646464646464,0.9874213836477987,199,159,7851,0.8598938601201394
AMZN,1hr,11,1.8,3,0.8065630397236614,0.10880829015544041,40.1875,0.9760479041916168,193,167,7851,0.8572313436598306
AMZN,1hr,14,1.5,3,0.797319932998325,0.08542713567839195,38.964646464646464,0.9942528735632183,199,174,7851,0.8563122184483232
AMZN,1hr,13,1.7,3,0.784313725490196,0.11229946524064172,41.483870967741936,0.9675324675324676,187,154,7851,0.8539303991391277
AMZN,1hr,10,1.8,3,0.8341384863123994,0.12560386473429952,37.45631067961165,0.9881656804733728,207,169,7851,0.8505199289123047
AMZN,1hr,14,1.6,3,0.7989949748743719,0.10552763819095477,38.96969696969697,0.9743589743589743,199,156,7851,0.8489151273070872
AMZN,1hr,15,1.4,3,0.8233486943164362,0.08755760368663594,35.717592592592595,0.9840425531914894,217,188,7851,0.8467356952865065
AMZN,1hr,13,1.5,3,0.7999999999999999,0.06511627906976744,36.05140186915888,0.9788359788359788,215,189,7851,0.8451018446618658
AMZN,1hr,16,1.3,3,0.7898894154818326,0.07582938388625593,36.73809523809524,0.9899497487437185,211,199,7851,0.8440672725550015
AMZN,1hr,14,1.4,3,0.8110599078341014,0.09216589861751152,35.717592592592595,0.9845360824742269,217,194,7851,0.8413565756773811
AMZN,1hr,16,1.4,3,0.8038277511961723,0.11004784688995216,37.09134615384615,0.9782608695652174,209,184,7851,0.8404461160888245
AMZN,1hr,9,1.8,3,0.7934272300469484,0.0892018779342723,36.39622641509434,0.9895833333333334,213,192,7851,0.840157315749845
AMZN,1hr,12,1.7,3,0.7983739837398374,0.12195121951219512,37.8235294117647,0.98125,205,160,7851,0.8397580404112864
AMZN,1hr,11,1.5,3,0.8192592592592592,0.09333333333333334,34.441964285714285,0.9908256880733946,225,218,7851,0.83834769261501
AMZN,1hr,12,1.6,3,0.7665056360708534,0.0821256038647343,37.45145631067961,0.9880239520958084,207,167,7851,0.8376718866440394
AMZN,1hr,11,1.7,3,0.7830940988835726,0.10526315789473684,37.09615384615385,0.9887640449438202,209,178,7851,0.8359855980309854
AMZN,1hr,9,1.7,3,0.796711509715994,0.08520179372197309,34.752252252252255,0.9798994974874372,223,199,7851,0.8324383729141072
AMZN,1hr,12,1.5,3,0.803230543318649,0.09251101321585903,34.13716814159292,0.9848484848484849,227,198,7851,0.830486319174379
AMZN,1hr,13,1.6,3,0.7814992025518341,0.12440191387559808,37.09134615384615,0.9878787878787879,209,165,7851,0.8304852950639303
AMZN,1hr,9,1.6,3,0.8340248962655602,0.0995850622406639,32.145833333333336,0.9872340425531915,241,235,7851,0.8296595577125794
AMZN,1hr,15,1.3,3,0.772795216741405,0.07174887892376682,34.752252252252255,0.990990990990991,223,222,7851,0.8290946230980858
AMZN,1hr,13,1.4,3,0.7866666666666666,0.08888888888888889,34.441964285714285,0.9906103286384976,225,213,7851,0.828019092403479
AMZN,1hr,11,1.6,3,0.7747336377473363,0.091324200913242,35.38990825688074,0.983957219251337,219,187,7851,0.8270884837023197
AMZN,1hr,8,1.8,3,0.7826725403817916,0.08370044052863436,34.13716814159292,0.9898477157360406,227,197,7851,0.8262435459514185
AMZN,1hr,7,1.8,3,0.8099290780141843,0.09787234042553192,32.97008547008547,0.9819004524886877,235,221,7851,0.8250737018122134
AMZN,1hr,10,1.7,3,0.7542242703533026,0.08294930875576037,35.717592592592595,0.989247311827957,217,186,7851,0.8244749344275988
AMZN,1hr,10,1.6,3,0.7893217893217894,0.09523809523809523,33.54347826086956,0.9809523809523809,231,210,7851,0.8213128324969896
AMZN,1hr,12,1.4,3,0.7932489451476794,0.0970464135021097,32.690677966101696,0.9915254237288136,237,236,7851,0.8194555306771641
AMZN,1hr,16,1.7,2,0.8169014084507041,0.2112676056338028,36.39622641509434,1.0,213,128,7851,0.8194193462662769
