symbol,timeframe,base_length,step_mult,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,squeeze_accuracy,total_flips,total_squeezes,bars_tested,composite_score
GOOGL,5min,16,1.8,3,0.8002263723825694,0.09960384833050367,49.31087202718007,0.4812260536398467,1767,1305,87257,0.8273621762972503
GOOGL,5min,15,1.8,3,0.8002177463255308,0.0985302123026674,47.43082788671024,0.4674302075876879,1837,1397,87257,0.8160265988624786
GOOGL,5min,16,1.7,3,0.7894270001773993,0.10324640766365088,46.37007454739084,0.45816186556927296,1879,1458,87257,0.8043026498133038
GOOGL,5min,14,1.8,3,0.7832893579595427,0.08865435356200528,45.978352692713834,0.45963975983989325,1895,1499,87257,0.8040381915260215
GOOGL,5min,13,1.8,3,0.7923328176035757,0.08251676121712223,44.934468524251805,0.4601381042059008,1939,1593,87257,0.803520188990436
GOOGL,5min,15,1.7,3,0.7878320479862896,0.09562982005141388,44.79578189300412,0.4629021667760998,1945,1523,87257,0.7983781402967052
GOOGL,5min,16,1.6,3,0.7932425617750883,0.08825012607160868,43.93743693239152,0.45209768315591736,1983,1597,87257,0.7961443686745795
GOOGL,5min,12,1.8,3,0.7953303527074019,0.09339294585196224,43.28180914512922,0.47352941176470587,2013,1700,87257,0.7954801983516917
GOOGL,5min,14,1.6,3,0.8045867176301958,0.08074534161490683,41.68738049713193,0.47293603061782397,2093,1830,87257,0.7937092646400724
GOOGL,5min,14,1.7,3,0.7920611194153796,0.09367214748380667,43.411764705882355,0.4648318042813456,2007,1635,87257,0.7936203837300755
GOOGL,5min,13,1.7,3,0.7978671837130392,0.08773630634997576,42.23278370514064,0.4634285714285714,2063,1750,87257,0.7909486942681914
GOOGL,5min,15,1.6,3,0.7959084266926449,0.09352167559668777,42.43859649122807,0.460233918128655,2053,1711,87257,0.7893810342813949
GOOGL,5min,12,1.7,3,0.8061432377370318,0.08791725434884815,40.96142991533396,0.4681075382182393,2127,1898,87257,0.7880563152997999
GOOGL,5min,11,1.8,3,0.8024750118990956,0.09328891004283675,41.46857142857143,0.4682582745523603,2101,1844,87257,0.7880232773015261
GOOGL,5min,16,1.5,3,0.7992333493052227,0.09966459032103497,41.807286673058485,0.46358695652173915,2087,1841,87257,0.7863113218628479
GOOGL,5min,11,1.7,3,0.8084881437849267,0.08608971454463073,39.533091568449684,0.46449416342412453,2207,2057,87257,0.781550413035787
GOOGL,5min,10,1.8,3,0.8062678062678063,0.08816914080071975,39.19171917191719,0.47198810114030737,2223,2018,87257,0.7796468133238538
GOOGL,5min,13,1.6,3,0.8019832189168574,0.09473684210526316,39.93131868131868,0.45962417470797357,2185,1970,87257,0.7784003711629256
GOOGL,5min,15,1.5,3,0.8007095480487428,0.0990282276723739,40.375,0.45338114754098363,2161,1953,87257,0.7781946951018388
GOOGL,5min,14,1.5,3,0.7955194707562773,0.09111411817771764,39.354693140794225,0.45280306660277914,2217,2088,87257,0.7730971541614631
GOOGL,5min,15,1.4,3,0.8026335256694778,0.09587217043941411,38.725577264653644,0.4459090909090909,2253,2201,87257,0.7701739245645243
GOOGL,5min,12,1.6,3,0.7986080260624907,0.0986228342958685,38.76,0.4567669172932331,2251,2129,87257,0.7698805266907451
GOOGL,5min,14,1.4,3,0.8042049934296979,0.09680245291283399,38.21647677475898,0.4466268146883006,2283,2343,87257,0.7680179499422694
GOOGL,5min,9,1.8,3,0.798249390156407,0.09212225570383126,37.55813953488372,0.465625,2323,2241,87257,0.7666155778117842
GOOGL,5min,10,1.7,3,0.8037875551758509,0.09653994019649723,37.26923076923077,0.4593513993780542,2341,2252,87257,0.7650437427738005
GOOGL,5min,13,1.5,3,0.8026828212894851,0.10038944180008655,37.753246753246756,0.45042620008972634,2311,2230,87257,0.7648098315753309
