symbol,timeframe,base_length,step_mult,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,squeeze_accuracy,total_flips,total_squeezes,bars_tested,composite_score
META,1hr,15,1.8,3,0.8322717622080681,0.12101910828025478,49.15384615384615,0.9734513274336283,157,113,7823,0.9070580388178043
META,1hr,15,1.6,3,0.8209523809523809,0.08571428571428572,44.67816091954023,0.9726027397260274,175,146,7823,0.8890315155686828
META,1hr,16,1.7,3,0.7979797979797979,0.11515151515151516,47.40243902439025,0.9769230769230769,165,130,7823,0.8881357293037128
META,1hr,13,1.7,3,0.8268876611418049,0.08287292817679558,43.18888888888889,0.9746835443037974,181,158,7823,0.8845567789491854
META,1hr,16,1.5,3,0.8156424581005587,0.09497206703910614,43.674157303370784,0.9685534591194969,179,159,7823,0.8791447704808318
META,1hr,15,1.7,3,0.7790927021696253,0.10650887573964497,46.273809523809526,0.9781021897810219,169,137,7823,0.878122481664664
META,1hr,14,1.8,3,0.8015414258188825,0.12138728323699421,45.19767441860465,0.9761904761904762,173,126,7823,0.8764998754156579
META,1hr,16,1.8,3,0.7928994082840237,0.13609467455621302,46.26190476190476,0.9727272727272728,169,110,7823,0.8746915930664576
META,1hr,16,1.6,3,0.8137802607076351,0.11731843575418995,43.674157303370784,0.9794520547945206,179,146,7823,0.8745411985657912
META,1hr,13,1.8,3,0.7961904761904761,0.12571428571428572,44.67816091954023,0.9797297297297297,175,148,7823,0.8714338974025715
META,1hr,14,1.7,3,0.8105646630236795,0.1092896174863388,42.714285714285715,0.9716312056737588,183,141,7823,0.8693678405744314
META,1hr,12,1.8,3,0.8018018018018017,0.0972972972972973,42.25,0.9731543624161074,185,149,7823,0.8671660021397709
META,1hr,15,1.5,3,0.8036036036036037,0.10270270270270271,42.25,0.9710982658959537,185,173,7823,0.8661368669410272
META,1hr,14,1.6,3,0.8057040998217468,0.10695187165775401,41.795698924731184,0.9753086419753086,187,162,7823,0.8641306968177107
META,1hr,11,1.8,3,0.7830687830687831,0.08994708994708994,41.340425531914896,0.9757575757575757,189,165,7823,0.8582113181993314
META,1hr,13,1.6,3,0.8102564102564102,0.11794871794871795,40.07216494845361,0.9886363636363636,195,176,7823,0.856207934270044
META,1hr,14,1.5,3,0.8059701492537313,0.08955223880597014,38.87,0.9834254143646409,201,181,7823,0.8549109228453742
META,1hr,10,1.8,3,0.7969543147208121,0.09644670050761421,39.6530612244898,0.9888268156424581,197,179,7823,0.8548246812834737
META,1hr,16,1.4,3,0.7868020304568528,0.09137055837563451,39.66326530612245,0.9832402234636871,197,179,7823,0.851754327191017
META,1hr,11,1.7,3,0.7960199004975124,0.11442786069651742,38.86,0.9945945945945946,201,185,7823,0.846833946622679
