symbol,timeframe,base_length,step_mult,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,squeeze_accuracy,total_flips,total_squeezes,bars_tested,composite_score
NVDA,1hr,15,1.6,3,0.8854700854700854,0.035897435897435895,40.365979381443296,0.993103448275862,195,146,7851,0.9265361708641462
NVDA,1hr,16,1.7,3,0.8538301407153867,0.060109289617486336,43.07692307692308,0.991869918699187,183,124,7851,0.9244445013530247
NVDA,1hr,16,1.8,3,0.8302409690121554,0.07909604519774012,44.52840909090909,1.0,177,108,7851,0.9208103278548193
NVDA,1hr,16,1.6,3,0.8747795414462081,0.08465608465608465,41.65425531914894,0.9850746268656716,189,135,7851,0.9166333827997877
NVDA,1hr,15,1.7,3,0.8340188014101058,0.07027027027027027,42.59239130434783,0.9925373134328358,185,135,7851,0.9123500447235036
NVDA,1hr,15,1.8,3,0.834009009009009,0.07027027027027027,42.59239130434783,0.9914529914529915,185,118,7851,0.912183969086143
NVDA,1hr,14,1.7,3,0.8615384615384616,0.06153846153846154,40.365979381443296,0.9857142857142858,195,141,7851,0.9106414716935851
NVDA,1hr,11,1.8,3,0.8706467661691543,0.06467661691542288,39.155,0.9934640522875817,201,154,7851,0.9074083899756037
NVDA,1hr,14,1.8,3,0.8337034099920698,0.046153846153846156,40.41237113402062,0.9917355371900827,195,122,7851,0.9059090067629876
NVDA,1hr,13,1.7,3,0.8527918781725888,0.06598984771573604,39.954081632653065,0.993103448275862,197,146,7851,0.9052631394097066
NVDA,1hr,14,1.6,3,0.8559463986599664,0.06532663316582915,39.55050505050505,0.9935897435897436,199,157,7851,0.9043401318710411
NVDA,1hr,13,1.8,3,0.8358974358974359,0.05641025641025641,40.365979381443296,0.9854014598540146,195,138,7851,0.9029022401222366
NVDA,1hr,12,1.8,3,0.8457711442786069,0.07462686567164178,39.155,0.9933333333333333,201,151,7851,0.8961947522817201
NVDA,1hr,10,1.8,3,0.8518518518518517,0.0821256038647343,38.01456310679612,0.9941176470588236,207,171,7851,0.8901631012331357
NVDA,1hr,13,1.6,3,0.8275290215588723,0.07960199004975124,39.155,0.9942196531791907,201,174,7851,0.8886991762121642
NVDA,1hr,12,1.7,3,0.8423645320197045,0.09852216748768473,38.76732673267327,0.9938271604938271,203,163,7851,0.8869261364309485
NVDA,1hr,11,1.7,3,0.8309178743961353,0.07246376811594203,38.01456310679612,0.9942528735632183,207,175,7851,0.8852719520364922
NVDA,1hr,16,1.5,3,0.8121827411167514,0.09644670050761421,39.954081632653065,0.9936708860759493,197,159,7851,0.8835208439122071
NVDA,1hr,16,1.4,3,0.8070262544196193,0.0947867298578199,37.30952380952381,0.9948453608247423,211,195,7851,0.8674596498179067
NVDA,1hr,10,1.7,3,0.8353802232725999,0.09417040358744394,35.3018018018018,0.9949494949494949,223,199,7851,0.8662810996891712
NVDA,1hr,14,1.5,3,0.8019798184271868,0.10047846889952153,37.66826923076923,0.9947089947089947,209,190,7851,0.8662641454188426
NVDA,1hr,10,1.6,3,0.8497854077253219,0.08583690987124463,33.75431034482759,1.0,233,229,7851,0.8654756378240844
NVDA,1hr,12,1.6,3,0.805672679852206,0.09302325581395349,36.63551401869159,0.9948453608247423,215,195,7851,0.8636426112016174
NVDA,1hr,9,1.8,3,0.8370044052863436,0.09691629955947137,34.650442477876105,0.9947643979057592,227,192,7851,0.8624783374445509
NVDA,1hr,8,1.8,3,0.8352670182457417,0.08085106382978724,33.49145299145299,1.0,235,221,7851,0.8601648784627508
NVDA,1hr,15,1.5,3,0.7981220657276995,0.11267605633802817,36.93867924528302,0.9939393939393939,213,166,7851,0.8576528898998875
NVDA,1hr,9,1.7,3,0.8282199814059931,0.0759493670886076,33.20338983050848,1.0,237,222,7851,0.8573065398840868
NVDA,1hr,8,1.7,3,0.8460508701472556,0.08433734939759036,31.576612903225808,1.0,249,240,7851,0.8523169899457855
NVDA,1hr,16,1.3,3,0.7916015357191828,0.09954751131221719,35.61363636363637,1.0,221,215,7851,0.8521226197349077
NVDA,1hr,11,1.5,3,0.839506172839506,0.09876543209876543,32.35950413223141,1.0,243,229,7851,0.8508147844543573
NVDA,1hr,7,1.8,3,0.8366800535475235,0.08433734939759036,31.576612903225808,1.0,249,239,7851,0.8490372041358794
NVDA,1hr,15,1.4,3,0.7985185185185185,0.10666666666666667,34.95982142857143,0.9950248756218906,225,202,7851,0.8483467320528467
NVDA,1hr,14,1.4,3,0.7925925925925926,0.10222222222222223,34.95982142857143,0.9953271028037384,225,215,7851,0.8474291031671608
NVDA,1hr,11,1.6,3,0.8152409846578856,0.11587982832618025,33.77155172413793,0.9952153110047847,233,210,7851,0.8452534566713057
NVDA,1hr,12,1.5,3,0.8200836820083683,0.10460251046025104,32.903361344537814,0.9953917050691244,239,218,7851,0.8449198271021157
NVDA,1hr,13,1.5,3,0.7916060164968463,0.11353711790393013,34.3640350877193,0.9952153110047847,229,210,7851,0.8408933300252741
NVDA,1hr,14,1.3,3,0.813443072702332,0.102880658436214,32.35950413223141,1.0,243,239,7851,0.8406638928219843
NVDA,1hr,12,1.4,3,0.8089269248501614,0.1037344398340249,32.645833333333336,1.0,241,241,7851,0.840477360461861
NVDA,1hr,9,1.6,3,0.8260869565217391,0.09881422924901186,31.075396825396826,1.0,253,241,7851,0.8388963760434655
NVDA,1hr,15,1.3,3,0.7901916613030108,0.10126582278481013,33.19915254237288,1.0,237,228,7851,0.8376437241220315
NVDA,1hr,13,1.4,3,0.8149659863945579,0.11428571428571428,32.09836065573771,1.0,245,223,7851,0.8368794864768566
NVDA,1hr,15,1.8,2,0.8466509062253743,0.20425531914893616,33.49145299145299,0.9914529914529915,235,118,7851,0.8320161241437838
NVDA,1hr,6,1.8,3,0.8163522012578617,0.08679245283018867,29.66287878787879,1.0,265,271,7851,0.8305642240524909
NVDA,1hr,15,1.7,2,0.8635605586825098,0.21862348178137653,31.857723577235774,0.9925373134328358,247,135,7851,0.8253327107263458
