symbol,timeframe,base_length,step_mult,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,squeeze_accuracy,total_flips,total_squeezes,bars_tested,composite_score
SPY,1hr,16,1.8,3,0.7954911433172303,0.12077294685990338,38.05339805825243,0.8918918918918919,207,112,7866,0.8771580782977997
SPY,1hr,15,1.8,3,0.7814992025518341,0.12440191387559808,37.6875,0.8571428571428571,209,120,7866,0.8637841325341326
SPY,1hr,16,1.7,3,0.7553366174055829,0.1330049261083744,38.806930693069305,0.8617886178861789,203,124,7866,0.8603848772477872
SPY,1hr,16,1.6,3,0.7375201288244767,0.0966183574879227,38.05339805825243,0.8707482993197279,207,148,7866,0.8597353316825065
SPY,1hr,14,1.8,3,0.7843137254901961,0.12669683257918551,35.63181818181818,0.8373983739837398,221,124,7866,0.8479908064197877
SPY,1hr,13,1.7,3,0.7563527653213752,0.11210762331838565,35.310810810810814,0.8397435897435898,223,157,7866,0.8401355779719009
SPY,1hr,15,1.7,3,0.751131221719457,0.14027149321266968,35.63181818181818,0.8740157480314961,221,128,7866,0.8384758710488215
SPY,1hr,14,1.7,3,0.7496360989810772,0.11353711790393013,34.38157894736842,0.8732394366197183,229,143,7866,0.8364654987305276
SPY,1hr,14,1.5,3,0.7641921397379914,0.10480349344978165,34.38157894736842,0.8,229,191,7866,0.832757603616027
SPY,1hr,15,1.5,3,0.7577092511013216,0.1145374449339207,34.6858407079646,0.8066298342541437,227,182,7866,0.8310096792237323
SPY,1hr,16,1.3,3,0.7796373779637378,0.1087866108786611,32.945378151260506,0.8199052132701422,239,212,7866,0.8309012212071828
SPY,1hr,12,1.6,3,0.7707454289732771,0.0970464135021097,33.21610169491525,0.8010204081632653,237,197,7866,0.8296354088370669
SPY,1hr,14,1.4,3,0.7989203778677463,0.1214574898785425,31.8739837398374,0.8316831683168316,247,203,7866,0.8293471630660165
SPY,1hr,13,1.8,3,0.7524613220815751,0.1308016877637131,33.21610169491525,0.8805970149253731,237,135,7866,0.8267336438738866
SPY,1hr,15,1.6,3,0.7540740740740741,0.1511111111111111,34.995535714285715,0.8282208588957055,225,164,7866,0.8258277055539325
SPY,1hr,11,1.8,3,0.7524613220815753,0.10548523206751055,33.21610169491525,0.8282208588957055,237,164,7866,0.8252063343934871
