symbol,timeframe,base_length,step_mult,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,squeeze_accuracy,total_flips,total_squeezes,bars_tested,composite_score
TSLA,1hr,16,1.8,3,0.8126126126126126,0.10270270270270271,42.13586956521739,1.0,185,125,7851,0.9087387387387388
TSLA,1hr,15,1.8,3,0.7967914438502675,0.10160427807486631,41.68279569892473,1.0,187,132,7851,0.9007877637858662
TSLA,1hr,13,1.6,3,0.7974481658692184,0.07655502392344497,37.39903846153846,0.994413407821229,209,180,7851,0.8810256077945657
TSLA,1hr,13,1.7,3,0.8041074249605055,0.0947867298578199,37.042857142857144,0.9938271604938271,211,163,7851,0.8765971944695453
TSLA,1hr,16,1.5,3,0.799043062200957,0.10047846889952153,37.39903846153846,0.9940828402366864,209,170,7851,0.8755533751289737
TSLA,1hr,15,1.5,3,0.8125960061443932,0.09216589861751152,36.013888888888886,0.9945652173913043,217,185,7851,0.874229053002945
TSLA,1hr,14,1.8,3,0.7963875205254517,0.1330049261083744,38.386138613861384,1.0,203,136,7851,0.8732365451476727
TSLA,1hr,12,1.8,3,0.8009478672985783,0.10900473933649289,37.042857142857144,1.0,211,166,7851,0.8728627728441285
TSLA,1hr,11,1.8,3,0.7981220657276995,0.09859154929577464,36.693396226415096,0.9940476190476191,213,169,7851,0.871510765641608
TSLA,1hr,14,1.5,3,0.8221225710014948,0.09417040358744394,35.031531531531535,0.9947089947089947,223,190,7851,0.8712552810054197
TSLA,1hr,14,1.7,3,0.7906976744186046,0.11162790697674418,36.350467289719624,1.0,215,156,7851,0.8645113348443226
TSLA,1hr,15,1.7,3,0.7793880837359098,0.13043478260869565,37.762135922330096,1.0,207,151,7851,0.8642269533931972
TSLA,1hr,15,1.6,3,0.8018433179723502,0.12442396313364056,36.013888888888886,0.9935064935064936,217,155,7851,0.8622422874309761
TSLA,1hr,14,1.6,3,0.8021308980213089,0.1187214611872146,35.68348623853211,0.9940828402366864,219,170,7851,0.8618946771837142
TSLA,1hr,16,1.7,3,0.7691056910569105,0.13170731707317074,38.009803921568626,1.0,205,137,7851,0.8617794429308091
TSLA,1hr,16,1.4,3,0.8164464023494861,0.11894273127753303,34.42035398230089,1.0,227,187,7851,0.8602429600648279
TSLA,1hr,12,1.7,3,0.8084464555052789,0.12669683257918551,35.35909090909091,0.9940828402366864,221,170,7851,0.8601865812538605
TSLA,1hr,11,1.7,3,0.7918552036199095,0.10407239819004525,35.35909090909091,0.994535519125683,221,184,7851,0.8601036535246157
TSLA,1hr,16,1.6,3,0.7875968992248062,0.12093023255813953,36.350467289719624,0.9933333333333333,215,151,7851,0.8601004821311442
TSLA,1hr,13,1.8,3,0.7922480620155038,0.13488372093023257,36.350467289719624,1.0,215,153,7851,0.8592400170148652
TSLA,1hr,12,1.6,3,0.7856093979441997,0.07929515418502203,34.41150442477876,0.9946808510638298,227,189,7851,0.8585115243746766
TSLA,1hr,13,1.5,3,0.7831149927219796,0.07860262008733625,34.11842105263158,1.0,229,195,7851,0.8568705699132595
TSLA,1hr,12,1.5,3,0.8214783821478383,0.100418410041841,32.68487394957983,1.0,239,209,7851,0.8563383054681207
TSLA,1hr,9,1.8,3,0.7903930131004366,0.09170305676855896,34.11842105263158,0.9947368421052631,229,191,7851,0.8553532941912032
TSLA,1hr,14,1.4,3,0.8171589310829818,0.10970464135021098,32.96186440677966,1.0,237,209,7851,0.8541483759905898
TSLA,1hr,10,1.8,3,0.7837037037037037,0.1111111111111111,34.72767857142857,0.9943181818181818,225,177,7851,0.8517120621572607
TSLA,1hr,11,1.6,3,0.8215767634854773,0.11618257261410789,32.40416666666667,0.9950738916256158,241,204,7851,0.850027293192235
TSLA,1hr,9,1.6,3,0.8326745718050065,0.09881422924901186,30.86904761904762,1.0,253,234,7851,0.8498843795892904
TSLA,1hr,15,1.4,3,0.8011444921316166,0.12017167381974249,33.5301724137931,1.0,233,189,7851,0.849298442006593
TSLA,1hr,10,1.7,3,0.7893217893217893,0.10822510822510822,33.81304347826087,0.9947368421052631,231,191,7851,0.8490359907033589
TSLA,1hr,8,1.5,3,0.8095238095238094,0.05791505791505792,30.25581395348837,1.0,259,279,7851,0.848367975517856
TSLA,1hr,10,1.6,3,0.8124156545209177,0.10121457489878542,31.621951219512194,1.0,247,214,7851,0.8466607900974109
TSLA,1hr,7,1.8,3,0.8249027237354086,0.10116731517509728,30.38671875,1.0,257,239,7851,0.8437142138338819
TSLA,1hr,11,1.5,3,0.802124833997344,0.09561752988047809,31.116,1.0,251,222,7851,0.8414563608929003
TSLA,1hr,15,1.3,3,0.7959183673469387,0.11428571428571428,31.881147540983605,1.0,245,207,7851,0.8391568150245383
TSLA,1hr,9,1.7,3,0.8043184885290149,0.11740890688259109,31.621951219512194,0.9953917050691244,247,218,7851,0.8390869547646622
TSLA,1hr,13,1.4,3,0.7850340136054422,0.10204081632653061,31.881147540983605,1.0,245,214,7851,0.8384085157048106
TSLA,1hr,8,1.7,3,0.8200253485424588,0.11026615969581749,29.69083969465649,1.0,263,235,7851,0.835603640714713
TSLA,1hr,12,1.3,3,0.7992277992277992,0.09652509652509653,30.251937984496124,1.0,259,258,7851,0.8350888654123111
TSLA,1hr,12,1.4,3,0.8129117259552042,0.13043478260869565,30.86111111111111,1.0,253,223,7851,0.8350151564150072
TSLA,1hr,8,1.8,3,0.7941567065073042,0.11155378486055777,31.108,0.9954128440366973,251,219,7851,0.8339479136346442
TSLA,1hr,10,1.5,3,0.806949806949807,0.11583011583011583,30.151162790697676,1.0,259,232,7851,0.8323673952035368
