symbol,timeframe,base_length,step_mult,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,squeeze_accuracy,total_flips,total_squeezes,bars_tested,composite_score
TSLA,5min,16,1.8,3,0.7800925925925926,0.11057692307692307,50.264564404062,0.7313311688311688,1872,1233,94065,0.8550878519628519
TSLA,5min,16,1.7,3,0.7698992005561349,0.09384775808133472,49.056859676577986,0.716581446311176,1918,1370,94065,0.8474832573766319
TSLA,5min,15,1.8,3,0.7723619846261355,0.11006289308176101,49.31463030938647,0.7184391736801836,1908,1308,94065,0.8458521765220651
TSLA,5min,16,1.6,3,0.7860696517412936,0.09104477611940298,46.81035340965654,0.7170050761421319,2010,1576,94065,0.8427337956510292
TSLA,5min,15,1.7,3,0.7720094086021506,0.09122983870967742,47.424104891578416,0.716297786720322,1984,1491,94065,0.8407129566876075
TSLA,5min,14,1.8,3,0.7705363204344874,0.09979633401221996,47.90728476821192,0.717948717948718,1964,1405,94065,0.8407065751347851
TSLA,5min,14,1.7,3,0.7935131663455364,0.09441233140655106,45.32144578313253,0.7140163419233186,2076,1591,94065,0.8366434725380704
TSLA,5min,13,1.7,3,0.7947986045036473,0.08801141769743102,44.76059019514517,0.7142857142857143,2102,1722,94065,0.8359444923773868
TSLA,5min,15,1.6,3,0.7863984674329502,0.08764367816091954,45.06181121226641,0.7094674556213018,2088,1690,94065,0.8338718182824034
TSLA,5min,12,1.8,3,0.7902053712480251,0.09573459715639811,44.59080132764343,0.7203134418324292,2110,1659,94065,0.8324657490333208
TSLA,5min,16,1.5,3,0.7966447162119786,0.09501411100658513,44.255529411764705,0.7142857142857143,2126,1827,94065,0.8323279460109926
TSLA,5min,11,1.8,3,0.8006746396810794,0.08923643054277829,43.278416935112745,0.7258687258687259,2174,1813,94065,0.8320604435486334
TSLA,5min,13,1.8,3,0.776863504356244,0.10164569215876089,45.5409200968523,0.7248850952068286,2066,1523,94065,0.8317296592679884
TSLA,5min,14,1.6,3,0.7930082796688133,0.08601655933762649,43.27795674183157,0.7107574094401756,2174,1822,94065,0.8279131990259331
TSLA,5min,15,1.5,3,0.7890217724624348,0.09429622815087396,43.27795674183157,0.7072921978582356,2174,1961,94065,0.8239282225630978
TSLA,5min,12,1.7,3,0.7888179884533577,0.09298085688240657,42.883720930232556,0.7128927410617552,2194,1846,94065,0.8230650185777694
TSLA,5min,13,1.6,3,0.7924500149209192,0.09444941808415398,42.115091804746974,0.7033248081841432,2234,1955,94065,0.8187109801395527
TSLA,5min,11,1.7,3,0.8023018648018648,0.09659090909090909,41.120682116309574,0.7043563387175722,2288,2043,94065,0.8168326060513187
TSLA,5min,10,1.8,3,0.7922153936201347,0.09350307287093942,41.30127360562143,0.7115971515768057,2278,1966,94065,0.8160586269078696
TSLA,5min,14,1.5,3,0.7947815889768397,0.09674582233948989,41.37395512538495,0.7029369282619162,2274,2077,94065,0.8152085692439011
TSLA,5min,16,1.4,3,0.7957035755478662,0.10034602076124567,40.69450454348767,0.6995283018867925,2312,2120,94065,0.810740549301661
TSLA,5min,12,1.6,3,0.7908468776732249,0.09965782720273739,40.24090714591357,0.7001888574126535,2338,2118,94065,0.8070557871844235
TSLA,5min,15,1.4,3,0.7926144341477114,0.09604043807919124,39.63084702907712,0.7023545091070635,2374,2251,94065,0.8058693814684995
TSLA,5min,13,1.5,3,0.7962496501539323,0.09781696053736356,39.49685006299874,0.697787610619469,2382,2260,94065,0.8053460832760282
TSLA,5min,10,1.7,3,0.7876142975893599,0.09393183707398171,39.1031185031185,0.7041873030166592,2406,2221,94065,0.8022966487121618
TSLA,5min,9,1.8,3,0.7909745293466224,0.10215946843853821,39.070627336933946,0.6998648039657503,2408,2219,94065,0.8006058463736532
TSLA,5min,16,1.3,3,0.8015548281505729,0.10065466448445172,38.494883340155546,0.6832635983263599,2444,2390,94065,0.7993314030770939
TSLA,5min,14,1.4,3,0.7916666666666666,0.10049019607843138,38.43195749897834,0.6943507588532883,2448,2372,94065,0.7972617645636138
TSLA,5min,11,1.6,3,0.7796887796887796,0.09377559377559377,38.52601392871774,0.696852091418715,2442,2319,94065,0.7955911614297752
TSLA,5min,12,1.5,3,0.7870370370370371,0.10024154589371981,37.87434554973822,0.6937759336099585,2484,2410,94065,0.7928439479855438
TSLA,5min,10,1.6,3,0.7893407761828813,0.09768740031897927,37.51176705225369,0.6950099800399202,2508,2505,94065,0.7926705496040394
TSLA,5min,8,1.8,3,0.7877952755905513,0.0984251968503937,37.038991729027174,0.7002044989775051,2540,2445,94065,0.7903729186057127
TSLA,5min,8,1.7,3,0.7984054669703872,0.09643128321943811,35.71667299658185,0.7002555677254473,2634,2739,94065,0.7880158303578034
TSLA,5min,9,1.7,3,0.7853988048843856,0.09586905689789556,36.6635477582846,0.6981132075471698,2566,2491,94065,0.7879921559081953
TSLA,5min,11,1.5,3,0.7951388888888888,0.09837962962962964,36.296024700887685,0.6897740329375718,2592,2611,94065,0.7876947228220226
TSLA,5min,13,1.4,3,0.797748447204969,0.10403726708074534,36.52155339805825,0.6809015421115066,2576,2529,94065,0.7869844934505611
TSLA,5min,9,1.6,3,0.7998489425981873,0.09290030211480363,35.52852285606347,0.688696280245576,2648,2769,94065,0.7867340998618488
TSLA,5min,15,1.3,3,0.7883909853249476,0.10770440251572327,36.98112465591821,0.6821613031386571,2544,2517,94065,0.7852673237537224
TSLA,5min,14,1.3,3,0.7914734672849048,0.10007727975270479,36.35175879396985,0.6803126163007072,2588,2687,94065,0.7848454039351026
TSLA,5min,7,1.8,3,0.7881761006289308,0.0939622641509434,35.50094375235938,0.7017670393076091,2650,2773,94065,0.7842065588088317
