smooth_length,trend_length,flip_accuracy,whipsaw_rate,avg_trend_duration,composite_score,total_flips,bars_tested
8,20,0.7835757276230563,0.2234678624813154,23.352281226626776,0.5508735703003402,1338,31250
8,25,0.7903852335162203,0.23976608187134502,26.076923076923077,0.5492310380758539,1197,31250
8,16,0.7876792411150649,0.2340710932260228,20.958389261744966,0.5488743792164741,1491,31250
8,14,0.7962383275944732,0.26328649969456325,19.0880195599022,0.5431742808849216,1637,31250
5,20,0.8046676204171631,0.28180737217598095,18.57346817370613,0.5408909424034226,1682,31250
8,12,0.7997641184495173,0.2766439909297052,17.71469086783891,0.5403136707475205,1764,31250
5,25,0.7881559113512719,0.27147766323024053,21.454607977991746,0.537938350303211,1455,31250
8,10,0.7980584760125153,0.29387331256490135,16.224415584415585,0.5341764844277436,1926,31250
4,25,0.7968433617870542,0.3035826524198617,19.61949685534591,0.5314294923850895,1591,31250
5,16,0.7896177657720252,0.29381175247009883,16.247658688865766,0.5308231310360426,1923,31250
5,14,0.7886888138738399,0.31371618414807784,14.827635327635328,0.5242075762880186,2107,31250
4,20,0.7913187193333089,0.31978609625668447,16.70465489566613,0.5237989525962861,1870,31250
5,12,0.7892956612190757,0.3217391304347826,13.584602000869943,0.5218047689413625,2300,31250
8,8,0.7958574235388897,0.3314814814814815,14.465493283927744,0.5216758996816255,2160,31250
4,16,0.7860401649706931,0.3207724917569477,14.715834118755891,0.5210097586119941,2123,31250
3,25,0.7921703728415475,0.34212002243409984,17.505611672278338,0.5175932198474664,1783,31250
4,14,0.7869263340975413,0.34555415086388536,13.164839797639123,0.5136319376209976,2373,31250
5,10,0.7897229806772142,0.35057915057915057,12.062958671301661,0.5130315351620305,2590,31250
4,12,0.7880609082655022,0.3552732871439569,12.02579899884482,0.5109513305707921,2598,31250
3,20,0.7877531910105949,0.3574144486692015,14.845934379457917,0.5107273612043335,2104,31250
3,16,0.7823150202212988,0.3693251533742331,12.777004909983633,0.5045816470189665,2445,31250
5,8,0.7875408180964617,0.3814256339958876,10.70654782310593,0.5026442942218547,2918,31250
4,10,0.7874390330220872,0.3827751196172249,10.677264957264958,0.5021931121954624,2926,31250
3,12,0.7892763838675094,0.3970088375254929,10.619177150629037,0.4986467843022767,2942,31250
3,14,0.7830965037080068,0.390745501285347,11.472079353416605,0.49821759033345464,2723,31250
2,25,0.7864476511803528,0.41646947468054896,14.770833333333334,0.4924742180679765,2113,31250
3,10,0.790372853666652,0.41847826086956524,9.432497734823317,0.49241670277087735,3312,31250
4,8,0.7876186632942823,0.4157641395908544,9.39843514896178,0.4921227229890573,3324,31250
2,20,0.7844544236679276,0.4290296712109062,12.52346570397112,0.4874773735190617,2494,31250
2,16,0.7865081797372082,0.44181256436663235,10.723557692307692,0.4841184256618167,2913,31250
2,14,0.7903226830277476,0.4488832966341617,9.825991189427313,0.48335067452922054,3179,31250
3,8,0.7853199040213011,0.45321637426900585,8.303908534964105,0.4797573997665318,3762,31250
2,12,0.7885990000658977,0.4681456200227531,8.8850640113798,0.476701846309718,3516,31250
2,10,0.7849755578129921,0.49725274725274726,7.80164876342743,0.4663123155119508,4004,31250
2,8,0.7819302406273815,0.5239043824701195,6.914102280274519,0.4569282891477294,4518,31250
1,25,0.7831259798910781,0.5420330636651425,10.976425052779733,0.45274794646702227,2843,31250
1,20,0.7872426142737932,0.5534441805225653,9.272349272349272,0.45064408261303873,3368,31250
1,16,0.7871285708686745,0.5624360286591606,7.9907857691323265,0.447654850617395,3908,31250
1,14,0.7869801613263259,0.57523987830564,7.309691011235955,0.44362356171299566,4273,31250
1,12,0.7831812981240844,0.5913208342110807,6.579646017699115,0.43713956102170776,4747,31250
1,10,0.7831216115230551,0.6151988108509847,5.803939788143468,0.42980335779325024,5382,31250
1,8,0.7868454357054325,0.6512187299550994,5.008981555733761,0.4203342797543441,6236,31250
