smooth_length,trend_length,flip_accuracy,whipsaw_rate,avg_trend_duration,composite_score,total_flips,bars_tested
8,20,0.8121173461410981,0.1345565749235474,23.99079754601227,0.6028145456859186,327,7851
8,25,0.7955555555555556,0.15946843853820597,26.073333333333334,0.5903078147213896,301,7851
5,25,0.811046511627907,0.2132564841498559,22.606936416184972,0.5777186455859423,347,7851
8,16,0.7800337390046993,0.18087855297157623,20.259067357512954,0.5732325948670848,387,7851
4,25,0.8041083867301849,0.2273972602739726,21.48901098901099,0.569846806330181,365,7851
5,20,0.774814661325229,0.1994750656167979,20.576315789473686,0.5658084619940578,381,7851
5,16,0.7864090606262492,0.24842105263157896,16.49789029535865,0.5526455547700505,475,7851
8,14,0.7742810215980948,0.23725055432372505,17.377777777777776,0.551817928454293,451,7851
8,12,0.7913338043975228,0.25661914460285135,15.959183673469388,0.5517443268485163,491,7851
3,25,0.7888155262104841,0.2715736040609137,19.9058524173028,0.5492668556069993,394,7851
4,20,0.7816629670736219,0.25882352941176473,18.441037735849058,0.5491113933753111,425,7851
8,10,0.7861889927310489,0.26542056074766357,14.642322097378278,0.5460395871389484,535,7851
8,8,0.7919364609410103,0.27461139896373055,13.54152249134948,0.5447400546309987,579,7851
4,16,0.7804767481394733,0.2757281553398058,15.212062256809338,0.5410978256433847,515,7851
5,14,0.7749386587997175,0.2741020793950851,14.808712121212121,0.5390621588616307,529,7851
3,20,0.7776556846254593,0.289760348583878,17.069868995633186,0.5371795410714538,459,7851
5,10,0.7877947713164285,0.29185867895545314,12.044615384615385,0.536765207694055,651,7851
5,12,0.7808282492142725,0.2978369384359401,13.03,0.5329381852928712,601,7851
4,14,0.7795727683425295,0.3049403747870528,13.341296928327646,0.5305428656905999,587,7851
2,20,0.7932240648450478,0.3446327683615819,14.767924528301887,0.5251859433304249,531,7851
4,12,0.7776903824974323,0.319634703196347,11.919207317073171,0.5242948038032123,657,7851
3,16,0.7734400073817319,0.3275563258232236,13.572916666666666,0.5214819876410842,577,7851
5,8,0.7789029829856259,0.33468286099865047,10.58108108108108,0.5192427552852407,741,7851
3,14,0.7841383227894889,0.34961832061068704,11.95565749235474,0.5179067511537242,655,7851
4,10,0.7751563257670574,0.3436241610738255,10.524193548387096,0.5150182269968168,745,7851
2,25,0.7741989142433727,0.3601694915254237,16.609341825902334,0.514322139581642,472,7851
3,12,0.7758696493264395,0.36114911080711354,10.724657534246575,0.5101992728653975,731,7851
4,8,0.7692203589290968,0.3675937122128174,9.480629539951574,0.5046554479742448,827,7851
2,16,0.7664193154515736,0.3763440860215054,12.026153846153846,0.5028552942955794,651,7851
3,10,0.7731146015950586,0.3842424242424242,9.50364077669903,0.5012361173979282,825,7851
2,12,0.7737822207698325,0.40583232077764275,9.525547445255475,0.49504293792504556,823,7851
2,14,0.759152429025986,0.40612516644474034,10.437333333333333,0.4897999851720685,751,7851
3,8,0.7644312484227106,0.422790202342918,8.350746268656716,0.48531736168390593,939,7851
1,25,0.7861898576485423,0.4689075630252101,13.168350168350168,0.4838673731723737,595,7851
2,10,0.7669226056365863,0.44195953141640043,8.349680170575693,0.48056229109916465,939,7851
1,20,0.7844353248977526,0.4762589928057554,11.278097982708934,0.4795155364220813,695,7851
2,8,0.7654439790485671,0.48878923766816146,7.0323159784560145,0.46491515427270863,1115,7851
1,16,0.7656235305933321,0.5029171528588098,9.144859813084112,0.4623630778531971,857,7851
1,14,0.7596811507857112,0.5215562565720294,8.241052631578947,0.4537036747691785,951,7851
1,12,0.7672187616739207,0.5303176130895092,7.544315992292871,0.45355784244106695,1039,7851
1,10,0.7593987461676788,0.5846994535519126,6.11953125,0.4330264153629039,1281,7851
1,8,0.7852194539611511,0.6540136901057871,4.878580323785803,0.42161205080322933,1607,7851
