smooth_length,trend_length,flip_accuracy,whipsaw_rate,avg_trend_duration,composite_score,total_flips,bars_tested
8,25,0.7918886915334516,0.19857946137910623,25.79692125518058,0.5589554961999363,3379,87257
8,20,0.7872563646507387,0.19383723992625757,22.97286617492097,0.5583310431015012,3797,87257
8,16,0.7972079239267275,0.21957368782947514,19.991746905089407,0.5543857435504242,4363,87257
8,14,0.792813438150343,0.23662507929794882,18.444162436548222,0.5474061161901366,4729,87257
5,25,0.789255306791082,0.24157723983029697,21.768846729905142,0.5447258287299076,4007,87257
5,20,0.7940137198576577,0.2513531067330591,18.883499350368126,0.5434980304994225,4619,87257
8,12,0.7877276725390067,0.25120493541546174,16.814886232163516,0.5408858201820295,5187,87257
4,25,0.7897926008978464,0.2718714121699196,20.028938906752412,0.5357328544477196,4355,87257
8,10,0.7889431339169176,0.27670661803022406,15.149756775538568,0.5336070016650774,5757,87257
5,16,0.7855242724021071,0.2750046048996132,16.065217391304348,0.5328130102596517,5429,87257
4,20,0.7902499112136656,0.2869157050655193,17.058685446009388,0.5311982489738792,5113,87257
5,14,0.7844233976348115,0.2886789269444913,14.715153560580493,0.5281775301215161,5927,87257
5,12,0.7866027303742751,0.30432108257727203,13.411411873269763,0.5242669681310768,6503,87257
4,16,0.789251486729072,0.3131968713596272,14.51448069241012,0.5227395836883438,6009,87257
3,25,0.7910569024771275,0.32620647525962126,17.760692464358453,0.5197820861025042,4911,87257
8,8,0.7864538847826111,0.3212930641979056,13.236338797814208,0.5191037969648558,6589,87257
4,14,0.785156264418818,0.3243160629680575,13.32940996637114,0.5176842489844278,6543,87257
5,10,0.7876390499778009,0.32968386478719036,11.939364905557076,0.5169714398395289,7307,87257
4,12,0.785323506321031,0.33053573926423274,12.19935646334639,0.5158075376750062,7149,87257
3,20,0.7854505636612586,0.34363667760317734,15.061312607944732,0.5121248740584448,5791,87257
4,10,0.7889828743825772,0.3545420653659749,10.841411881680338,0.5099760115520661,8047,87257
3,16,0.7860128618162566,0.35673034207019105,12.914840047393366,0.508274097393667,6753,87257
5,8,0.7920432416468174,0.36838963829533244,10.414398280802292,0.5070165241025316,8377,87257
3,14,0.7875145548816583,0.37190418189200164,11.8030590146183,0.5042461739505844,7389,87257
3,12,0.7911391494099341,0.3771506374551306,10.79834117355781,0.5040529882913658,8079,87257
4,8,0.7925644384386433,0.39874851656057825,9.411955114372033,0.4980484089501656,9269,87257
3,10,0.7909854551585463,0.40090040628088286,9.57950801669229,0.4967827700603111,9107,87257
2,25,0.7842585982828707,0.3984118764025548,15.055939226519337,0.4952151587807188,5793,87257
2,20,0.7819484087466136,0.4161654686812381,12.794160798122066,0.48880947998870466,6817,87257
2,16,0.7861310682892554,0.4282287589950764,11.010227272727272,0.4867408891760268,7921,87257
2,14,0.7880886571592365,0.4390749050742147,10.035327963176064,0.4842030444922268,8691,87257
3,8,0.7873930860018586,0.4456047085627492,8.283015285293839,0.48184538177223024,10534,87257
2,12,0.7901952544104436,0.4512868604772325,9.09014172571905,0.48131710350565093,9597,87257
2,10,0.7919423648745675,0.4748108507104632,8.050475223770416,0.47488726066623665,10838,87257
2,8,0.7880741840128671,0.5079581993569132,7.013827478093094,0.4633245013494276,12440,87257
1,25,0.7816894497137379,0.5261256612050058,11.252258064516129,0.45561181369891457,7751,87257
1,20,0.7823652990442502,0.5424606234166759,9.606851729455828,0.4508685226929384,9079,87257
1,16,0.7875332000767509,0.556390977443609,8.30068532267276,0.4486667617719583,10507,87257
1,14,0.7904276008655851,0.5671062839410396,7.518793103448276,0.44655616535932985,11601,87257
1,12,0.7905666291176662,0.5788161993769471,6.795077498247527,0.4430490376135701,12840,87257
1,10,0.7895040088455728,0.5932903768034739,6.110807592631505,0.4382346842415948,14278,87257
1,8,0.7912833323178782,0.623964424951267,5.315016752969845,0.42968947870486546,16416,87257
