smooth_length,trend_length,flip_accuracy,whipsaw_rate,avg_trend_duration,composite_score,total_flips,bars_tested
8,20,0.7991452991452993,0.16293929712460065,22.416666666666668,0.5899004596263845,313,7033
8,16,0.782608695652174,0.17886178861788618,19.008152173913043,0.5756011954851835,369,7033
8,14,0.787878787878788,0.19899244332493704,17.7020202020202,0.5705557473484207,397,7033
8,25,0.7888888888888889,0.21666666666666667,23.23076923076923,0.5703742126556004,300,7033
5,20,0.7941176470588235,0.216,18.703208556149733,0.5688031588287759,375,7033
8,10,0.8286290322580645,0.2575452716297787,14.137096774193548,0.5662486855654597,497,7033
8,12,0.8070570570570571,0.23820224719101124,15.792792792792794,0.5648353118614183,445,7033
4,20,0.7989949748743719,0.24561403508771928,17.613065326633166,0.5609398553454861,399,7033
5,16,0.8030303030303031,0.2471655328798186,15.936363636363636,0.5606581078458555,441,7033
3,20,0.8124031007751938,0.27610208816705334,16.302325581395348,0.5560384701785129,431,7033
5,25,0.7729044834307993,0.24561403508771928,20.36950146627566,0.5528552323266883,342,7033
5,14,0.7971311475409837,0.261758691206544,14.368852459016393,0.5525832214474203,489,7033
4,25,0.7916666666666666,0.2682926829268293,19.008152173913043,0.5523951155982977,369,7033
4,16,0.8014184397163121,0.27388535031847133,14.919148936170213,0.5511296100654071,471,7033
4,14,0.7998712998712999,0.279383429672447,13.538610038610038,0.54768356359501,519,7033
5,12,0.7943396226415095,0.2711864406779661,13.232075471698113,0.5476684783248745,531,7033
8,8,0.7915129151291512,0.27992633517495397,12.940959409594097,0.543667469744527,543,7033
5,10,0.7843468468468467,0.28499156829679595,11.846283783783784,0.5383475817293961,593,7033
3,16,0.7891025641025641,0.31285988483685223,13.486538461538462,0.5332887093822394,521,7033
5,8,0.7914141414141413,0.31164901664145234,10.625757575757575,0.5321360085125846,661,7033
3,25,0.7797029702970297,0.3160493827160494,17.31930693069307,0.5318418377692549,405,7033
4,12,0.7804323094425483,0.3049403747870528,11.967576791808874,0.5309006024330196,587,7033
4,10,0.7872670807453416,0.31317829457364343,10.889751552795031,0.5302436196713544,645,7033
2,20,0.8012048192771083,0.34468937875751504,14.07429718875502,0.5290821925895649,499,7033
4,8,0.7938967136150236,0.3319268635724332,9.877464788732395,0.5264072990221387,711,7033
3,12,0.7843749999999999,0.3338533541341654,10.9578125,0.5229423337284692,641,7033
3,14,0.7783446712018139,0.3310696095076401,11.92687074829932,0.5221920495399643,589,7033
3,10,0.796713615023474,0.35161744022503516,9.877464788732395,0.5216268865897383,711,7033
2,25,0.7964601769911505,0.3686534216335541,15.480088495575222,0.5211944328992351,453,7033
3,8,0.7909393183707397,0.3835616438356164,8.74438902743142,0.5087672561177856,803,7033
2,12,0.7922374429223744,0.4008207934336525,9.606849315068493,0.5048445440429363,731,7033
2,16,0.7756410256410257,0.3888,11.238782051282051,0.503204451249968,625,7033
2,14,0.7749500998003992,0.40059790732436473,10.498502994011975,0.498757161106054,669,7033
2,10,0.7875101378751014,0.41919805589307413,8.531630170316301,0.49652315125314034,823,7033
2,8,0.7939521800281293,0.4636459430979979,7.397679324894515,0.48479820467254864,949,7033
1,25,0.7991021324354658,0.4890756302521008,11.781144781144782,0.4829689059271169,595,7033
1,20,0.780564263322884,0.46635367762128327,10.9858934169279,0.4816918984314459,639,7033
1,14,0.7891566265060241,0.49338146811071,8.449397590361446,0.47485656869929316,831,7033
1,12,0.7884057971014493,0.5146579804560261,7.622826086956522,0.4674681177254894,921,7033
1,16,0.7696581196581197,0.5044814340588989,8.99102564102564,0.4641892504404245,781,7033
1,10,0.7883895131086142,0.5322731524789522,6.5655430711610485,0.4612750621767068,1069,7033
1,8,0.7881159917351915,0.620216606498195,5.066473988439307,0.43350373010515214,1385,7033
