smooth_length,trend_length,flip_accuracy,whipsaw_rate,avg_trend_duration,composite_score,total_flips,bars_tested
8,25,0.7868938205185684,0.19161810847153743,25.50750952701188,0.5586162941022547,4462,113856
8,20,0.7800966183574879,0.2018933539412674,21.98782608695652,0.5526293588085364,5176,113856
8,16,0.7842796987401903,0.20766881574482524,19.3149499406075,0.552429096805755,5894,113856
8,14,0.7801312117232411,0.2140389447236181,17.87702214543741,0.5487828871778517,6368,113856
8,12,0.7857409581491687,0.235486160397445,16.160562180579216,0.5445021667899164,7045,113856
5,25,0.7864903458123796,0.2547486033519553,21.19351834606072,0.5392884164227623,5370,113856
5,16,0.7879132540701881,0.26067892503536066,16.101853161691896,0.5378101619105579,7070,113856
8,10,0.7908329855823246,0.26543288122702496,14.431288032454361,0.5374638319744585,7889,113856
5,20,0.7862158008237864,0.26086256839394917,18.314018992435216,0.5371926646401892,6214,113856
5,14,0.7905026191349588,0.2768616335995877,14.666151269166345,0.5339154365406527,7762,113856
4,16,0.7895537750711399,0.29865075246497147,14.769041131438952,0.5270045853603936,7708,113856
5,12,0.7871354795087853,0.2994330672220294,13.172298079148346,0.5257184273113967,8643,113856
4,25,0.7827683542039751,0.2946819252776843,19.152667901026764,0.5257120741689544,5942,113856
4,20,0.7849345981046237,0.2990901085999413,16.7013063261412,0.5251269345247539,6814,113856
8,8,0.7875932711166759,0.3161512027491409,12.62028824833703,0.5208570134023,9021,113856
4,14,0.7829858866515705,0.3137485311398355,13.377012574920672,0.5197747390673559,8510,113856
5,10,0.786322780532128,0.32766264563357045,11.737987213858528,0.5168488886752811,9699,113856
4,12,0.7859055379581155,0.3357331921651667,12.053684879288436,0.5142774643675542,9445,113856
3,20,0.7855605454713595,0.34713459516298634,14.963191797029053,0.510872372091009,7608,113856
3,25,0.7853110891557206,0.34850299401197604,17.036232969007337,0.5104713153343808,6680,113856
4,10,0.7840555416377516,0.35623767952689384,10.686631618475404,0.5073140784598948,10653,113856
3,16,0.7797611632209946,0.3594674556213018,12.953795379537954,0.5047468695895463,8788,113856
3,14,0.7840344992477778,0.3654127481713689,11.895182359703208,0.5046168292927944,9570,113856
5,8,0.7821401220912225,0.36546220747780866,10.207496413199426,0.5037553027194743,11153,113856
3,12,0.7842119862149234,0.38439876091241904,10.686631618475404,0.49892833187510593,10653,113856
4,8,0.782689972495528,0.4027273460824659,9.18608779857973,0.49274187496049604,12393,113856
3,10,0.7826310339097821,0.40314092389942363,9.509941520467835,0.49261129267151343,11971,113856
2,20,0.7816222002071099,0.4296649656090526,12.62909131254854,0.48441492008565457,9014,113856
2,25,0.7819042896793721,0.4353264948711534,14.235706242962593,0.48291396272253195,7994,113856
2,16,0.7832125498750476,0.43963860053825454,10.941555320580601,0.4819700394576289,10404,113856
2,14,0.7840775297914083,0.44856039325842695,9.99253796857168,0.47958948215407377,11392,113856
3,8,0.7804372748446596,0.44653771481987486,8.185962893714944,0.4786449805516461,13907,113856
2,12,0.7842993955464248,0.4630639171999684,8.994469026548673,0.475274574891766,12657,113856
2,10,0.7815947813788088,0.47818143489565035,7.999578355586788,0.4696050450231523,14231,113856
2,8,0.7820750663908619,0.5152604325312214,6.935177287681248,0.4586173677754607,16415,113856
1,20,0.783510573629408,0.5691030441152531,9.265445665445666,0.44316158801658895,12286,113856
1,25,0.7832151468105463,0.5717677136596055,10.393480047484248,0.4423034617451967,10952,113856
1,16,0.7862080748318275,0.580590717299578,8.005133975666363,0.4407278704540542,14220,113856
1,14,0.784854684406843,0.5873118002831038,7.32417476352873,0.43813430410168513,15542,113856
1,12,0.7835047836873122,0.5996524761077324,6.593721037998146,0.4338536475101219,17265,113856
1,10,0.7820410205233858,0.6150495254887725,5.903640701172078,0.4286126614765702,19283,113856
1,8,0.7807684780433348,0.6476837887723406,5.125202593192869,0.4182723432551719,22213,113856
