left_bars,right_bars,bounce_rate,interaction_rate,density_score,composite_score,total_levels,total_bounces,total_breaks,bars_tested
7,2,0.753711558854719,0.8145109047721875,0.0,0.5458378949735438,4631,2843,929,31280
8,2,0.751909476661952,0.815831987075929,0.0,0.5455133867875595,4333,2658,877,31280
6,2,0.7555500740009867,0.8104758096761295,0.0,0.5453627725032336,5002,3063,991,31280
5,2,0.7548953409858203,0.8069378859426081,0.0,0.5440395021771106,5506,3354,1089,31280
9,2,0.7496238338850436,0.8138623561107029,0.0,0.5440082403872283,4083,2491,832,31280
10,2,0.7472388766172294,0.8146529562982006,0.0,0.5432914375363519,3890,2368,801,31280
3,2,0.7610699439725285,0.7957716093772472,0.0,0.5431594604021855,6953,4211,1322,31280
4,2,0.7553386211104332,0.7996422182468694,0.0,0.5420281139182341,6149,3714,1203,31280
8,3,0.7510961214165262,0.7879351581185224,0.0,0.5368189960021672,3763,2227,738,31280
7,3,0.750553972776195,0.7850397614314115,0.0,0.5357335175399015,4024,2371,788,31280
9,3,0.7492846924177397,0.7862767154105736,0.0,0.535596891590268,3556,2095,701,31280
10,3,0.7485007496251874,0.7872528769548539,0.0,0.5355761629365312,3389,1997,671,31280
6,3,0.753918958887903,0.7792117999539064,0.0,0.5353311235413332,4339,2549,832,31280
3,3,0.7624697868600308,0.7625670241286864,0.0,0.5337580219826182,5968,3470,1081,31280
5,3,0.7525074545947411,0.7741867785939139,0.0,0.5332590154160707,4765,2776,913,31280
4,3,0.7547308921110838,0.7677358490566037,0.0,0.5322131115614146,5300,3071,998,31280
8,4,0.7472826086956522,0.7655274888558692,0.0,0.5285712901350217,3365,1925,651,31280
7,4,0.7479052823315119,0.7641982182628062,0.0,0.5284215784114465,3592,2053,692,31280
6,4,0.7487249234954098,0.7599483204134367,0.0,0.5274744655221949,3870,2202,739,31280
9,4,0.7440622440622441,0.765277342525854,0.0,0.5272081003826539,3191,1817,625,31280
10,4,0.7426124197002142,0.7668308702791461,0.0,0.5270942289638295,3045,1734,601,31280
5,4,0.745238838588823,0.7559594052395563,0.0,0.5248833570073961,4237,2387,816,31280
6,5,0.7529773338455628,0.7422298260621614,0.0,0.5238598813568736,3507,1960,643,31280
8,5,0.7482517482517482,0.7479568486433475,0.0,0.5236877538937036,3059,1712,576,31280
7,5,0.7487704918032787,0.747091243110839,0.0,0.5236355696545631,3266,1827,613,31280
3,4,0.7514732257238022,0.7393445728357644,0.0,0.5223926621402502,5279,2933,970,31280
7,6,0.7503441945846718,0.7396469789545146,0.0,0.5220317715202232,2946,1635,544,31280
9,5,0.7438968217411331,0.7481047553411441,0.0,0.5219901552987964,2902,1615,556,31280
10,6,0.7486515641855448,0.7413034786085566,0.0,0.521851669256785,2501,1388,466,31280
8,6,0.75,0.7393983327292497,0.0,0.521819499818775,2759,1530,510,31280
10,5,0.7431192660550459,0.748464040477051,0.0,0.5217869185651336,2767,1539,532,31280
6,6,0.7524752475247525,0.7358251504592968,0.0,0.5217376441476901,3157,1748,575,31280
4,4,0.7436771810173345,0.7472924187725631,0.0,0.5216585980387027,4709,2617,902,31280
9,6,0.7480600103466115,0.7397627248373517,0.0,0.5211528215898502,2613,1446,487,31280
5,5,0.7481429076759816,0.7381201044386423,0.0,0.5206931944019852,3830,2115,712,31280
5,6,0.7477045908183633,0.7267188859878155,0.0,0.51709750212369,3447,1873,632,31280
4,5,0.7472527472527473,0.7259502580947912,0.0,0.5166861763295363,4262,2312,782,31280
3,5,0.7538190364277321,0.7148257034859303,0.0,0.515975325616872,4762,2566,838,31280
7,7,0.7457542457542458,0.7224828581739444,0.0,0.5150465557538817,2771,1493,509,31280
6,7,0.7477689055894786,0.7173180592991913,0.0,0.5143029800255489,2968,1592,537,31280
9,7,0.7425853385562395,0.7228964401294499,0.0,0.5139030674613307,2472,1327,460,31280
8,7,0.7433297758804696,0.7218798151001541,0.0,0.513895854882234,2596,1393,481,31280
10,7,0.7399883923389438,0.7251683501683501,0.0,0.5135458619860825,2376,1275,448,31280
4,6,0.7469923441487423,0.7122825240197351,0.0,0.5124816948654175,3851,2049,694,31280
9,8,0.7431791221826809,0.7138018628281118,0.0,0.511412207721506,2362,1253,433,31280
10,8,0.7412415488629379,0.7161091549295775,0.0,0.5113293660240484,2272,1206,421,31280
3,6,0.7522417801394885,0.7003954408001861,0.0,0.5110153442958513,4299,2265,746,31280
8,8,0.741643059490085,0.7125555106984255,0.0,0.5104238770055617,2477,1309,456,31280
7,8,0.7424,0.7099583491101855,0.0,0.5099475047330556,2641,1392,483,31280
5,7,0.7422319474835887,0.7078686493184635,0.0,0.5092533737889745,3228,1696,589,31280
6,8,0.7435768261964736,0.7029036827195467,0.0,0.5083018352944535,2824,1476,509,31280
4,7,0.74341580207502,0.6945676274944568,0.0,0.5057366090783451,3608,1863,643,31280
3,7,0.7488082141547489,0.6803892215568862,0.0,0.5036400521289655,4008,2042,685,31280
5,8,0.7379830348727615,0.6925587467362925,0.0,0.5029608379699924,3064,1566,556,31280
4,8,0.7396729776247849,0.6785401459854015,0.0,0.4994312348455344,3425,1719,605,31280
3,8,0.745735819119397,0.6653470572710478,0.0,0.4978984448290732,3789,1880,641,31280
