left_bars,right_bars,bounce_rate,interaction_rate,density_score,composite_score,total_levels,total_bounces,total_breaks,bars_tested
5,2,0.787929589270746,0.8093622795115333,0.0,0.5579805195617584,1474,940,253,7851
6,2,0.7842778793418648,0.812778603268945,0.0,0.5575447327174294,1346,858,236,7851
7,2,0.7825223435948362,0.8134087237479806,0.0,0.5570315545623287,1238,788,219,7851
10,2,0.775,0.8227228207639569,0.0,0.5568168462291871,1021,651,189,7851
8,2,0.7810839532412327,0.8140138408304498,0.0,0.5566377335456281,1156,735,206,7851
9,2,0.7787709497206704,0.8166058394160584,0.0,0.5564901317130857,1096,697,198,7851
4,2,0.7873436350257542,0.8050947867298578,0.0,0.5564658900292591,1688,1070,289,7851
3,2,0.7877813504823151,0.7982546201232033,0.0,0.5545889262298871,1948,1225,330,7851
10,3,0.7723577235772358,0.8074398249452954,0.0,0.551175036914483,914,570,168,7851
9,3,0.7732484076433122,0.8018386108273748,0.0,0.5498509463055373,979,607,178,7851
8,3,0.7745454545454545,0.7986447241045499,0.0,0.5494115990495467,1033,639,186,7851
7,3,0.773972602739726,0.7956403269754768,0.0,0.5482811391885334,1101,678,198,7851
5,3,0.7779941577409932,0.7875766871165644,0.0,0.5474706692313666,1304,799,228,7851
6,3,0.7749469214437368,0.7915966386554621,0.0,0.5474577601741334,1190,730,212,7851
4,3,0.7815993121238177,0.781061114842176,0.0,0.5469580593021799,1489,909,254,7851
3,3,0.781203007518797,0.7723577235772358,0.0,0.5441885200806895,1722,1039,291,7851
10,4,0.7503852080123267,0.7885783718104495,0.0,0.5367275947480655,823,487,162,7851
10,5,0.7547169811320755,0.7711640211640212,0.0,0.5332359988020365,756,440,143,7851
9,4,0.7459618208516887,0.7791762013729977,0.0,0.5321375887525748,874,508,173,7851
9,5,0.7549342105263158,0.7628607277289837,0.0,0.5308319025292214,797,459,149,7851
8,4,0.7454289732770746,0.7753544165757906,0.0,0.530777914283567,917,530,181,7851
8,5,0.7531446540880503,0.7598566308243727,0.0,0.529214850882532,837,479,157,7851
7,4,0.7440318302387268,0.7717502558853634,0.0,0.5291378088610997,977,561,193,7851
6,4,0.7471980074719801,0.765490943755958,0.0,0.5285264861155794,1049,600,203,7851
7,5,0.7518573551263001,0.7561797752808989,0.0,0.5275968746347898,890,506,167,7851
5,4,0.7465437788018433,0.7614035087719299,0.0,0.5270385641523163,1140,648,220,7851
4,4,0.7492291880781089,0.7566096423017107,0.0,0.5266745679217568,1286,729,244,7851
6,5,0.7517531556802244,0.7513171759747103,0.0,0.5260964150645029,949,536,177,7851
10,7,0.74609375,0.7540500736377025,0.0,0.5246525220913107,679,382,130,7851
10,6,0.7388888888888889,0.7605633802816901,0.0,0.5237245696400625,710,399,141,7851
5,5,0.7496740547588006,0.7461089494163424,0.0,0.523702306728423,1028,575,192,7851
9,7,0.7471910112359551,0.7447698744769874,0.0,0.5223073668374782,717,399,135,7851
4,5,0.7571428571428571,0.7310704960835509,0.0,0.5221782916822082,1149,636,204,7851
9,6,0.7411347517730497,0.752,0.0,0.5220539007092199,750,418,146,7851
10,8,0.7418032786885246,0.7450381679389313,0.0,0.5202327618570892,655,362,126,7851
8,6,0.7389830508474576,0.748730964467005,0.0,0.5202125096790846,788,436,154,7851
3,4,0.7458563535911602,0.7377717391304348,0.0,0.5196740631755945,1472,810,276,7851
8,7,0.7419354838709677,0.7410358565737052,0.0,0.5190849505204986,753,414,144,7851
9,8,0.7445972495088409,0.7355491329479769,0.0,0.5185036396879295,692,379,130,7851
7,7,0.742320819112628,0.7380352644836272,0.0,0.5183389069901394,794,435,151,7851
6,6,0.7405159332321699,0.7396184062850729,0.0,0.5180918951783898,891,488,171,7851
7,6,0.7363344051446945,0.7449101796407186,0.0,0.5180068159500933,835,458,164,7851
5,6,0.7436260623229461,0.7316062176165803,0.0,0.5169322902141525,965,525,181,7851
6,7,0.7443365695792881,0.7304964539007093,0.0,0.516883564001928,846,460,158,7851
5,7,0.7450980392156863,0.7230098146128681,0.0,0.5149421600701349,917,494,169,7851
3,5,0.7559912854030502,0.7072419106317411,0.0,0.5145690873507425,1298,694,224,7851
4,6,0.7493472584856397,0.7145522388059702,0.0,0.5141045750360469,1072,574,192,7851
8,8,0.7372400756143668,0.7296551724137931,0.0,0.5137925819698846,725,390,139,7851
4,7,0.7524475524475525,0.7051282051282052,0.0,0.5125174825174825,1014,538,177,7851
7,8,0.7377049180327869,0.7195281782437746,0.0,0.5109404206862471,763,405,144,7851
6,8,0.7401032702237521,0.7128834355828221,0.0,0.5099063387643474,815,430,151,7851
5,8,0.7415185783521809,0.70261066969353,0.0,0.5073906322489313,881,459,160,7851
3,6,0.7490996398559424,0.6907131011608624,0.0,0.5068537862906357,1206,624,209,7851
3,7,0.752258064516129,0.6780402449693789,0.0,0.5043152992972653,1143,583,192,7851
4,8,0.7454819277108434,0.6817248459958932,0.0,0.5027102248831053,974,495,169,7851
3,8,0.7461645746164575,0.6547945205479452,0.0,0.49490418601096653,1095,535,182,7851
