left_bars,right_bars,bounce_rate,interaction_rate,density_score,composite_score,total_levels,total_bounces,total_breaks,bars_tested
6,2,0.7445236882322975,0.8061601642710472,0.0,0.5396575245742332,4870,2923,1003,31318
7,2,0.7405479452054795,0.8093126385809313,0.0,0.5390129696564712,4510,2703,947,31318
8,2,0.7392566782810686,0.8097813308252998,0.0,0.5386370705600174,4253,2546,898,31318
4,2,0.7474495107224651,0.7957256461232605,0.0,0.5376974981259642,6036,3590,1213,31318
5,2,0.7449571064224437,0.7989996294924046,0.0,0.5376827314166989,5398,3213,1100,31318
9,2,0.7367119901112484,0.8098098098098098,0.0,0.5376277389874423,3996,2384,852,31318
3,2,0.7539653264478052,0.7865950964746845,0.0,0.5375646595215274,6893,4088,1334,31318
10,2,0.7338501291989664,0.8119590873328089,0.0,0.5371277778794292,3813,2272,824,31318
6,3,0.7366997294860235,0.7811692885653909,0.0,0.5290306783640266,4259,2451,876,31318
7,3,0.7321313586606568,0.786727456940223,0.0,0.5288707805463296,3948,2274,832,31318
8,3,0.730142566191446,0.7881219903691814,0.0,0.5284936235873329,3738,2151,795,31318
3,3,0.7481384143670609,0.7618888703487402,0.0,0.5278220268514464,5993,3416,1150,31318
4,3,0.7409236848604593,0.7703576864535768,0.0,0.5274767798802568,5256,3000,1049,31318
9,3,0.7272072072072072,0.7885763000852515,0.0,0.5274557729084584,3519,2018,757,31318
10,3,0.7254606995110944,0.790898274836407,0.0,0.5274537622553599,3362,1929,730,31318
6,4,0.7427876259993048,0.7639405204460966,0.0,0.5262972065335509,3766,2137,740,31318
7,4,0.7372534425009304,0.7696934975651676,0.0,0.5258094262699224,3491,1981,706,31318
5,3,0.7345932621199671,0.7730256193097608,0.0,0.5257449906409151,4723,2682,969,31318
10,4,0.7350390286209887,0.7720120522263141,0.0,0.5256192271162897,2987,1695,611,31318
9,4,0.736053288925895,0.7706127686878409,0.0,0.5256051461767103,3117,1768,634,31318
8,4,0.7354788069073783,0.7709531013615734,0.0,0.5254774531714234,3305,1874,674,31318
3,4,0.7528720959918305,0.7418560606060606,0.0,0.5237056565785504,5280,2949,968,31318
4,4,0.7456896551724138,0.7501616727743048,0.0,0.523324363901257,4639,2595,885,31318
5,4,0.7417197452229299,0.7544449783757808,0.0,0.5230213916019062,4162,2329,811,31318
7,5,0.7348798674399337,0.7478314745972738,0.0,0.5183013893551556,3228,1774,640,31318
8,5,0.7324923879947803,0.7505713352921972,0.0,0.5181683557855713,3063,1684,615,31318
6,5,0.7378001549186677,0.7430215827338129,0.0,0.5180265367876109,3475,1905,677,31318
10,5,0.7290569650550502,0.751979841612671,0.0,0.5172167385058214,2778,1523,566,31318
9,5,0.7299908003679852,0.7504314808422506,0.0,0.5171257643998692,2897,1587,587,31318
7,6,0.7412095639943741,0.7347571477781605,0.0,0.5169109699311978,2903,1581,552,31318
8,6,0.7383177570093458,0.7371283538796229,0.0,0.5164656089676252,2758,1501,532,31318
6,6,0.7433084686265906,0.7304487179487179,0.0,0.5164580028352517,3120,1694,585,31318
10,6,0.7356446370530878,0.7378097521982414,0.0,0.5156007804807076,2502,1358,488,31318
9,6,0.7375849451123889,0.7349212447176335,0.0,0.5155103514602456,2603,1411,502,31318
5,5,0.7382645803698435,0.7319104633003644,0.0,0.5148789711380467,3842,2076,736,31318
4,5,0.7407048173294536,0.724525650035137,0.0,0.5136396219423226,4269,2291,802,31318
3,5,0.7494920174165457,0.7111890999174236,0.0,0.5131535369418454,4844,2582,863,31318
7,7,0.7401015228426396,0.7213474917612596,0.0,0.5124448566654337,2731,1458,512,31318
8,7,0.738158594997339,0.7238058551617874,0.0,0.5124051945474718,2596,1387,492,31318
10,7,0.7371495327102804,0.7241962774957699,0.0,0.5121186963328431,2364,1262,450,31318
9,7,0.7376126126126126,0.7219512195121951,0.0,0.5116304108987035,2460,1310,466,31318
5,6,0.7406060606060606,0.7157316367842683,0.0,0.5109619152777047,3458,1833,642,31318
6,7,0.7425695110258869,0.7117024906175367,0.0,0.5105385515956158,2931,1549,537,31318
4,6,0.7442804428044281,0.7049947970863684,0.0,0.5092106162476817,3844,2017,693,31318
3,6,0.7488448844884489,0.6932052161976664,0.0,0.5074995186546795,4371,2269,761,31318
10,8,0.7330006238303182,0.7102348249889233,0.0,0.5062706970288042,2257,1175,428,31318
8,8,0.7331428571428571,0.7090761750405187,0.0,0.5059799953692984,2468,1283,467,31318
9,8,0.7321321321321321,0.7088122605363985,0.0,0.5054965310137723,2349,1219,446,31318
5,7,0.7401679186920017,0.6965220067713143,0.0,0.5050237695081949,3249,1675,588,31318
7,8,0.73224043715847,0.7068366164542295,0.0,0.5049471597996569,2589,1340,490,31318
6,8,0.7355072463768116,0.6962162162162162,0.0,0.5030677634155896,2775,1421,511,31318
4,7,0.7423139158576052,0.6864759788947514,0.0,0.5028683600114675,3601,1835,637,31318
3,7,0.7474563953488372,0.6730251895328931,0.0,0.5008901149994028,4089,2057,695,31318
5,8,0.7354345749761223,0.681640625,0.0,0.4986660174904489,3072,1540,554,31318
4,8,0.735410267661255,0.6716769820218096,0.0,0.49566720167104483,3393,1676,603,31318
3,8,0.738255033557047,0.6575804776739356,0.0,0.49257615672499944,3852,1870,663,31318
