left_bars,right_bars,bounce_rate,interaction_rate,density_score,composite_score,total_levels,total_bounces,total_breaks,bars_tested
7,2,0.7574879227053141,0.8380566801619433,0.0,0.5544121731307086,1235,784,251,7851
5,2,0.7578512396694215,0.8362128541810643,0.0,0.5540043521220879,1447,917,293,7851
6,2,0.7560756075607561,0.8372268274302939,0.0,0.5535982912533906,1327,840,271,7851
9,2,0.7494669509594882,0.8420107719928187,0.0,0.552390011981641,1114,703,235,7851
8,2,0.7512742099898063,0.8384615384615385,0.0,0.5520481455343841,1170,737,244,7851
4,2,0.7627240143369176,0.8230088495575221,0.0,0.5519922606020237,1695,1064,331,7851
10,2,0.7465909090909091,0.8437200383509108,0.0,0.5517523751416369,1043,657,223,7851
3,2,0.7649681528662421,0.8113695090439277,0.0,0.5493981138596752,1935,1201,369,7851
7,3,0.7424593967517401,0.805607476635514,0.0,0.5386660016913503,1070,640,222,7851
10,3,0.7337837837837838,0.8149779735682819,0.0,0.5380069055839981,908,543,197,7851
8,3,0.7369062119366626,0.8080708661417323,0.0,0.5371837446171848,1016,605,216,7851
6,3,0.739413680781759,0.8036649214659686,0.0,0.5368649487524941,1146,681,240,7851
9,3,0.7336747759282971,0.8101659751037344,0.0,0.5365197029024392,964,573,208,7851
5,3,0.7382146439317954,0.8008032128514057,0.0,0.5355268214281398,1245,736,261,7851
4,3,0.7441659464131374,0.7844067796610169,0.0,0.53298841246356,1475,861,296,7851
3,3,0.7418126428027418,0.7741745283018868,0.0,0.5289774156116628,1696,974,339,7851
10,4,0.7191558441558441,0.7867177522349936,0.0,0.5236776633328357,783,443,173,7851
7,4,0.7218259629101283,0.7720264317180616,0.0,0.5203383146794698,908,506,195,7851
9,4,0.7147286821705426,0.7799274486094316,0.0,0.5198697074510465,827,461,184,7851
8,4,0.7161961367013373,0.776239907727797,0.0,0.519350426998874,867,482,191,7851
6,4,0.721399730820996,0.7691511387163561,0.0,0.5193052339433052,966,536,207,7851
5,4,0.7141089108910891,0.7695238095238095,0.0,0.5165007072135784,1050,577,231,7851
4,4,0.7118279569892473,0.7524271844660194,0.0,0.5104593381355047,1236,662,268,7851
10,5,0.698905109489051,0.7653631284916201,0.0,0.5091709823431065,716,383,165,7851
10,6,0.705078125,0.7529411764705882,0.0,0.5079136029411765,680,361,151,7851
7,5,0.7053140096618358,0.750906892382104,0.0,0.5073976715793656,827,438,183,7851
6,5,0.7064220183486238,0.7491408934707904,0.0,0.5073110753806866,873,462,192,7851
5,5,0.7063829787234043,0.7476139978791092,0.0,0.5068373908530944,943,498,207,7851
3,4,0.7137404580152672,0.7369901547116737,0.0,0.506593229619609,1422,748,300,7851
6,6,0.7142857142857143,0.7355072463768116,0.0,0.5063664596273292,828,435,174,7851
9,5,0.6958041958041958,0.7596281540504648,0.0,0.5062101245368178,753,398,174,7851
5,6,0.7175925925925926,0.7305524239007892,0.0,0.5062027642072738,887,465,183,7851
8,5,0.6984924623115578,0.7556962025316456,0.0,0.5061058456841168,790,417,180,7851
9,6,0.7035647279549718,0.7475455820476858,0.0,0.5056895657962945,713,375,158,7851
7,6,0.7115716753022453,0.7366412213740458,0.0,0.5056210365331119,786,412,167,7851
8,6,0.7068345323741008,0.7423230974632844,0.0,0.5054307421886257,749,393,163,7851
10,7,0.7053941908713693,0.7403993855606759,0.0,0.5042774920167505,651,340,142,7851
6,7,0.715034965034965,0.7231352718078382,0.0,0.5029545675563375,791,409,163,7851
4,5,0.7066167290886392,0.7321755027422303,0.0,0.5022993424581248,1094,566,235,7851
9,7,0.703187250996016,0.7360703812316716,0.0,0.5020960147679079,682,353,149,7851
7,7,0.710091743119266,0.7247340425531915,0.0,0.5014569100136639,752,387,158,7851
5,7,0.7154605263157895,0.7169811320754716,0.0,0.5012785501489573,848,435,173,7851
8,7,0.7041984732824428,0.7308228730822873,0.0,0.5009262512376633,717,369,155,7851
4,6,0.7176308539944903,0.7124631992149166,0.0,0.5007913013622711,1019,521,205,7851
3,5,0.7136465324384788,0.710087370929309,0.0,0.49848482425418417,1259,638,256,7851
10,8,0.6989010989010989,0.7291666666666666,0.0,0.4983104395604395,624,318,137,7851
7,8,0.7079303675048356,0.7160664819944599,0.0,0.49799209160027225,722,366,151,7851
6,8,0.7100371747211895,0.7097625329815304,0.0,0.49694362978293494,758,382,156,7851
9,8,0.6983122362869199,0.7247706422018348,0.0,0.4967560871753184,654,331,143,7851
3,6,0.7245657568238213,0.6888888888888889,0.0,0.4964929693961952,1170,584,222,7851
8,8,0.6995967741935484,0.7198838896952104,0.0,0.49580387658598246,689,347,149,7851
4,7,0.7130307467057101,0.6990788126919141,0.0,0.4949359424898583,977,487,196,7851
5,8,0.7107583774250441,0.7,0.0,0.49430335097001765,810,403,164,7851
3,7,0.7182539682539683,0.6774193548387096,0.0,0.4905273937532002,1116,543,213,7851
4,8,0.7086614173228346,0.6813304721030042,0.0,0.48786370856003514,932,450,185,7851
3,8,0.7150997150997151,0.6591549295774648,0.0,0.4837863649131255,1065,502,200,7851
