left_bars,right_bars,bounce_rate,interaction_rate,density_score,composite_score,total_levels,total_bounces,total_breaks,bars_tested
10,2,0.7471526195899773,0.8401913875598086,0.0,0.5509184641039335,1045,656,222,7851
9,2,0.7456331877729258,0.8380603842634949,0.0,0.5496713903882188,1093,683,233,7851
5,2,0.7520525451559934,0.8285714285714286,0.0,0.5493924466338259,1470,916,302,7851
6,2,0.7491007194244604,0.8310911808669657,0.0,0.5489676420298739,1338,833,279,7851
8,2,0.745676500508647,0.83446519524618,0.0,0.5486101587773128,1178,733,250,7851
7,2,0.7430221366698749,0.8331996792301524,0.0,0.5471687584369958,1247,772,267,7851
4,2,0.7516339869281046,0.8196428571428571,0.0,0.546546451914099,1680,1035,342,7851
3,2,0.7558139534883721,0.8130252100840336,0.0,0.5462331444205589,1904,1170,378,7851
10,3,0.743421052631579,0.8216216216216217,0.0,0.5438549075391181,925,565,195,7851
8,3,0.7488151658767772,0.8123195380173244,0.0,0.5432219277559082,1039,632,212,7851
9,3,0.7445997458703939,0.8172377985462098,0.0,0.5430112379120204,963,586,201,7851
7,3,0.7437923250564334,0.8106129917657823,0.0,0.5407008275523081,1093,659,227,7851
6,3,0.7420718816067653,0.8071672354948806,0.0,0.5389789232911704,1172,702,244,7851
5,3,0.7361784675072744,0.8023346303501946,0.0,0.5351717761079682,1285,759,272,7851
3,3,0.7421576128538638,0.7835731414868106,0.0,0.5319349875875887,1668,970,337,7851
4,3,0.7345890410958904,0.7924016282225237,0.0,0.5315561049051132,1474,858,310,7851
10,4,0.7205651491365777,0.7942643391521197,0.0,0.5265053614002669,802,459,178,7851
9,4,0.7223065250379362,0.790167865707434,0.0,0.5259729697274047,834,476,183,7851
8,4,0.7263610315186246,0.7807606263982103,0.0,0.5247726005269129,894,507,191,7851
7,4,0.7235213204951857,0.7775401069518717,0.0,0.5226705602836358,935,526,201,7851
6,4,0.7237354085603113,0.7772177419354839,0.0,0.5226594860047697,992,558,213,7851
10,5,0.7197898423817863,0.7789904502046384,0.0,0.5216130720141061,733,411,160,7851
5,4,0.720677146311971,0.7743445692883895,0.0,0.5205742293113053,1068,596,231,7851
9,5,0.717687074829932,0.7736842105263158,0.0,0.5191800930898676,760,422,166,7851
8,5,0.7227564102564102,0.7647058823529411,0.0,0.5185143288084464,816,451,173,7851
4,4,0.7151965993623804,0.7662866449511401,0.0,0.5159646332302942,1228,673,268,7851
6,5,0.7188405797101449,0.7607497243660419,0.0,0.5157611491938705,907,496,194,7851
7,5,0.7184615384615385,0.7611241217798594,0.0,0.5157218519185732,854,467,183,7851
3,4,0.7242366412213741,0.7512544802867384,0.0,0.5150710005745711,1395,759,289,7851
10,6,0.711864406779661,0.7662337662337663,0.0,0.5146158925819942,693,378,153,7851
5,5,0.7162162162162162,0.7589743589743589,0.0,0.5141787941787942,975,530,210,7851
4,5,0.7201447527141134,0.7495479204339964,0.0,0.5129222772158443,1106,597,232,7851
10,7,0.714,0.75642965204236,0.0,0.512528895612708,661,357,143,7851
9,6,0.7119266055045872,0.7590529247910863,0.0,0.5124865196391608,718,388,157,7851
3,5,0.7325966850828729,0.7310177705977383,0.0,0.5123440052124706,1238,663,242,7851
9,7,0.7140077821011673,0.7503649635036497,0.0,0.5107126018915619,685,367,147,7851
8,6,0.7132987910189983,0.7509727626459144,0.0,0.5106113452013736,771,413,166,7851
10,8,0.7154989384288747,0.745253164556962,0.0,0.5097755247386385,632,337,134,7851
8,7,0.7155963302752294,0.7425068119891008,0.0,0.508990575706822,734,390,155,7851
9,8,0.7154639175257732,0.739329268292683,0.0,0.5079843474981142,656,347,138,7851
6,6,0.709375,0.7467911318553092,0.0,0.5077873395565927,857,454,186,7851
7,6,0.707641196013289,0.7468982630272953,0.0,0.5071259573135042,806,426,176,7851
8,8,0.7181996086105675,0.7289586305278174,0.0,0.5059674326025723,701,367,144,7851
5,6,0.7069219440353461,0.7396514161220044,0.0,0.5046642024507397,918,480,199,7851
7,7,0.7074468085106383,0.7372549019607844,0.0,0.5041551939924906,765,399,165,7851
6,7,0.709731543624161,0.7330873308733087,0.0,0.5038188167116571,813,423,173,7851
4,6,0.7127799736495388,0.7284069097888676,0.0,0.5036340623964758,1042,541,218,7851
3,6,0.7260606060606061,0.7087628865979382,0.0,0.5030531084036238,1164,599,226,7851
6,8,0.7140287769784173,0.7202072538860104,0.0,0.5016736869571701,772,397,159,7851
7,8,0.7129277566539924,0.7215363511659808,0.0,0.5016320080113912,729,375,151,7851
5,7,0.7045813586097947,0.7250859106529209,0.0,0.49935831663979413,873,446,187,7851
3,7,0.7243172951885566,0.6952983725135624,0.0,0.4983164298294914,1106,557,212,7851
4,7,0.7090395480225988,0.7137096774193549,0.0,0.497728722434846,992,502,206,7851
5,8,0.7096774193548387,0.7122128174123338,0.0,0.4975348129656356,827,418,171,7851
4,8,0.7145015105740181,0.7020148462354189,0.0,0.4964050581002329,943,473,189,7851
3,8,0.7296918767507002,0.680648236415634,0.0,0.4960712216249703,1049,521,193,7851
