left_bars,right_bars,bounce_rate,interaction_rate,density_score,composite_score,total_levels,total_bounces,total_breaks,bars_tested
8,2,0.7092059336823735,0.8060488834183225,0.0,0.5254970384984461,11374,6502,2666,87257
9,2,0.7085310799861095,0.806478715459298,0.0,0.5253560466322332,10712,6121,2518,87257
4,2,0.7156206198411462,0.7962549603174603,0.0,0.5251247360316966,16128,9190,3652,87257
7,2,0.7091945830363506,0.8046042929706702,0.0,0.5250591211057413,12206,6965,2856,87257
10,2,0.7076037712746418,0.8066172839506173,0.0,0.5250266936950418,10125,5779,2388,87257
5,2,0.7116617570611679,0.799916834153441,0.0,0.5246397530704994,14429,8214,3328,87257
6,2,0.708984742889433,0.8020849070856625,0.0,0.524219369281472,13238,7528,3090,87257
3,2,0.7167078528281164,0.7900645371224037,0.0,0.5237025022679677,18439,10441,4127,87257
8,3,0.7125693160813309,0.7712830957230142,0.0,0.5164126551494366,9820,5397,2177,87257
9,3,0.7121254550546066,0.7713575980127444,0.0,0.516257461425666,9259,5086,2056,87257
10,3,0.7117464079395646,0.7714546908924694,0.0,0.5161349704435666,8751,4805,1946,87257
4,3,0.717697431018078,0.7631980248347978,0.0,0.5160383798576705,13771,7543,2967,87257
7,3,0.7122035573122529,0.7701674277016742,0.0,0.5159316512354035,10512,5766,2330,87257
6,3,0.7137290854916342,0.7676607724113662,0.0,0.5157898659200635,11367,6228,2498,87257
5,3,0.7149048625792812,0.7658678756476683,0.0,0.515722307726013,12352,6763,2697,87257
3,3,0.7183051133013225,0.7575138791398124,0.0,0.5145762090624727,15671,8527,3344,87257
8,4,0.7102108936428463,0.7481271282633372,0.0,0.5085224959361396,8810,4681,1910,87257
9,4,0.7102428043093745,0.748015395718066,0.0,0.5085017404391696,8314,4417,1802,87257
10,4,0.7101054780537598,0.747932306909276,0.0,0.5084218832942867,7859,4174,1704,87257
7,4,0.7103801794105084,0.7460165710643722,0.0,0.5079570430835151,9414,4989,2034,87257
4,4,0.7166685076770132,0.7375753625549943,0.0,0.5079400118373036,12274,6488,2565,87257
5,4,0.7137787567302986,0.7407541696881799,0.0,0.5077377535985734,11032,5833,2339,87257
6,4,0.7110728932398466,0.7431183641368463,0.0,0.5073646665369925,10172,5375,2184,87257
3,4,0.7201382033563672,0.727364112874273,0.0,0.5062645152048288,13927,7295,2835,87257
8,5,0.7157351676698195,0.7236187157789945,0.0,0.5033796818016262,8036,4162,1653,87257
7,5,0.7169171110033932,0.7218334499650105,0.0,0.5033168793908604,8574,4437,1752,87257
10,5,0.7146692233940556,0.7248088950660181,0.0,0.5033103578774276,7195,3727,1488,87257
5,5,0.7188542825361512,0.7174780526735834,0.0,0.5027851288165356,10024,5170,2022,87257
9,5,0.714155749636099,0.7236339697169191,0.0,0.5027524907695153,7595,3925,1571,87257
4,5,0.722004797374069,0.7112966954022989,0.0,0.5021909275703172,11136,5719,2202,87257
6,5,0.7160679392755148,0.7188546731496488,0.0,0.5020835776551006,9255,4764,1889,87257
10,6,0.7209450830140486,0.703925681750075,0.0,0.49955573773064194,6674,3387,1311,87257
8,6,0.7210858344484802,0.7030913978494624,0.0,0.4993617531342308,7440,3772,1459,87257
3,5,0.7240480507706256,0.6987093198194632,0.0,0.4992320162540892,12629,6389,2435,87257
9,6,0.7200647249190939,0.7025721188006253,0.0,0.49879752560782514,7037,3560,1384,87257
7,6,0.7217814641182835,0.7001641206918319,0.0,0.49876182185486295,7921,4003,1543,87257
6,6,0.7217084244156717,0.6962884908090388,0.0,0.49756991700898034,8541,4292,1655,87257
5,6,0.7236965344989073,0.6932900432900433,0.0,0.4974656267865759,9240,4636,1770,87257
4,6,0.7257264351523742,0.6871530145125159,0.0,0.4964364784147045,10267,5120,1935,87257
3,6,0.7283303502940425,0.6740198190435157,0.0,0.4935380858306717,11605,5697,2125,87257
10,7,0.7065743944636678,0.6863521215959468,0.0,0.4885353942642512,6316,3063,1272,87257
8,7,0.7074589653023062,0.6848321001707456,0.0,0.4884332161721462,7028,3405,1408,87257
7,7,0.7084639498432602,0.682809364548495,0.0,0.48822838930185264,7475,3616,1488,87257
9,7,0.7064643799472295,0.6841155234657039,0.0,0.487820409018603,6648,3213,1335,87257
5,7,0.7130672125554418,0.6728650137741047,0.0,0.48708638915440816,8712,4180,1682,87257
6,7,0.7092575618698442,0.6771350546176763,0.0,0.4868435411332406,8056,3869,1586,87257
4,7,0.715105459057072,0.6666666666666666,0.0,0.4860421836228288,9672,4611,1837,87257
10,8,0.7078875342124906,0.6726359832635983,0.0,0.4849458086640757,5975,2845,1174,87257
8,8,0.7093728927848955,0.6705350414468726,0.0,0.48490966954801995,6635,3156,1293,87257
9,8,0.7075718015665796,0.6703261734287987,0.0,0.4841265726552715,6285,2981,1232,87257
7,8,0.7096293140178952,0.6661935850127733,0.0,0.48370980111099005,7046,3331,1363,87257
3,7,0.7182901191310441,0.6544070439328625,0.0,0.4836381608322764,10903,5125,2010,87257
6,8,0.7091561938958707,0.6604743083003952,0.0,0.48180477004846683,7590,3555,1458,87257
5,8,0.7117133840727677,0.6563109161793372,0.0,0.48157862848290833,8208,3834,1553,87257
4,8,0.7146238377007608,0.6495717109598067,0.0,0.4807210483682463,9106,4227,1688,87257
3,8,0.7193815064298836,0.6367713004484304,0.0,0.4787839927064826,10258,4699,1833,87257
