left_bars,right_bars,bounce_rate,interaction_rate,density_score,composite_score,total_levels,total_bounces,total_breaks,bars_tested
10,2,0.7460417986067132,0.8232533889468197,0.0,0.5453927361267312,3836,2356,802,30438
9,2,0.7460843373493976,0.8197530864197531,0.0,0.544359660865685,4050,2477,843,30438
8,2,0.744279176201373,0.816250291851506,0.0,0.542586758036001,4283,2602,894,30438
7,2,0.7443487621097955,0.8147336110502083,0.0,0.5421595881589807,4561,2766,950,30438
6,2,0.7442550037064493,0.8141219070609536,0.0,0.5419385736008657,4971,3012,1035,30438
5,2,0.7448793809740555,0.8068307014322439,0.0,0.5400009628192953,5446,3273,1121,30438
4,2,0.7438169826875515,0.799209355954538,0.0,0.537289599861382,6071,3609,1243,30438
3,2,0.7458583651920626,0.792183443899625,0.0,0.5359983792467126,6934,4097,1396,30438
10,3,0.7389181066867018,0.7955768081291094,0.0,0.5342402851134135,3346,1967,695,30438
9,3,0.7387900355871886,0.7937853107344632,0.0,0.5336516074552144,3540,2076,734,30438
8,3,0.7389245857287792,0.7919121585431173,0.0,0.5331434818544468,3734,2185,772,30438
7,3,0.7382849856550845,0.7901763224181361,0.0,0.5323668909874746,3970,2316,821,30438
6,3,0.7376760563380281,0.7890715443389673,0.0,0.5317918858369015,4319,2514,894,30438
5,3,0.7408008658008658,0.7827191867852605,0.0,0.5311361023559245,4722,2738,958,30438
4,3,0.7417137245273754,0.7746291365538227,0.0,0.529074230777097,5258,3021,1052,30438
3,3,0.7464418655572586,0.7646073999665159,0.0,0.5279589662128582,5973,3409,1158,30438
10,4,0.7299870186066638,0.7700766411196268,0.0,0.5230177997785536,3001,1687,624,30438
7,4,0.7300884955752213,0.7676195867534673,0.0,0.5223212742561287,3533,1980,732,30438
8,4,0.7298985167837627,0.7677554689841175,0.0,0.5222860474087403,3337,1870,692,30438
9,4,0.7282786885245902,0.7692307692307693,0.0,0.5220807061790669,3172,1777,663,30438
6,4,0.7310580204778157,0.7652128493079133,0.0,0.5219870629835003,3829,2142,788,30438
5,4,0.7347003154574132,0.7572861920688008,0.0,0.5210659838036055,4186,2329,841,30438
4,4,0.7342135476463835,0.7489251934651763,0.0,0.5183629770981063,4652,2558,926,30438
3,4,0.7379363449691991,0.7378787878787879,0.0,0.516538174351316,5280,2875,1021,30438
10,5,0.7301275760549558,0.7470674486803519,0.0,0.5161712650260879,2728,1488,550,30438
9,5,0.728331780055918,0.745915884602016,0.0,0.515107477402972,2877,1563,583,30438
6,5,0.7296875,0.7424593967517401,0.0,0.5146128190255221,3448,1868,692,30438
7,5,0.7282700421940929,0.7436460621273925,0.0,0.5144018355158548,3187,1726,644,30438
8,5,0.7275555555555555,0.743801652892562,0.0,0.5141627180899908,3025,1637,613,30438
10,6,0.7390338700721821,0.7282652648604934,0.0,0.5140931274870209,2473,1331,470,30438
6,6,0.7394179894179894,0.7276227141482194,0.0,0.5140540100116616,3117,1677,591,30438
7,6,0.7369928400954654,0.7281890858533194,0.0,0.513253861794182,2877,1544,551,30438
9,6,0.7356200527704485,0.7282859338970024,0.0,0.5127338012772802,2602,1394,501,30438
5,5,0.7312138728323699,0.7336337132255499,0.0,0.512575663100613,3773,2024,744,30438
8,6,0.735383064516129,0.7270062293880543,0.0,0.5122550946228679,2729,1459,525,30438
5,6,0.7402544111612639,0.7161328239788421,0.0,0.5109416116581582,3403,1804,633,30438
4,5,0.7290980908492429,0.7224732461355529,0.0,0.5083812101803631,4205,2215,823,30438
10,7,0.7368738684369343,0.7108537108537109,0.0,0.5080056606308869,2331,1221,436,30438
4,6,0.7396184062850729,0.7067689053410894,0.0,0.507878034116356,3782,1977,696,30438
9,7,0.7347525891829689,0.7102574581119738,0.0,0.5069782731067798,2447,1277,461,30438
7,7,0.7341705913134484,0.7093541202672605,0.0,0.5064744726055576,2694,1403,508,30438
8,7,0.7335907335907336,0.7087568412822518,0.0,0.506063345820969,2558,1330,483,30438
3,5,0.7320319432120674,0.7099958000839983,0.0,0.5058115173100265,4762,2475,906,30438
6,7,0.7344660194174757,0.7064471879286695,0.0,0.5057205641455911,2916,1513,547,30438
3,6,0.7420328748742033,0.695195895522388,0.0,0.5053719186063977,4288,2212,769,30438
10,8,0.7353885677585099,0.6988330341113106,0.0,0.5038053373367971,2228,1145,412,30438
9,8,0.7328850855745721,0.6985482493595218,0.0,0.5027185090376853,2342,1199,437,30438
5,7,0.7350813743218807,0.6949418787307572,0.0,0.5025151133479795,3183,1626,586,30438
7,8,0.7323232323232324,0.695821944552909,0.0,0.5016758762951656,2561,1305,477,30438
8,8,0.7319223985890653,0.6962750716332379,0.0,0.5016514809255975,2443,1245,456,30438
6,8,0.7335078534031414,0.6915278783490224,0.0,0.5008615048659633,2762,1401,509,30438
4,7,0.7340513670256835,0.6824992931863161,0.0,0.49837033476616827,3537,1772,642,30438
3,7,0.7394864160774097,0.6710789210789211,0.0,0.4971182427546402,4004,1987,700,30438
5,8,0.7313505607020966,0.6804910418049104,0.0,0.49668753682231176,3014,1500,551,30438
4,8,0.731783638801967,0.6689593301435407,0.0,0.493401254563849,3344,1637,600,30438
3,8,0.7338709677419355,0.65643197458973,0.0,0.4904779794736932,3778,1820,660,30438
