left_bars,right_bars,bounce_rate,interaction_rate,density_score,composite_score,total_levels,total_bounces,total_breaks,bars_tested
10,2,0.7703788748564868,0.8287345385347288,0.0,0.5567719115030134,1051,671,200,7850
9,2,0.7669902912621359,0.824,0.0,0.5539961165048544,1125,711,216,7850
6,2,0.7662801070472792,0.8123188405797102,0.0,0.5502076949928247,1380,859,262,7850
8,2,0.7642857142857142,0.8146300914380715,0.0,0.5501033131457072,1203,749,231,7850
7,2,0.7647628267182962,0.8133858267716535,0.0,0.5499208787188146,1270,790,243,7850
4,2,0.7696750902527075,0.8057009889470622,0.0,0.5495803327852017,1719,1066,319,7850
3,2,0.7695238095238095,0.8035714285714286,0.0,0.5488809523809524,1960,1212,363,7850
5,2,0.7654723127035831,0.8063033486539725,0.0,0.548079929677625,1523,940,288,7850
10,3,0.7567934782608695,0.7991313789359392,0.0,0.5424568049851296,921,557,179,7850
9,3,0.7538461538461538,0.7934893184130214,0.0,0.5395852570623679,983,588,192,7850
8,3,0.7536407766990292,0.7832699619771863,0.0,0.5364372992727676,1052,621,203,7850
6,3,0.7553191489361702,0.7800829875518672,0.0,0.5361525558400283,1205,710,230,7850
7,3,0.7534562211981567,0.7812781278127813,0.0,0.5357659268230971,1111,654,214,7850
4,3,0.7534602076124568,0.7691284098469727,0.0,0.5321226059990746,1503,871,285,7850
5,3,0.7487828627069133,0.7727614747930776,0.0,0.5313415875206886,1329,769,258,7850
3,3,0.7522796352583586,0.7660069848661234,0.0,0.5307139495631805,1718,990,326,7850
10,4,0.7407407407407407,0.7752808988764045,0.0,0.5288805659592176,801,460,161,7850
10,5,0.7518115942028986,0.7582417582417582,0.0,0.5281971651536869,728,415,137,7850
9,4,0.7370030581039755,0.7703180212014135,0.0,0.5258966296020142,849,482,172,7850
9,5,0.7478411053540587,0.7519480519480519,0.0,0.524720857726039,770,433,146,7850
7,4,0.7385257301808067,0.7560462670872765,0.0,0.5222241721985056,951,531,188,7850
8,4,0.7340116279069767,0.7585446527012127,0.0,0.5211680469731546,907,505,183,7850
6,4,0.7386215864759428,0.7509765625,0.0,0.5207416033403771,1024,568,201,7850
6,5,0.7529761904761905,0.7312295973884657,0.0,0.5205593554070159,919,506,166,7850
7,5,0.7488076311605724,0.7365339578454333,0.0,0.5204832398178589,854,471,158,7850
10,7,0.7439024390243902,0.7420814479638009,0.0,0.5201854099988964,663,366,126,7850
8,5,0.7441860465116279,0.7386503067484662,0.0,0.519269510629191,815,448,154,7850
10,6,0.7355212355212355,0.7485549132947977,0.0,0.5187749681969336,692,381,137,7850
4,4,0.7411385606874329,0.7394757744241461,0.0,0.518298156602217,1259,690,241,7850
9,7,0.7422480620155039,0.7371428571428571,0.0,0.5180420819490587,700,383,133,7850
4,5,0.7581453634085213,0.7144136078782453,0.0,0.5175822277268821,1117,605,193,7850
5,5,0.7538247566063978,0.719,0.0,0.5172299026425591,1000,542,177,7850
3,4,0.7411988582302569,0.7329149232914923,0.0,0.5163540202795505,1434,779,272,7850
9,6,0.7329650092081031,0.7438356164383562,0.0,0.5163366886147481,730,398,145,7850
5,4,0.7346200241254524,0.7408400357462019,0.0,0.5161000203740416,1119,609,220,7850
3,5,0.755011135857461,0.7087608524072613,0.0,0.5146327100651629,1267,678,220,7850
8,7,0.7420560747663552,0.722972972972973,0.0,0.5137143217984339,740,397,138,7850
7,7,0.7446043165467626,0.7183462532299741,0.0,0.5133456025876972,774,414,142,7850
7,6,0.7346938775510204,0.7277227722772277,0.0,0.5121943827035765,808,432,156,7850
8,6,0.7317939609236235,0.7302204928664072,0.0,0.5117837322293716,771,412,151,7850
6,7,0.7461669505962522,0.7089371980676329,0.0,0.5111479396587908,828,438,149,7850
10,8,0.7333333333333333,0.7254290171606864,0.0,0.5109620384815392,641,341,124,7850
6,6,0.733652312599681,0.7215189873417721,0.0,0.509916621242404,869,460,167,7850
9,8,0.7321063394683026,0.7212389380530974,0.0,0.5092142172032502,678,358,131,7850
4,6,0.7414965986394558,0.6986692015209125,0.0,0.5061993999120561,1052,545,190,7850
8,8,0.7328094302554028,0.7089136490250696,0.0,0.505797866809682,718,373,136,7850
5,6,0.7354260089686099,0.7042105263157895,0.0,0.5054335614821808,950,492,177,7850
4,7,0.7518355359765051,0.6816816816816816,0.0,0.5052387188951065,999,512,169,7850
5,7,0.7456,0.6898454746136865,0.0,0.5051936423841059,906,466,159,7850
7,8,0.7357414448669202,0.7022696929238985,0.0,0.5049774858239376,749,387,139,7850
3,7,0.7539893617021277,0.6708296164139161,0.0,0.502844629605026,1121,567,185,7850
3,6,0.7384428223844283,0.690176322418136,0.0,0.5024300256792121,1191,607,215,7850
6,8,0.7364620938628159,0.6925,0.0,0.5023348375451264,800,408,146,7850
5,8,0.7346938775510204,0.6712328767123288,0.0,0.4952474140341068,876,432,156,7850
4,8,0.7409733124018838,0.6607883817427386,0.0,0.4946258394835751,964,472,165,7850
3,8,0.7428977272727273,0.6518518518518519,0.0,0.49271464646464647,1080,523,181,7850
