left_bars,right_bars,bounce_rate,interaction_rate,density_score,composite_score,total_levels,total_bounces,total_breaks,bars_tested
10,2,0.713903743315508,0.8095238095238095,0.0,0.5284186401833461,924,534,214,7033
9,2,0.7121212121212122,0.8065173116089613,0.0,0.5268036783311733,982,564,228,7033
4,2,0.7146666666666667,0.7978723404255319,0.0,0.5252283687943262,1410,804,321,7033
5,2,0.713855421686747,0.7936254980079681,0.0,0.5236298180770892,1255,711,285,7033
8,2,0.7087378640776699,0.797676669893514,0.0,0.5227981465991222,1033,584,240,7033
3,2,0.7140625,0.7901234567901234,0.0,0.5226620370370371,1620,914,366,7033
6,2,0.7089715536105032,0.7961672473867596,0.0,0.5224387956602292,1148,648,266,7033
7,2,0.7055427251732102,0.796688132474701,0.0,0.5212235298116944,1087,611,255,7033
10,3,0.7067901234567902,0.784503631961259,0.0,0.5180671389710938,826,458,190,7033
9,3,0.7007299270072993,0.7846506300114547,0.0,0.5156871598063562,873,480,205,7033
10,4,0.7069271758436945,0.7639077340569878,0.0,0.5119431905545742,737,398,165,7033
4,3,0.7033898305084746,0.7668562144597888,0.0,0.5114127965413264,1231,664,280,7033
8,3,0.6987270155586988,0.7718340611353712,0.0,0.5110410245640908,916,494,213,7033
3,3,0.7072490706319703,0.7604240282685513,0.0,0.5110268367333535,1415,761,315,7033
5,3,0.7009456264775413,0.7649186256781193,0.0,0.5098538382944524,1106,593,253,7033
6,3,0.6975546975546976,0.7693069306930693,0.0,0.5098139582297998,1010,542,235,7033
7,3,0.6978319783197832,0.76875,0.0,0.5097577913279133,960,515,223,7033
9,4,0.6991596638655462,0.7637997432605905,0.0,0.5088037885243957,779,416,179,7033
10,5,0.7043650793650794,0.7422680412371134,0.0,0.5044264441171659,679,355,149,7033
8,4,0.6948051948051948,0.7530562347188264,0.0,0.5038389483377258,818,428,188,7033
7,4,0.6909937888198758,0.7505827505827506,0.0,0.5015723407027755,858,445,199,7033
4,4,0.6932515337423313,0.7456541628545288,0.0,0.5009968623532912,1093,565,250,7033
6,4,0.6908284023668639,0.7486157253599114,0.0,0.500916078554719,903,467,209,7033
5,4,0.6914749661705006,0.7472194135490394,0.0,0.5007558105329121,989,511,228,7033
9,5,0.693609022556391,0.7419804741980475,0.0,0.5000377512819707,717,369,163,7033
10,6,0.697228144989339,0.7328125,0.0,0.49873500799573556,640,327,142,7033
3,4,0.6924754634678298,0.7312599681020734,0.0,0.49636817581775394,1254,635,282,7033
8,5,0.6878402903811253,0.7317397078353254,0.0,0.49465802850304774,753,379,172,7033
9,6,0.6842105263157895,0.7329376854599406,0.0,0.493565516164298,674,338,156,7033
10,7,0.695852534562212,0.7173553719008264,0.0,0.49354762539513275,605,302,132,7033
6,5,0.686046511627907,0.727932285368803,0.0,0.49279829026180366,827,413,189,7033
7,5,0.6840277777777778,0.7291139240506329,0.0,0.492345288326301,790,394,182,7033
5,5,0.6819571865443425,0.7234513274336283,0.0,0.4898182728478254,904,446,208,7033
4,5,0.688293370944993,0.7139979859013091,0.0,0.48951674414838997,993,488,221,7033
9,7,0.681917211328976,0.7183098591549296,0.0,0.4882598422780693,639,313,146,7033
6,6,0.6810810810810811,0.7179818887451488,0.0,0.48782699905597715,773,378,177,7033
8,6,0.677734375,0.7221438645980254,0.0,0.4877369093794076,709,347,165,7033
3,5,0.6936708860759494,0.700354609929078,0.0,0.4875747374091032,1128,548,242,7033
10,8,0.687041564792176,0.7051724137931035,0.0,0.4863683500548015,580,281,128,7033
4,6,0.6875957120980092,0.7044228694714132,0.0,0.4863651456806276,927,449,204,7033
7,6,0.6766917293233082,0.7189189189189189,0.0,0.486352367404999,740,360,172,7033
5,6,0.6782752902155887,0.7144549763033176,0.0,0.4856466089772308,844,409,194,7033
3,6,0.6949860724233984,0.6883988494726749,0.0,0.4845140838111619,1043,499,219,7033
6,7,0.6808510638297872,0.7034013605442176,0.0,0.4833608336951802,735,352,165,7033
8,7,0.6750524109014675,0.7087667161961367,0.0,0.482650979219428,673,322,155,7033
9,8,0.6751152073732719,0.7068403908794788,0.0,0.4820982002131524,614,293,141,7033
7,7,0.6754032258064516,0.705547652916074,0.0,0.4818255861974029,703,335,161,7033
5,7,0.6785714285714286,0.7008760951188986,0.0,0.48169139996424104,799,380,180,7033
4,7,0.6871880199667221,0.6868571428571428,0.0,0.4809323508438317,875,413,188,7033
3,7,0.6920731707317073,0.6687054026503568,0.0,0.4774408890877899,981,454,202,7033
8,8,0.6674057649667405,0.6959876543209876,0.0,0.4757586022829925,648,301,150,7033
6,8,0.6714579055441479,0.6878531073446328,0.0,0.474939094421049,708,327,160,7033
7,8,0.6673773987206824,0.6917404129793511,0.0,0.4744730833820783,678,313,156,7033
5,8,0.6692307692307692,0.6824146981627297,0.0,0.47241671714112654,762,348,172,7033
4,8,0.6762589928057554,0.6706875753920386,0.0,0.4717098697399137,829,376,180,7033
3,8,0.6870860927152318,0.652267818574514,0.0,0.47051478265844693,926,415,189,7033
