left_bars,right_bars,bounce_rate,interaction_rate,density_score,composite_score,total_levels,total_bounces,total_breaks,bars_tested
8,2,0.7549476135040745,0.8044954343245142,0.0,0.543327675698984,4271,2594,842,31378
6,2,0.7574219741182441,0.7989053314413136,0.0,0.5426403890796918,4933,2985,956,31378
9,2,0.7530940594059405,0.8043802887008462,0.0,0.5425517103726301,4018,2434,798,31378
7,2,0.7543668122270742,0.8019260231998249,0.0,0.5423245318507772,4569,2764,900,31378
10,2,0.750563970351273,0.8057647364320956,0.0,0.5419550090701378,3851,2329,774,31378
5,2,0.7599356765449116,0.7921747042766151,0.0,0.5416266819009492,5495,3308,1045,31378
3,2,0.7676545920234175,0.7807456077703185,0.0,0.5412855191404625,7001,4196,1270,31378
4,2,0.7617561381606326,0.7867081355377312,0.0,0.5407148959255724,6109,3661,1145,31378
8,3,0.7591766723842196,0.7775406775140037,0.0,0.536932872207889,3749,2213,702,31378
6,3,0.7608500448967375,0.7723069810448451,0.0,0.5360321122721485,4326,2542,799,31378
9,3,0.7557335274845286,0.7786281179138322,0.0,0.5358818463679611,3528,2076,671,31378
7,3,0.7578778135048232,0.775367738718524,0.0,0.5357614470174865,4011,2357,753,31378
5,3,0.7639228470524314,0.7646447860407146,0.0,0.534962574633187,4814,2812,869,31378
10,3,0.7505677517032551,0.7802717070289427,0.0,0.5343086127899848,3386,1983,659,31378
3,3,0.7713169885007594,0.7522441651705566,0.0,0.5342000449514708,6127,3555,1054,31378
4,3,0.7664035520473607,0.7581821582195624,0.0,0.534016068284813,5347,3107,947,31378
8,4,0.7483443708609272,0.7603672985781991,0.0,0.5274479379178306,3376,1921,646,31378
7,4,0.748714180749449,0.758006126427179,0.0,0.5268875102279332,3591,2038,684,31378
6,4,0.7508555783709788,0.7546487603305785,0.0,0.5267368594475651,3872,2194,728,31378
9,4,0.7449609214315097,0.7620689655172413,0.0,0.5266050582277764,3190,1811,620,31378
10,4,0.7428571428571429,0.7638436482084691,0.0,0.5262959516053979,3070,1742,603,31378
5,4,0.7544295927883121,0.7470970738504412,0.0,0.5259009592704572,4306,2427,790,31378
4,4,0.7558898665909736,0.7393494228751312,0.0,0.5241607734989288,4765,2663,860,31378
3,4,0.760705289672544,0.7303164091243561,0.0,0.5233770386063245,5436,3020,950,31378
8,6,0.7542745481191988,0.7310714285714286,0.0,0.5210312478191081,2800,1544,503,31378
9,6,0.7523171987641607,0.7336607480166226,0.0,0.521025103910651,2647,1461,481,31378
10,6,0.7498672331386086,0.7341130604288499,0.0,0.5201808113840984,2565,1412,471,31378
8,5,0.7440553393860787,0.7418216805644644,0.0,0.5201686399237708,3118,1721,592,31378
9,5,0.7407744874715262,0.744572591587517,0.0,0.5196815724648656,2948,1626,569,31378
7,6,0.753120665742025,0.727792732166891,0.0,0.5195860859468773,2972,1629,534,31378
10,5,0.7383309759547383,0.7468309859154929,0.0,0.5193816861565432,2840,1566,555,31378
7,5,0.7447852760736197,0.7382246376811594,0.0,0.5193815017337957,3312,1821,624,31378
6,6,0.7559292798620095,0.7224299065420561,0.0,0.5191006839074206,3210,1753,566,31378
6,5,0.7464735036218071,0.7337062937062937,0.0,0.518701289560611,3575,1958,665,31378
9,7,0.7538716814159292,0.7188866799204772,0.0,0.5172146765425149,2515,1363,445,31378
5,5,0.7489583333333333,0.7241639426703546,0.0,0.5168325161344397,3977,2157,723,31378
8,7,0.7535545023696683,0.7152542372881356,0.0,0.515998072134308,2655,1431,468,31378
5,6,0.7582938388625592,0.7086481947942905,0.0,0.5159119939833109,3573,1920,612,31378
10,7,0.7505707762557078,0.7189167008617152,0.0,0.5159033207607977,2437,1315,437,31378
4,5,0.7517527087316762,0.7146435891596448,0.0,0.5150941602405639,4391,2359,779,31378
7,7,0.7536231884057971,0.7110874200426439,0.0,0.5147755013751121,2814,1508,493,31378
6,7,0.7564523697794463,0.7030682942923128,0.0,0.5135014361994723,3031,1612,519,31378
4,6,0.7599126955256457,0.6971848846056302,0.0,0.5131205435919474,3943,2089,660,31378
3,5,0.7546099290780142,0.7034524047096388,0.0,0.5128796930440973,5011,2660,865,31378
9,8,0.7502951593860685,0.7076023391812866,0.0,0.5123987655088134,2394,1271,423,31378
3,6,0.7630898513251454,0.688014231710029,0.0,0.5116402100430669,4497,2361,733,31378
8,8,0.7509859154929578,0.7040856802856009,0.0,0.5116200702828634,2521,1333,442,31378
10,8,0.7480219111381619,0.7075796726959518,0.0,0.5114826662640503,2322,1229,414,31378
7,8,0.7513397642015005,0.700187617260788,0.0,0.5105921908588367,2665,1402,464,31378
5,7,0.7567917205692108,0.6885391923990499,0.0,0.5092784459473993,3368,1755,564,31378
6,8,0.7533970810266734,0.6925758103868944,0.0,0.5091315755267377,2869,1497,490,31378
4,7,0.7567567567567568,0.6783499595578323,0.0,0.5062076905700524,3709,1904,612,31378
5,8,0.7533549282739472,0.6780671477878883,0.0,0.5047621156459454,3187,1628,533,31378
3,7,0.7597448618001418,0.6677709417889257,0.0,0.5042292272567344,4226,2144,678,31378
4,8,0.7538527397260274,0.6662863662293211,0.0,0.5014270057592074,3506,1761,575,31378
3,8,0.7582249426166794,0.6561244979919679,0.0,0.5001273264442622,3984,1982,632,31378
