left_bars,right_bars,bounce_rate,interaction_rate,density_score,composite_score,total_levels,total_bounces,total_breaks,bars_tested
10,2,0.7320627802690582,0.8527724665391969,0.0,0.5486568520693824,1046,653,239,7851
8,2,0.7343283582089553,0.849535080304311,0.0,0.5485918673748754,1183,738,267,7851
9,2,0.7287066246056783,0.8513876454789615,0.0,0.5468989434859597,1117,693,258,7851
7,2,0.7349857006673022,0.8398718975180144,0.0,0.5459558495223251,1249,771,278,7851
5,2,0.7425742574257426,0.8284347231715653,0.0,0.5455601199217666,1463,900,312,7851
6,2,0.7381165919282511,0.8314690529455631,0.0,0.5446873526549694,1341,823,292,7851
4,2,0.749819233550253,0.8135294117647058,0.0,0.5439865169495129,1700,1037,346,7851
3,2,0.7542533081285444,0.8043588443993918,0.0,0.5430089765712354,1973,1197,390,7851
8,3,0.7424058323207776,0.817279046673287,0.0,0.5421460469302971,1007,611,212,7851
9,3,0.7390745501285347,0.8198103266596417,0.0,0.5415729180493064,949,575,203,7851
10,3,0.7377049180327869,0.8197088465845465,0.0,0.5409946211884787,893,540,192,7851
7,3,0.736046511627907,0.8082706766917294,0.0,0.5368998076586816,1064,633,227,7851
6,3,0.7368421052631579,0.7992988606485539,0.0,0.5345265002998293,1141,672,240,7851
5,3,0.7411883182275931,0.7924980047885076,0.0,0.5342247287275895,1253,736,257,7851
4,3,0.7427312775330397,0.7758031442241968,0.0,0.5298334542804749,1463,843,292,7851
3,3,0.7484709480122325,0.7671554252199414,0.0,0.5295350067708754,1705,979,329,7851
8,5,0.7190812720848057,0.7556742323097463,0.0,0.5143347785268462,749,407,159,7851
9,5,0.7182835820895522,0.7549295774647887,0.0,0.5137923060752575,710,385,151,7851
8,6,0.7297297297297297,0.7378917378917379,0.0,0.5132594132594133,702,378,140,7851
9,6,0.7276422764227642,0.7376311844077961,0.0,0.5123462658914445,667,358,134,7851
8,4,0.6911544227886057,0.7856301531213192,0.0,0.512150815051838,849,461,206,7851
10,5,0.7145669291338582,0.7537091988130564,0.0,0.5119395312974602,674,363,145,7851
10,6,0.7253218884120172,0.7350157728706624,0.0,0.5106334872260057,634,338,128,7851
9,4,0.6867088607594937,0.7850931677018633,0.0,0.5102114946143564,805,434,198,7851
10,4,0.6838602329450915,0.7876802096985583,0.0,0.509848156087604,763,411,190,7851
5,4,0.6983930778739185,0.768281101614435,0.0,0.5098415616338978,1053,565,244,7851
5,5,0.7157287157287158,0.7451612903225806,0.0,0.5098398733882605,930,496,197,7851
7,5,0.714527027027027,0.7465321563682219,0.0,0.5097704577212774,793,423,169,7851
5,6,0.7281399046104928,0.7280092592592593,0.0,0.5096587396219749,864,458,171,7851
7,6,0.7232472324723247,0.7304582210242587,0.0,0.5084363592962076,742,392,150,7851
6,5,0.7133757961783439,0.7405660377358491,0.0,0.5075201297920923,848,448,180,7851
7,4,0.6863309352517986,0.776536312849162,0.0,0.507493267955468,895,477,218,7851
6,6,0.7255244755244755,0.7231352718078382,0.0,0.5071503717521417,791,415,157,7851
8,7,0.7265135699373695,0.7213855421686747,0.0,0.5070210906255502,664,348,131,7851
4,4,0.7024070021881839,0.7535037098103875,0.0,0.5070139138183898,1213,642,272,7851
3,4,0.7149712092130518,0.7353563867325336,0.0,0.5065953997049808,1417,745,297,7851
6,4,0.6906377204884667,0.7677083333333333,0.0,0.5065675881953866,960,509,228,7851
9,7,0.7236842105263158,0.7215189873417721,0.0,0.505929380413058,632,330,126,7851
8,8,0.7266811279826464,0.7158385093167702,0.0,0.5054240039880896,644,335,126,7851
9,8,0.726027397260274,0.7156862745098039,0.0,0.5051168412570508,612,318,120,7851
10,7,0.7192575406032483,0.7183333333333334,0.0,0.5032030162412994,600,310,121,7851
10,8,0.7215496368038741,0.7120689655172414,0.0,0.502240544376722,580,298,115,7851
4,5,0.7142857142857143,0.7216494845360825,0.0,0.5022091310751104,1067,550,220,7851
4,6,0.727403156384505,0.7033299697275479,0.0,0.5019602534720664,991,507,190,7851
7,7,0.716566866267465,0.7136752136752137,0.0,0.5007293106095501,702,359,142,7851
3,6,0.7367758186397985,0.6850733390854185,0.0,0.5002323291815449,1159,585,209,7851
5,7,0.7189655172413794,0.7073170731707317,0.0,0.49978132884777127,820,417,163,7851
7,8,0.7202505219206681,0.7054491899852725,0.0,0.499734965763849,679,345,134,7851
6,7,0.718336483931947,0.7043941411451398,0.0,0.4986528359163208,751,380,149,7851
3,5,0.720504009163803,0.6984,0.0,0.4977216036655212,1250,629,244,7851
6,8,0.7222222222222222,0.6942148760330579,0.0,0.49715335169880626,726,364,140,7851
5,8,0.7194899817850637,0.6940581542351454,0.0,0.4960134389845691,791,395,154,7851
3,7,0.7305061559507524,0.6657559198542805,0.0,0.4919292383365851,1098,534,197,7851
4,7,0.7169517884914464,0.6833156216790648,0.0,0.491775401900298,941,461,182,7851
4,8,0.7194719471947195,0.6681367144432194,0.0,0.4882297932108537,907,436,170,7851
3,8,0.7307132459970888,0.6505681818181818,0.0,0.48745575294429,1056,502,185,7851
