left_bars,right_bars,bounce_rate,interaction_rate,density_score,composite_score,total_levels,total_bounces,total_breaks,bars_tested
10,2,0.7480577136514983,0.8460093896713615,0.0,0.5530259023620078,1065,674,227,7851
9,2,0.7484143763213531,0.8446428571428571,0.0,0.5527586076713984,1120,708,238,7851
8,2,0.7450787401574803,0.8396694214876033,0.0,0.5499323225092732,1210,757,259,7851
5,2,0.7495934959349594,0.8271687962340283,0.0,0.5479880372441922,1487,922,308,7851
7,2,0.7444237918215614,0.8328173374613003,0.0,0.5476147179670147,1292,801,275,7851
4,2,0.7538015930485156,0.8176435760805211,0.0,0.5468137100435626,1689,1041,340,7851
6,2,0.7436347673397717,0.8301749271137027,0.0,0.5465063850700196,1372,847,292,7851
3,2,0.7560339204174821,0.8111111111111111,0.0,0.5457469015003261,1890,1159,374,7851
10,3,0.7483266398929049,0.8155021834061136,0.0,0.543981310978996,916,559,188,7851
9,3,0.7477592829705506,0.8126951092611863,0.0,0.5429122459665762,961,584,197,7851
8,3,0.7434052757793765,0.8073572120038722,0.0,0.5395692739129123,1033,620,214,7851
5,3,0.7423494570582428,0.7963836477987422,0.0,0.5358548771629198,1272,752,261,7851
7,3,0.7389830508474576,0.7987364620938628,0.0,0.5352141589671419,1108,654,231,7851
4,3,0.746268656716418,0.7871458189357291,0.0,0.5346512083672859,1447,850,289,7851
3,3,0.7494071146245059,0.7818294190358467,0.0,0.5343116715605564,1618,948,317,7851
6,3,0.7371244635193133,0.7952218430034129,0.0,0.5334163383087491,1172,687,245,7851
10,6,0.7449799196787149,0.7488721804511278,0.0,0.5226536220068243,665,371,127,7851
10,4,0.7140549273021002,0.7805800756620429,0.0,0.519795993619453,793,442,177,7851
10,5,0.7308411214953271,0.7577903682719547,0.0,0.5196735590797172,706,391,144,7851
9,6,0.7408123791102514,0.7438848920863309,0.0,0.5194904192699998,695,383,134,7851
9,4,0.7109737248840804,0.7776442307692307,0.0,0.5176827591844013,832,460,187,7851
10,7,0.7376344086021506,0.739268680445151,0.0,0.5168343675744056,629,343,122,7851
9,5,0.7245080500894454,0.7543859649122807,0.0,0.5161190095094623,741,405,154,7851
5,6,0.7433489827856025,0.7236693091732729,0.0,0.5144403858662229,883,475,164,7851
9,7,0.7365145228215768,0.7325227963525835,0.0,0.5143626480344058,658,355,127,7851
8,6,0.7343173431734318,0.7354138398914518,0.0,0.5143510892368083,737,398,144,7851
4,6,0.7454289732770746,0.716012084592145,0.0,0.5129752146884733,993,530,181,7851
4,4,0.7121046892039259,0.7553542009884678,0.0,0.5114481359781107,1214,653,264,7851
8,4,0.7007299270072993,0.7679372197309418,0.0,0.5106731367222023,892,480,205,7851
6,6,0.7312186978297162,0.7260606060606061,0.0,0.5103056609500684,825,438,161,7851
5,4,0.7045177045177046,0.7611524163568774,0.0,0.5101528067141451,1076,577,242,7851
7,6,0.7307692307692307,0.7258883248730964,0.0,0.5100741897696213,788,418,154,7851
10,8,0.7295454545454545,0.7272727272727273,0.0,0.51,605,321,119,7851
5,5,0.721030042918455,0.7357894736842105,0.0,0.5091488592726452,950,504,195,7851
4,5,0.7259923175416133,0.727865796831314,0.0,0.5087566660660395,1073,567,214,7851
8,5,0.7111486486486487,0.7474747474747475,0.0,0.5087018837018837,792,421,171,7851
5,7,0.7389830508474576,0.7082833133253301,0.0,0.5080782143365821,833,436,154,7851
9,8,0.7286652078774617,0.7208201892744479,0.0,0.5077121399333191,634,333,124,7851
8,7,0.7276341948310139,0.7216642754662841,0.0,0.5075529605722908,697,366,137,7851
4,7,0.7397881996974282,0.7024442082890542,0.0,0.5066485423656875,941,489,172,7851
3,4,0.712,0.7380073800738007,0.0,0.5062022140221403,1355,712,288,7851
6,4,0.695137976346912,0.7602397602397603,0.0,0.5061271186106928,1001,529,232,7851
7,4,0.6952908587257618,0.76,0.0,0.5061163434903047,950,502,220,7851
6,5,0.7088414634146342,0.7387387387387387,0.0,0.5051582069874753,888,465,191,7851
7,5,0.7083333333333334,0.7384615384615385,0.0,0.5048717948717949,845,442,182,7851
6,7,0.72875226039783,0.7107969151670951,0.0,0.5047399787092606,778,403,150,7851
7,7,0.725897920604915,0.7119784656796769,0.0,0.5039527079458691,743,384,145,7851
3,6,0.743421052631579,0.6884057971014492,0.0,0.5038901601830663,1104,565,195,7851
8,8,0.7211740041928721,0.7119402985074627,0.0,0.5020516912293876,670,344,133,7851
3,5,0.7265160523186682,0.7043551088777219,0.0,0.5019129535907838,1194,611,230,7851
5,8,0.730072463768116,0.6917293233082706,0.0,0.49954778249972753,798,403,149,7851
3,7,0.7407407407407407,0.675,0.0,0.4987962962962963,1040,520,182,7851
4,8,0.7287581699346405,0.6830357142857143,0.0,0.4964139822595705,896,446,166,7851
7,8,0.716,0.6993006993006993,0.0,0.4961902097902098,715,358,142,7851
6,8,0.7186897880539499,0.6957104557640751,0.0,0.49618905195080243,746,373,146,7851
3,8,0.7283950617283951,0.6545454545454545,0.0,0.48772166105499437,990,472,176,7851
