left_bars,right_bars,bounce_rate,interaction_rate,density_score,composite_score,total_levels,total_bounces,total_breaks,bars_tested
10,2,0.689720511605874,0.8354440398923539,0.0,0.5265214166100558,12634,7280,3275,110527
9,2,0.6902686674454129,0.8345706786651669,0.0,0.5264786705777152,13335,7682,3447,110527
8,2,0.6897401053167997,0.8336755646817249,0.0,0.5259987115312375,14123,8121,3653,110527
7,2,0.6893854748603352,0.8318396069840005,0.0,0.5253060720393342,15063,8638,3892,110527
6,2,0.6892907643075091,0.8309833024118738,0.0,0.5250112964465657,16170,9262,4175,110527
5,2,0.6905526333765968,0.8290762870249759,0.0,0.5249439394581314,17657,10109,4530,110527
4,2,0.6906727451946771,0.8261400651465798,0.0,0.5241111176218448,19648,11211,5021,110527
3,2,0.6924826689774697,0.8205128205128205,0.0,0.523146913744834,22503,12786,5678,110527
9,3,0.6944291836061971,0.8030530309714992,0.0,0.5186875827339286,11333,6320,2781,110527
8,3,0.6946985446985448,0.8020677005169251,0.0,0.5184997280344954,11994,6683,2937,110527
10,3,0.6929672112153864,0.8036312849162012,0.0,0.518276269961015,10740,5981,2650,110527
7,3,0.6947080113469627,0.7997965889532155,0.0,0.5178221812247497,12782,7102,3121,110527
6,3,0.6941982640475103,0.7985553772070626,0.0,0.5172459187811229,13706,7598,3347,110527
5,3,0.6950020999580009,0.7960548311601471,0.0,0.5168172893312445,14955,8274,3631,110527
4,3,0.6941016127811009,0.7931655756411027,0.0,0.5155903178047712,16651,9167,4040,110527
3,3,0.6960881981802484,0.7894819630872483,0.0,0.5152798681982739,19072,10481,4576,110527
9,4,0.6991607488702388,0.7739582292395323,0.0,0.5118517683199552,10007,5415,2330,110527
10,4,0.6986917416189697,0.7742956631845521,0.0,0.5117653956029535,9477,5127,2211,110527
8,4,0.6981178196040088,0.7727616169248206,0.0,0.5110756129190497,10588,5712,2470,110527
7,4,0.6979718829223324,0.7702822652227942,0.0,0.5102734327357712,11266,6057,2621,110527
6,4,0.6980299278716762,0.7693390756998509,0.0,0.5100136938586257,12074,6484,2805,110527
5,4,0.6984174085064293,0.7674206770912403,0.0,0.5095931665299438,13174,7061,3049,110527
4,4,0.6966672607378364,0.7658499965877295,0.0,0.5084219032714534,14653,7818,3404,110527
3,4,0.6975483262611976,0.7581769436997319,0.0,0.5064724136143985,16785,8877,3849,110527
9,5,0.6976472307467485,0.7518953961103175,0.0,0.5046275111317946,9101,4774,2069,110527
10,5,0.6968109690340472,0.752143684820394,0.0,0.504367493059737,8630,4523,1968,110527
8,5,0.6967224450283501,0.7511946810720964,0.0,0.504047382332969,9626,5038,2193,110527
7,5,0.6970250521920668,0.7486568330565595,0.0,0.5034070707937945,10237,5342,2322,110527
6,5,0.6973989498107217,0.7479905005480453,0.0,0.5033567300887023,10948,5711,2478,110527
5,5,0.6982401076112543,0.7463398310047686,0.0,0.5031979923459323,11953,6229,2692,110527
4,5,0.6984271943176052,0.7426525998492841,0.0,0.5021666576818273,13270,6883,2972,110527
3,5,0.7015810276679841,0.734494589601478,0.0,0.500980787947637,15156,7810,3322,110527
9,6,0.6973514211886305,0.7333886059457538,0.0,0.4989571502591783,8443,4318,1874,110527
10,6,0.6964285714285714,0.7339907627012857,0.0,0.4987686573818143,8011,4095,1785,110527
8,6,0.6968955497782535,0.7326610644257703,0.0,0.4985565392390325,8925,4557,1982,110527
6,6,0.6982152514872905,0.7296044194534872,0.0,0.49816742643096235,10137,5164,2232,110527
7,6,0.6968953068592058,0.7297923911897987,0.0,0.49769584010062196,9489,4826,2099,110527
5,6,0.6992658952345403,0.7260818502123046,0.0,0.4975309131575075,11069,5620,2417,110527
4,6,0.6989599819127289,0.7209453952730236,0.0,0.49586761134699864,12270,6183,2663,110527
3,6,0.702328382175833,0.711104767342278,0.0,0.49426278307301663,14012,6998,2966,110527
9,7,0.6976620616365569,0.7156800608442134,0.0,0.49376884290788675,7889,3939,1707,110527
10,7,0.6957573502046892,0.7169156883671292,0.0,0.49337764659201444,7496,3739,1635,110527
6,7,0.6997621878715814,0.7111299017017229,0.0,0.49324384565914936,9461,4708,2020,110527
8,7,0.69592213458634,0.7151086043441738,0.0,0.49290143513778817,8333,4147,1812,110527
7,7,0.6970513633481293,0.7122050355650897,0.0,0.4924820560087787,8857,4397,1911,110527
5,7,0.6989453499520614,0.7063660990712074,0.0,0.4914879697021868,10336,5103,2198,110527
4,7,0.6996007984031936,0.7003931847968545,0.0,0.4899582748003338,11445,5608,2408,110527
9,8,0.6962314427103159,0.7018434410900347,0.0,0.48904560941113684,7486,3658,1596,110527
3,7,0.7037201554691838,0.6897212009803921,0.0,0.48840442248179117,13056,6337,2668,110527
10,8,0.6935225909636146,0.7029229904440697,0.0,0.4882859335186668,7116,3469,1533,110527
8,8,0.6944896115627823,0.701254275940707,0.0,0.488172127407325,7893,3844,1691,110527
6,8,0.6970767748152907,0.6947110020084802,0.0,0.4872440105286604,8962,4340,1886,110527
7,8,0.6948196272867156,0.6965582946290342,0.0,0.48689533930339646,8397,4064,1785,110527
5,8,0.6980683506686478,0.688561489666462,0.0,0.4857957871673978,9774,4698,2032,110527
4,8,0.6974040021633315,0.6830439601034355,0.0,0.48387478889636326,10828,5158,2238,110527
3,8,0.7025919228450874,0.6727493917274939,0.0,0.4828615866562832,12330,5828,2467,110527
