left_bars,right_bars,bounce_rate,interaction_rate,density_score,composite_score,total_levels,total_bounces,total_breaks,bars_tested
7,2,0.7596606974552309,0.8434022257551669,0.0,0.5568849467086425,1258,806,255,7866
10,2,0.7558790593505039,0.8448438978240302,0.0,0.5558047930874106,1057,675,218,7866
6,2,0.7589285714285714,0.8402100525131283,0.0,0.5556344443253671,1333,850,270,7866
8,2,0.7560240963855421,0.8433530906011855,0.0,0.5554155657345725,1181,753,243,7866
9,2,0.7529162248144221,0.8442256042972247,0.0,0.5544341712149363,1117,710,233,7866
5,2,0.7552039966694422,0.8328710124826629,0.0,0.5519429024125757,1442,907,294,7866
4,2,0.7578409919766593,0.8239182692307693,0.0,0.5503118775598945,1664,1039,332,7866
3,2,0.7596091205211727,0.8204168893639765,0.0,0.549968715017662,1871,1166,369,7866
6,3,0.7234726688102894,0.8084922010398613,0.0,0.5319367278360742,1154,675,258,7866
7,3,0.7184684684684685,0.810958904109589,0.0,0.5306750586202641,1095,638,250,7866
8,3,0.7168458781362007,0.8126213592233009,0.0,0.5305247590214706,1030,600,237,7866
5,3,0.7256281407035176,0.7998392282958199,0.0,0.530203024770153,1244,722,273,7866
10,3,0.71334214002642,0.8157327586206896,0.0,0.5300566835967748,928,540,217,7866
3,3,0.7348544453186467,0.7850525015441631,0.0,0.5294575285907076,1619,934,337,7866
4,3,0.7283950617283951,0.7896935933147632,0.0,0.528266102685787,1436,826,308,7866
9,3,0.7097989949748744,0.8130745658835546,0.0,0.5278419677550161,979,565,231,7866
8,4,0.7016011644832606,0.7860411899313501,0.0,0.5164528227727092,874,482,205,7866
6,4,0.7063492063492064,0.7761806981519507,0.0,0.5153938919852677,974,534,222,7866
10,4,0.6976,0.7871536523929471,0.0,0.5151860957178841,794,436,189,7866
7,4,0.7012448132780082,0.7807775377969762,0.0,0.5147311866502962,926,507,216,7866
5,4,0.7077114427860697,0.768642447418738,0.0,0.5136773113400492,1046,569,235,7866
9,4,0.6940639269406392,0.7858851674641149,0.0,0.5133911210154902,836,456,201,7866
3,4,0.7199211045364892,0.743947175348496,0.0,0.5111525944191445,1363,730,284,7866
8,6,0.7111913357400722,0.7547683923705722,0.0,0.5109070520072005,734,394,160,7866
4,4,0.7094298245614035,0.7568464730290456,0.0,0.5108258717332751,1205,647,265,7866
8,5,0.7028380634390651,0.7650063856960408,0.0,0.5106371410844383,783,421,178,7866
10,6,0.7094861660079052,0.755223880597015,0.0,0.5103616305822666,670,359,147,7866
10,5,0.7009174311926606,0.7654494382022472,0.0,0.5100018039377384,712,382,163,7866
6,5,0.7071320182094082,0.7557339449541285,0.0,0.5095729907700018,872,466,193,7866
9,5,0.6980802792321117,0.766042780748663,0.0,0.5090449459174435,748,400,173,7866
3,5,0.7276887871853547,0.725311203319502,0.0,0.5086688758699925,1205,636,238,7866
5,5,0.7089871611982882,0.7473347547974414,0.0,0.5077952909185477,938,497,204,7866
7,5,0.7006369426751592,0.7584541062801933,0.0,0.5077910089541217,828,440,188,7866
6,6,0.7098360655737705,0.7448107448107448,0.0,0.5073776496727317,819,433,177,7866
9,6,0.7018867924528301,0.7549857549857549,0.0,0.5072504434768585,702,372,158,7866
4,5,0.7159235668789808,0.7343311506080449,0.0,0.5066687719340057,1069,562,223,7866
7,6,0.7056798623063684,0.7477477477477478,0.0,0.5065962692468717,777,410,171,7866
5,6,0.7149532710280374,0.7320410490307868,0.0,0.505593623120451,877,459,183,7866
3,6,0.732824427480916,0.7068345323741008,0.0,0.5051801307045967,1112,576,210,7866
4,6,0.7211267605633803,0.7171717171717171,0.0,0.5036022193768672,990,512,198,7866
8,7,0.6963249516441006,0.7438848920863309,0.0,0.5016954482835395,695,360,157,7866
10,7,0.6947368421052632,0.7456828885400314,0.0,0.5015996034041147,637,330,145,7866
9,7,0.6895161290322581,0.7447447447447447,0.0,0.49922987503632665,666,342,154,7866
6,7,0.6962699822380106,0.7292746113989638,0.0,0.49729037631489337,772,392,171,7866
7,7,0.6920222634508348,0.7343324250681199,0.0,0.4971086329007699,734,373,166,7866
5,7,0.702020202020202,0.7165259348612787,0.0,0.4957658612664644,829,417,177,7866
3,7,0.7203856749311295,0.6894586894586895,0.0,0.49499187681005863,1053,523,203,7866
4,7,0.7110091743119266,0.6994652406417112,0.0,0.494243241917284,935,465,189,7866
10,8,0.6782407407407407,0.7260504201680672,0.0,0.48911142234671645,595,293,139,7866
8,8,0.6772823779193206,0.7235023041474654,0.0,0.4879636424119679,651,319,152,7866
9,8,0.6674057649667405,0.723916532905297,0.0,0.4841372658582853,623,301,150,7866
6,8,0.677734375,0.7081604426002767,0.0,0.48354188278008303,723,347,165,7866
7,8,0.6721311475409836,0.7113702623906706,0.0,0.4822635377335946,686,328,160,7866
3,8,0.7051671732522796,0.6646464646464646,0.0,0.4814608086948512,990,464,194,7866
4,8,0.695142378559464,0.6768707482993197,0.0,0.4811181759135815,882,415,182,7866
5,8,0.6814814814814815,0.693196405648267,0.0,0.4805515142870727,779,368,172,7866
