left_bars,right_bars,bounce_rate,interaction_rate,density_score,composite_score,total_levels,total_bounces,total_breaks,bars_tested
10,2,0.7336881319850984,0.8180235089246843,0.0,0.5388823054714447,11485,6893,2502,92732
8,2,0.7357727491574386,0.8138076953216833,0.0,0.5384514082594805,12761,7641,2744,92732
5,2,0.7418105784867962,0.8056023457483311,0.0,0.5384049351192178,16029,9579,3334,92732
9,2,0.7334351145038168,0.8163689239717491,0.0,0.5382847229930514,12035,7206,2619,92732
7,2,0.7359565807327001,0.811972089607051,0.0,0.5379742591751954,13615,8136,2919,92732
6,2,0.7383951974296102,0.8086284698482155,0.0,0.5379466199263088,14626,8733,3094,92732
4,2,0.7422840596087295,0.801074964639321,0.0,0.5372361132352881,17675,10510,3649,92732
3,2,0.7413836320340895,0.7953152255170696,0.0,0.5351480204687566,20065,11831,4127,92732
8,3,0.7407625323605554,0.7842377260981912,0.0,0.5315763307736795,10836,6295,2203,92732
10,3,0.7378817413905133,0.7878570697245828,0.0,0.5315098174735802,9767,5678,2017,92732
7,3,0.7406505864129233,0.7824430785213401,0.0,0.5309931581215713,11551,6694,2344,92732
9,3,0.737639751552795,0.7862863840593866,0.0,0.530941815838934,10238,5938,2112,92732
5,3,0.7457498337923829,0.7752742802444592,0.0,0.530882217590291,13581,7852,2677,92732
6,3,0.742239238410596,0.7789151285564601,0.0,0.5305702339311764,12407,7173,2491,92732
4,3,0.7476578764746704,0.7704852292474268,0.0,0.5302087193640962,14962,8619,2909,92732
3,3,0.7487452706354721,0.7651542006380716,0.0,0.5290443684456103,16926,9697,3254,92732
8,4,0.7384087791495199,0.7574025974025974,0.0,0.5225842908805871,9625,5383,1907,92732
10,4,0.7346351801392673,0.7621135209967698,0.0,0.5224881283547379,8668,4853,1753,92732
5,4,0.7441912173429683,0.7490839440373085,0.0,0.5224016701483799,12008,6694,2301,92732
7,4,0.7384178603690799,0.7565166455140095,0.0,0.5223221378018348,10243,5722,2027,92732
6,4,0.7410315255465636,0.7527732314966358,0.0,0.5222445796676162,10998,6135,2144,92732
9,4,0.734749927724776,0.7606377130291369,0.0,0.5220912849986514,9095,5083,1835,92732
4,4,0.7455284552845528,0.7437079585821178,0.0,0.5213237696884565,13231,7336,2504,92732
3,4,0.7481312670920692,0.7335339351387495,0.0,0.5193126873784526,14955,8207,2763,92732
10,5,0.7398735258930097,0.7402580971659919,0.0,0.5180268395070015,7904,4329,1522,92732
7,5,0.7427191570320504,0.7337843642611683,0.0,0.5172229720911706,9312,5075,1758,92732
9,5,0.7386122448979592,0.7386637723106608,0.0,0.5170440296523819,8292,4524,1601,92732
8,5,0.7415346380863622,0.734679904142417,0.0,0.51701782647727,8763,4774,1664,92732
6,5,0.7440712816997944,0.7296459291858371,0.0,0.516522291435669,9998,5428,1867,92732
5,5,0.7466818354190368,0.7253805244819366,0.0,0.5162868915121956,10906,5907,2004,92732
4,5,0.7493029739776952,0.7176921794230449,0.0,0.5150288434179915,11994,6450,2158,92732
3,5,0.7504445141721577,0.7059214412285884,0.0,0.5119542380374396,13544,7175,2386,92732
10,6,0.7318689642113236,0.722731627206788,0.0,0.5095670738465659,7307,3865,1416,92732
9,6,0.7298226565327542,0.7209393346379648,0.0,0.5082108630044911,7665,4033,1493,92732
8,6,0.7322413793103448,0.7169344870210136,0.0,0.507976897830442,8090,4247,1553,92732
7,6,0.7327263859535035,0.715731905980917,0.0,0.5078101261756764,8594,4507,1644,92732
6,6,0.7352581729300336,0.7109807754969045,0.0,0.5073975018210848,9207,4813,1733,92732
5,6,0.7394565525049533,0.7046973172434428,0.0,0.5071918161750142,10027,5225,1841,92732
4,6,0.7417503586800573,0.6955456772203574,0.0,0.5053638466381302,11023,5687,1980,92732
10,7,0.7322019867549668,0.704167881084232,0.0,0.5041311590272564,6862,3538,1294,92732
3,6,0.744317512660464,0.6839858224585146,0.0,0.50292275180174,12414,6320,2171,92732
9,7,0.7300832342449465,0.7020033388981636,0.0,0.5026342953674277,7188,3684,1362,92732
8,7,0.7323013026241268,0.6981679188084882,0.0,0.5023708966921973,7587,3879,1418,92732
7,7,0.732583065380493,0.6961820669071012,0.0,0.5018878462243276,8041,4101,1497,92732
6,7,0.7354079058031959,0.690155560715115,0.0,0.5012098305358128,8614,4372,1573,92732
5,7,0.739164328032429,0.6832853946947907,0.0,0.5006513496214088,9387,4741,1673,92732
10,8,0.7324854975457386,0.6882678132678133,0.0,0.4994745429986394,6512,3283,1199,92732
4,7,0.7415358017576718,0.6732298739088264,0.0,0.4985832828757166,10310,5147,1794,92732
9,8,0.7298973481608212,0.6859322282528971,0.0,0.4977386077401976,6817,3413,1263,92732
8,8,0.7320408163265306,0.6816917084028937,0.0,0.49732383905148037,7188,3587,1313,92732
7,8,0.7323398490419973,0.6785292186474065,0.0,0.49649470521102085,7615,3784,1383,92732
3,7,0.7439707991135445,0.6610651499482937,0.0,0.4959078646299059,11604,5707,1964,92732
6,8,0.7348540145985402,0.6715686274509803,0.0,0.49541219407471015,8160,4027,1453,92732
5,8,0.7395285738511107,0.6646004733461062,0.0,0.4951915715442762,8873,4361,1536,92732
4,8,0.7408047783715813,0.6541902313624679,0.0,0.49257898075737294,9725,4713,1649,92732
3,8,0.743509272467903,0.6417063346759428,0.0,0.48991560938994405,10924,5212,1798,92732
