left_bars,right_bars,bounce_rate,interaction_rate,density_score,composite_score,total_levels,total_bounces,total_breaks,bars_tested
5,2,0.7199641156579946,0.8230716801090537,0.0,0.534907150295914,17606,10433,4058,113856
3,2,0.7249578323086131,0.8161552466805808,0.0,0.5348297069276194,22519,13324,5055,113856
4,2,0.721897174156604,0.8200704405083967,0.0,0.5347800018151606,19591,11598,4468,113856
7,2,0.7172988881621976,0.8257611557415784,0.0,0.5346479019873526,14813,8774,3458,113856
6,2,0.7170680153997131,0.8251526099414476,0.0,0.5343729891423196,16054,9499,3748,113856
8,2,0.7149965083798883,0.8270285879295408,0.0,0.5341071797308176,13852,8191,3265,113856
10,2,0.7152805021577089,0.8261221844109544,0.0,0.5339488561863699,12342,7293,2903,113856
9,2,0.7148408586232421,0.826362871779188,0.0,0.5338452049830532,13079,7726,3082,113856
6,3,0.7216972392069668,0.7903639159405433,0.0,0.5257880704649498,13657,7790,3004,113856
5,3,0.7225321162947937,0.7891156462585034,0.0,0.5257475403954686,14994,8549,3283,113856
8,3,0.7203689799420787,0.7919639823309548,0.0,0.5257367866761179,11772,6716,2607,113856
7,3,0.7212291624824262,0.7906939812609179,0.0,0.5256998593712459,12594,7182,2776,113856
3,3,0.7260045387798691,0.7827995193061289,0.0,0.5252416713037863,19139,10877,4105,113856
9,3,0.7191087870865067,0.7910259868716842,0.0,0.5249513108961079,11121,6326,2471,113856
4,3,0.7223791708024738,0.7858514340573622,0.0,0.5247070985381982,16666,9461,3636,113856
10,3,0.7178562845469839,0.7911398421903223,0.0,0.5244844664758903,10519,5974,2348,113856
5,4,0.7175241474472699,0.7605697151424288,0.0,0.5151805735216366,13340,7280,2866,113856
6,4,0.7147005054306915,0.7630261754328382,0.0,0.5147880548021281,12187,6646,2653,113856
3,4,0.7238378929215332,0.7506325389820535,0.0,0.5147249188632294,16995,9234,3523,113856
4,4,0.7190008920606601,0.7569721115537849,0.0,0.5146919902903995,14809,8060,3150,113856
7,4,0.7133193375320737,0.7626078448812594,0.0,0.5141100884772073,11243,6116,2458,113856
8,4,0.7123287671232876,0.7638888888888888,0.0,0.5140981735159817,10512,5720,2310,113856
9,4,0.712079207920792,0.7626862666129682,0.0,0.5136375631522072,9932,5394,2181,113856
10,4,0.7103025233514568,0.762760527435134,0.0,0.512949167571123,9404,5095,2078,113856
5,5,0.7202507556252099,0.7364385820280297,0.0,0.5090318768584929,12130,6434,2499,113856
6,5,0.7175665770828243,0.7389420473009568,0.0,0.5087092450234167,11078,5874,2312,113856
4,5,0.7231805654792284,0.7297579143389199,0.0,0.5081996004933673,13425,7085,2712,113856
7,5,0.7157615894039735,0.7386030131089806,0.0,0.5078855396942836,10222,5404,2146,113856
8,5,0.7142857142857143,0.7395397489539749,0.0,0.5075762104004782,9560,5050,2020,113856
3,5,0.7274202271498107,0.7212326095436224,0.0,0.507337873723011,15382,8070,3024,113856
9,5,0.7135377711293942,0.7391640866873065,0.0,0.5071643344579496,9044,4770,1915,113856
10,5,0.7117330803289058,0.7390440574967863,0.0,0.5064064493805982,8557,4501,1823,113856
5,6,0.7189101362329708,0.7124031697978809,0.0,0.5012850054325526,11231,5752,2249,113856
6,6,0.715294756859549,0.7168451801363194,0.0,0.5011714567847154,10270,5266,2096,113856
7,6,0.714811542991755,0.7166068790884152,0.0,0.5009066809232265,9478,4855,1937,113856
8,6,0.713409841219934,0.7177028094324721,0.0,0.5006747793177152,8863,4538,1823,113856
9,6,0.7123629112662014,0.7171115347950429,0.0,0.5000786249449934,8392,4287,1731,113856
4,6,0.7201232735989043,0.7050539192016739,0.0,0.49956548520006383,12426,6309,2452,113856
10,6,0.7110994028802248,0.7167673716012085,0.0,0.49946997263245246,7944,4049,1645,113856
3,6,0.725866774487011,0.6963468712606462,0.0,0.4992507711729983,14207,7181,2712,113856
6,7,0.7157847399190527,0.6963465553235908,0.0,0.49521786256469835,9580,4775,1896,113856
5,7,0.7191866094895559,0.6901193317422435,0.0,0.4947104433184954,10475,5199,2030,113856
7,7,0.7142161635832522,0.6961138725711704,0.0,0.494520627204652,8852,4401,1761,113856
9,7,0.7131868131868132,0.6966951639658032,0.0,0.4942832744644663,7837,3894,1566,113856
8,7,0.7123287671232876,0.6971711798839458,0.0,0.4940828608144988,8272,4108,1659,113856
10,7,0.7114639814097599,0.6961445133459153,0.0,0.49342894656767855,7418,3674,1490,113856
4,7,0.7206774519716885,0.6829520932239965,0.0,0.49315660875587436,11585,5702,2210,113856
3,7,0.7269058295964126,0.6735125339776502,0.0,0.49281609203186005,13244,6484,2436,113856
6,8,0.719206166967361,0.6753433761630483,0.0,0.4902854796358589,9028,4385,1712,113856
9,8,0.715506958250497,0.6793625067531064,0.0,0.49001153532613073,7404,3599,1431,113856
5,8,0.723198061780739,0.6690982776089159,0.0,0.4900087079949704,9870,4776,1828,113856
8,8,0.7150669432396757,0.6793492185498334,0.0,0.4898315428608203,7806,3792,1511,113856
7,8,0.7169911504424779,0.6764036872979767,0.0,0.4897175663663842,8353,4051,1599,113856
10,8,0.7145259617405928,0.6784084426697091,0.0,0.4893329174971499,7012,3399,1358,113856
4,8,0.7243145942952091,0.6614764608902729,0.0,0.4881687759851655,10918,5231,1991,113856
3,8,0.728946722317702,0.6525152194809356,0.0,0.48733325477136147,12484,5938,2208,113856
