symbol,timeframe,atr_length,factor,flip_accuracy,whipsaw_rate,avg_trend_duration,bounce_win_rate,total_flips,total_bounces,bars_tested,composite_score
AMZN,15min,14,3.0,0.7674934799068959,0.09467455621301775,36.99526066350711,1.0,845,1,31250,0.8388957213465927
AMZN,15min,16,3.5,0.7805282024704155,0.07048458149779736,45.919117647058826,0.3333333333333333,681,1,31250,0.7962872380644279
AMZN,15min,20,2.5,0.7695118076882347,0.12300469483568074,29.289473684210527,1.0,1065,1,31250,0.7921232653379364
AMZN,15min,16,3.0,0.7683672121246437,0.09988109393579073,37.17142857142857,0.6666666666666666,841,1,31250,0.7888234248227418
AMZN,15min,8,2.5,0.7749338040600177,0.11562224183583407,27.57685512367491,1.0,1133,1,31250,0.7868884528087338
AMZN,15min,20,2.2,0.7684920822331466,0.15647339158061954,24.772655007949126,1.0,1259,1,31250,0.7597204992988128
AMZN,15min,20,3.5,0.7797924946056739,0.06125574272588055,47.688650306748464,0.0,653,0,31250,0.7576134374305157
AMZN,15min,18,3.5,0.7794461174529808,0.06564885496183206,47.542813455657495,0.0,655,0,31250,0.7556294013742014
AMZN,15min,14,3.5,0.7751608025202179,0.06986899563318777,45.51749271137026,0.0,687,0,31250,0.7424570910852627
AMZN,15min,12,3.5,0.7769746593276006,0.07692307692307693,43.73249299719888,0.0,715,0,31250,0.7319708496998261
AMZN,15min,8,3.5,0.7679568003922045,0.06675567423230974,41.74465240641711,0.0,749,0,31250,0.7209355184648594
AMZN,15min,20,1.8,0.7809092163844163,0.22001243008079552,19.387437810945272,1.0,1609,1,31250,0.7199506105497304
AMZN,15min,18,1.8,0.7790347684494434,0.22393584207279457,19.243827160493826,1.0,1621,1,31250,0.7175608452757094
AMZN,15min,10,3.5,0.7712383488681759,0.08255659121171771,41.63333333333333,0.0,751,0,31250,0.7175502590349023
AMZN,15min,10,1.8,0.7839272694554095,0.19500304692260817,19.041463414634148,0.7777777777777777,1641,3,31250,0.692112227027718
AMZN,15min,18,3.0,0.7659794412306266,0.1022864019253911,37.46024096385542,0.0,831,0,31250,0.6889004300487647
AMZN,15min,14,1.5,0.7876004066479934,0.27290543851053406,15.306862745098039,1.0,2041,1,31250,0.6876775233305275
AMZN,15min,12,3.0,0.7728376267375103,0.09545983701979045,36.39160839160839,0.0,859,0,31250,0.6874053035914958
AMZN,15min,20,3.0,0.7585332209807,0.10444177671068428,37.37139423076923,0.0,833,0,31250,0.6852896447040355
AMZN,15min,18,1.5,0.7824080423496591,0.28111273792093705,15.2421875,1.0,2049,1,31250,0.6834693215105766
AMZN,15min,10,3.0,0.7742409523566054,0.10282485875706214,35.321266968325794,0.0,885,0,31250,0.6804441211389106
AMZN,15min,8,3.0,0.7775147640001793,0.10186199342825848,34.23684210526316,0.0,913,0,31250,0.6761457504168731
AMZN,15min,10,2.8,0.7785653265847502,0.09617373319544985,32.32298136645963,0.0,967,0,31250,0.6679024084519429
AMZN,15min,20,2.8,0.7669854187545625,0.10871905274488698,33.50431034482759,0.0,929,0,31250,0.6669060360314273
AMZN,15min,12,2.8,0.7737845665688933,0.10830704521556257,32.86736842105263,0.0,951,0,31250,0.666049675114142
AMZN,15min,14,2.8,0.7673385695892967,0.11182108626198083,33.28784648187633,0.0,939,0,31250,0.6651193538173833
AMZN,15min,18,2.8,0.7624172191749973,0.10909090909090909,33.28907922912206,0.0,935,0,31250,0.6640858879422652
AMZN,15min,14,2.0,0.7681755013960604,0.18276580958999306,21.716272600834493,0.5,1439,2,31250,0.6620140033852734
AMZN,15min,16,2.8,0.7556171674716331,0.11075612353567625,33.28784648187633,0.0,939,0,31250,0.6612831037577772
AMZN,15min,8,2.8,0.7702594234913209,0.09969788519637462,31.47782258064516,0.0,993,0,31250,0.6596836967696239
AMZN,15min,16,2.0,0.7742548527196105,0.17704688593421974,21.868347338935575,0.4444444444444444,1429,3,31250,0.6580354010320261
AMZN,15min,14,2.5,0.7784769272212536,0.11039558417663294,28.753222836095766,0.0,1087,0,31250,0.6456021269068359
AMZN,15min,12,2.5,0.7737013014116018,0.11506849315068493,28.542961608775137,0.0,1095,0,31250,0.6416601703124051
AMZN,15min,16,2.5,0.7725344488467926,0.12165898617511521,28.805350553505534,0.0,1085,1,31250,0.6409796800641093
AMZN,15min,18,2.5,0.7644687498388015,0.12140871177015755,28.90909090909091,0.0,1079,0,31250,0.6387630959692757
AMZN,15min,10,2.5,0.7656120593755666,0.1120144534778681,28.233273056057865,0.0,1107,0,31250,0.6379689536036461
AMZN,15min,12,1.8,0.7801301330817165,0.2087644552647596,19.017661388550547,0.4444444444444444,1643,3,31250,0.6372180989573873
AMZN,15min,20,1.5,0.7857786352433114,0.2804103566194431,15.257086999022484,0.6666666666666666,2047,2,31250,0.634902732551239
AMZN,15min,10,1.5,0.7829124578827408,0.2579539892315223,15.29236043095005,0.5555555555555555,2043,3,31250,0.6230319108904281
AMZN,15min,8,2.2,0.7866491834216075,0.13297463489623368,24.021538461538462,0.0,1301,0,31250,0.6180125674450337
AMZN,15min,10,2.2,0.7795499024797227,0.14581734458940906,23.98463901689708,0.0,1303,0,31250,0.612123702349574
AMZN,15min,12,2.2,0.769307148596844,0.14956930305403288,24.473354231974923,0.0,1277,0,31250,0.6101627589750019
AMZN,15min,14,2.2,0.7665864469334469,0.1541501976284585,24.705696202531644,0.0,1265,1,31250,0.6092833047751206
AMZN,15min,18,2.2,0.7672195260252498,0.15889328063241107,24.65506329113924,0.0,1265,0,31250,0.6080536768959537
AMZN,15min,16,2.2,0.7650634044661198,0.15499606608969316,24.588976377952754,0.0,1271,0,31250,0.6079268880824418
AMZN,15min,8,2.0,0.7851639844764913,0.15487035739313246,21.899018232819074,0.0,1427,0,31250,0.6008918497928145
AMZN,15min,10,2.0,0.7810029808077648,0.1707147814018043,21.68611111111111,0.0,1441,0,31250,0.5943582615176752
AMZN,15min,18,2.0,0.7746674005625972,0.18149466192170818,22.197293447293447,0.0,1405,0,31250,0.5921256286340465
AMZN,15min,12,2.0,0.775434040652838,0.17491289198606272,21.7768479776848,0.0,1435,0,31250,0.5918352780959864
AMZN,15min,20,2.0,0.7721902353863097,0.1846370683579986,21.978138222849083,0.0,1419,0,31250,0.5893241335610547
AMZN,15min,8,1.8,0.7906364480355622,0.19134673979280925,19.041463414634148,0.0,1641,0,31250,0.5787078496465545
AMZN,15min,16,1.8,0.7834795577436919,0.216,19.228448275862068,0.0,1625,1,31250,0.5710198607432262
AMZN,15min,14,1.8,0.7820189548734894,0.2170212765957447,18.994525547445257,0.0,1645,0,31250,0.569027028697591
AMZN,15min,8,1.5,0.7877647664312891,0.24693777560019597,15.31078431372549,0.0,2041,0,31250,0.5442475231685542
AMZN,15min,12,1.5,0.7902469086700759,0.26591021213616184,15.413129318854887,0.0,2027,0,31250,0.5409096908768359
AMZN,15min,16,1.5,0.7835467297937374,0.27379209370424595,15.2470703125,0.0,2049,0,31250,0.5357236205212687
