symbol,timeframe,atr_length,factor,flip_accuracy,whipsaw_rate,avg_trend_duration,bounce_win_rate,total_flips,total_bounces,bars_tested,composite_score
AMZN,1hr,8,2.2,0.7927631578947368,0.10197368421052631,25.663366336633665,1.0,304,1,7851,0.7917031501148631
AMZN,1hr,18,2.2,0.7875816993464052,0.09477124183006536,25.488524590163934,1.0,306,1,7851,0.7907382884398789
AMZN,1hr,16,2.2,0.7813852813852814,0.09740259740259741,25.3257328990228,1.0,308,1,7851,0.7870253504819041
AMZN,1hr,10,2.0,0.780078895463511,0.10946745562130178,23.050445103857566,1.0,338,1,7851,0.7711636294085796
AMZN,1hr,8,3.5,0.7698412698412698,0.02976190476190476,45.91616766467066,0.0,168,0,7851,0.7620039682539682
AMZN,1hr,12,3.5,0.7400793650793651,0.017857142857142856,45.91616766467066,0.0,168,0,7851,0.754563492063492
AMZN,1hr,10,3.5,0.75,0.03571428571428571,45.91616766467066,0.0,168,0,7851,0.7535714285714286
AMZN,1hr,14,3.5,0.7450980392156863,0.023529411764705882,45.37278106508876,0.0,170,0,7851,0.7519433809026569
AMZN,1hr,20,3.5,0.7364341085271318,0.01744186046511628,45.485380116959064,0.0,172,0,7851,0.7510459616375232
AMZN,1hr,18,3.5,0.7260536398467433,0.022988505747126436,44.959537572254334,0.0,174,0,7851,0.7431630786052512
AMZN,1hr,16,3.5,0.7337164750957855,0.028735632183908046,44.323699421965316,0.0,174,0,7851,0.740946338006334
AMZN,1hr,8,1.8,0.7575757575757575,0.14898989898989898,19.610126582278482,1.0,396,1,7851,0.7346753999254444
AMZN,1hr,14,3.0,0.7621527777777777,0.041666666666666664,40.64921465968586,0.0,192,0,7851,0.7276597987795884
AMZN,1hr,12,3.0,0.7738095238095238,0.04081632653061224,39.815384615384616,0.0,196,0,7851,0.7274122860893485
AMZN,1hr,10,3.0,0.7772108843537415,0.03571428571428571,39.323076923076925,0.0,196,0,7851,0.7271978021978022
AMZN,1hr,8,3.0,0.785,0.035,38.53266331658291,0.0,200,0,7851,0.7257989949748744
