symbol,timeframe,atr_length,factor,flip_accuracy,whipsaw_rate,avg_trend_duration,bounce_win_rate,total_flips,total_bounces,bars_tested,composite_score
META,5min,12,3.5,0.7588755020080321,0.09734939759036144,38.80858244937319,0.6666666666666666,2075,1,80536,0.8391239908686311
META,5min,14,2.8,0.7714184145040881,0.14006398862424457,28.620554765291608,1.0,2813,1,80536,0.8177684991294736
META,5min,12,2.8,0.7605370694687683,0.14115586690017512,28.201822004204626,1.0,2855,1,80536,0.8110127799099602
META,5min,18,2.5,0.7775863589701347,0.16453723901526957,25.092581047381547,1.0,3209,1,80536,0.79127720815787
META,5min,18,3.0,0.7714136262586635,0.12436249509611612,31.58320251177394,0.6666666666666666,2549,1,80536,0.7906134443945453
META,5min,8,3.0,0.7680444950069524,0.12400455062571103,30.5345220030349,0.6666666666666666,2637,1,80536,0.7828262310453655
META,5min,20,2.5,0.781504249586949,0.16125984251968503,25.36137366099559,0.6666666666666666,3175,1,80536,0.7451844900553866
META,5min,20,3.5,0.7668125101280182,0.09674282936315022,39.14445525291829,0.0,2057,1,80536,0.7441986712040187
META,5min,18,3.5,0.7587316916143569,0.09657170449058426,38.879710144927536,0.0,2071,0,80536,0.7397223446863401
META,5min,14,3.5,0.757678083293134,0.0964785335262904,38.84604247104247,0.0,2073,0,80536,0.739161852529959
META,5min,16,3.5,0.7558979297063072,0.09581126624939817,38.77071290944124,0.0,2077,0,80536,0.7382245157731763
META,5min,10,2.5,0.7733699521920455,0.15807140677448886,24.566849816849818,0.6666666666666666,3277,3,80536,0.7380602884722506
META,5min,10,3.5,0.7512156862745097,0.09741176470588235,37.895009416195855,0.0,2125,0,80536,0.7305928375339735
META,5min,8,3.5,0.7488980088159295,0.09347925216598267,36.71943430656934,0.0,2193,0,80536,0.723256849900153
META,5min,8,2.5,0.7706039869086582,0.16215412079738173,23.954761904761906,0.5,3361,2,80536,0.7071623611127172
META,5min,20,3.0,0.7773401601680452,0.12288302481291848,31.70764381402679,0.0,2539,1,80536,0.6938523557247946
META,5min,16,3.0,0.7727570399476097,0.12259332023575638,31.63561320754717,0.0,2545,0,80536,0.691860659079957
META,5min,14,3.0,0.7697822969625863,0.12123582323034807,31.489827856025038,0.0,2557,0,80536,0.6902278004782809
META,5min,12,3.0,0.7687443541102077,0.12349980642663569,31.172734314484895,0.0,2583,1,80536,0.687273374889601
META,5min,10,3.0,0.7650147265975157,0.11909335382251249,30.933512682551882,0.0,2603,0,80536,0.6855418054017395
META,5min,20,2.0,0.764946185874774,0.22814046665095453,18.975954738330977,0.6666666666666666,4243,1,80536,0.6818878916297504
META,5min,10,2.2,0.7663694267515924,0.19592356687898088,20.51554536187564,0.5,3925,2,80536,0.6752730012244563
META,5min,18,2.8,0.7769723329708831,0.13519391083725987,29.178390137781,0.0,2759,0,80536,0.6744925617442182
META,5min,20,2.8,0.7736670293797606,0.1345665578527385,29.199564586357038,0.0,2757,0,80536,0.6736277764786761
META,5min,16,2.8,0.7728199592179442,0.13817920115149335,28.97084233261339,0.0,2779,1,80536,0.6709673834225683
META,5min,20,1.5,0.7666830092062974,0.32636051642425234,13.15609676364825,1.0,6119,1,80536,0.6707716591283203
META,5min,18,2.0,0.7654843003680214,0.22809490251350717,18.913533834586467,0.5555555555555555,4257,3,80536,0.6650222986910153
META,5min,8,2.8,0.767350249102074,0.1334723670490094,27.98643949930459,0.0,2877,1,80536,0.663942705717115
META,5min,16,2.0,0.7626486360456983,0.22709256236885056,18.77402052238806,0.5555555555555555,4289,3,80536,0.6633893854159794
META,5min,10,2.8,0.7656086501569584,0.13742588071154516,28.08374040474529,0.0,2867,0,80536,0.6629661896882664
META,5min,12,2.0,0.764849037949654,0.2270134610997034,18.37151985394797,0.5555555555555555,4383,3,80536,0.6616086904035372
