symbol,timeframe,atr_length,factor,flip_accuracy,whipsaw_rate,avg_trend_duration,bounce_win_rate,total_flips,total_bounces,bars_tested,composite_score
NFLX,1hr,10,3.5,0.7670250896057347,0.021505376344086023,37.75675675675676,1.0,186,1,7033,0.8979421711649157
NFLX,1hr,20,3.5,0.7424242424242425,0.03409090909090909,39.73142857142857,0.6666666666666666,176,1,7033,0.8484686147186148
NFLX,1hr,18,2.8,0.7537537537537538,0.05405405405405406,31.46153846153846,1.0,222,1,7033,0.8460016577663636
NFLX,1hr,20,2.8,0.7522522522522522,0.05405405405405406,31.46153846153846,1.0,222,1,7033,0.8454761322408381
NFLX,1hr,10,3.0,0.7767584097859327,0.05504587155963303,32.193548387096776,0.6666666666666666,218,1,7033,0.80835868109276
NFLX,1hr,12,2.8,0.75,0.0635593220338983,29.68936170212766,0.6666666666666666,236,1,7033,0.7812879910961595
NFLX,1hr,14,2.8,0.7380952380952381,0.058823529411764705,29.337552742616033,0.6666666666666666,238,1,7033,0.7761169024571853
NFLX,1hr,14,3.5,0.7777777777777777,0.022988505747126436,40.190751445086704,0.0,174,0,7033,0.7664750957854405
NFLX,1hr,12,3.5,0.7865168539325843,0.028089887640449437,39.41242937853107,0.0,178,0,7033,0.7634170017716235
NFLX,1hr,16,3.5,0.7662835249042145,0.028735632183908046,40.190751445086704,0.0,174,0,7033,0.761015325670498
NFLX,1hr,18,3.5,0.764367816091954,0.034482758620689655,40.190751445086704,0.0,174,0,7033,0.7589080459770114
NFLX,1hr,8,3.5,0.7663230240549828,0.015463917525773196,36.19170984455958,0.0,194,0,7033,0.7394716944235624
NFLX,1hr,20,3.0,0.7859477124183005,0.0392156862745098,34.251231527093594,0.0,204,0,7033,0.7283319649698959
NFLX,1hr,18,3.0,0.7815533980582524,0.043689320388349516,33.917073170731705,0.0,206,0,7033,0.7235969689793984
NFLX,1hr,14,3.0,0.7750809061488674,0.043689320388349516,33.917073170731705,0.0,206,0,7033,0.7213315968111137
NFLX,1hr,16,3.0,0.7788461538461539,0.04326923076923077,33.589371980676326,0.0,208,0,7033,0.7207160442214791
NFLX,1hr,18,2.0,0.7662835249042145,0.12893982808022922,20.080459770114942,0.6666666666666666,349,1,7033,0.7108714944524182
NFLX,1hr,20,2.0,0.7691570881226054,0.13753581661891118,20.080459770114942,0.6666666666666666,349,1,7033,0.7097282444441846
NFLX,1hr,16,2.0,0.7528735632183908,0.12607449856733524,20.146551724137932,0.6666666666666666,349,1,7033,0.707305454437568
NFLX,1hr,12,3.0,0.7553516819571865,0.05963302752293578,32.14746543778802,0.0,218,0,7033,0.6994328859081691
NFLX,1hr,16,2.8,0.7612612612612613,0.05855855855855856,31.46153846153846,0.0,222,0,7033,0.6975031592678651
NFLX,1hr,8,1.8,0.7670068027210885,0.15267175572519084,17.910714285714285,0.6666666666666666,393,1,7033,0.6916951126463015
NFLX,1hr,10,2.8,0.7655367231638417,0.046610169491525424,29.727659574468085,0.0,236,0,7033,0.6912013579940267
NFLX,1hr,8,3.0,0.7536231884057972,0.05217391304347826,30.50655021834061,0.0,230,0,7033,0.6904856468776548
NFLX,1hr,8,2.8,0.7630853994490359,0.04132231404958678,28.987551867219917,0.0,242,0,7033,0.687061639535419
NFLX,1hr,8,2.5,0.7699004975124378,0.06343283582089553,26.164794007490638,0.0,268,0,7033,0.6663607895411607
NFLX,1hr,10,2.5,0.7506172839506173,0.07037037037037037,25.970260223048328,0.0,270,0,7033,0.6566672155484781
NFLX,1hr,12,2.5,0.7414215686274511,0.0661764705882353,25.73431734317343,0.0,272,0,7033,0.6530295460125967
NFLX,1hr,14,2.5,0.7401960784313726,0.0661764705882353,25.619926199261993,0.0,272,0,7033,0.6518890730310295
NFLX,1hr,16,2.5,0.7365196078431372,0.06985294117647059,25.619926199261993,0.0,272,0,7033,0.6496831906780882
NFLX,1hr,18,2.5,0.725925925925926,0.06666666666666667,25.810408921933085,0.0,270,0,7033,0.647956837275609
NFLX,1hr,20,2.5,0.7185185185185187,0.07777777777777778,25.810408921933085,0.0,270,0,7033,0.6425864669052388
NFLX,1hr,12,2.2,0.7615894039735099,0.0891089108910891,23.241721854304636,0.0,303,0,7033,0.6388503954957536
NFLX,1hr,10,2.2,0.7538126361655774,0.08469055374592833,22.944444444444443,0.0,307,0,7033,0.6353839505125993
NFLX,1hr,14,2.2,0.7544444444444444,0.10299003322259136,23.363333333333333,0.0,301,0,7033,0.6336358434050445
NFLX,1hr,20,2.2,0.7570806100217865,0.10097719869706841,22.836601307189543,0.0,307,0,7033,0.6317852595166528
