symbol,timeframe,atr_length,factor,flip_accuracy,whipsaw_rate,avg_trend_duration,bounce_win_rate,total_flips,total_bounces,bars_tested,composite_score
NFLX,5min,14,3.5,0.752913752913753,0.08773045136681501,38.51908396946565,1.0,1573,1,60681,0.8874523406272192
NFLX,5min,12,3.5,0.7508949252474206,0.08654453569172457,38.275600505689,1.0,1583,2,60681,0.8854880886494435
NFLX,5min,8,3.5,0.7575570635410239,0.0795805058605799,37.37777777777778,1.0,1621,1,60681,0.8838300926877937
NFLX,5min,10,3.5,0.7483721907162361,0.09073724007561437,38.17906683480454,1.0,1587,1,60681,0.8829407864921825
NFLX,5min,8,3.0,0.7561305597835278,0.10603754439370877,30.768020304568527,1.0,1971,1,60681,0.8345268476728768
NFLX,5min,20,2.8,0.7676119552924172,0.12169312169312169,29.152069297401347,0.8333333333333334,2079,2,60681,0.7993169176601664
NFLX,5min,12,3.0,0.7596699329551315,0.10830324909747292,31.241486068111456,0.6666666666666666,1939,1,60681,0.7882213073654417
NFLX,5min,18,3.5,0.7591036414565826,0.08597285067873303,39.16688227684347,0.0,1547,0,60681,0.7441930618401206
NFLX,5min,20,3.5,0.7531740908112762,0.08973531310522918,39.1156330749354,0.0,1549,0,60681,0.7408499827430491
NFLX,5min,16,3.5,0.7520873474630699,0.08477842003853564,38.915167095115685,0.0,1557,0,60681,0.7404292827978133
NFLX,5min,18,2.8,0.761448754116174,0.13047664901299952,29.180154142581888,0.3333333333333333,2077,1,60681,0.7201431794009119
NFLX,5min,18,2.0,0.7660285627468855,0.23002127013065937,18.415197568389058,0.8333333333333334,3291,2,60681,0.7031478466268949
NFLX,5min,20,3.0,0.7638668779714738,0.11251980982567353,32.00052854122622,0.0,1893,0,60681,0.6934810232241366
NFLX,5min,18,3.0,0.7652828866701699,0.11140304781923278,31.832281808622504,0.0,1903,0,60681,0.6931819073676063
NFLX,5min,16,3.0,0.7613298337707787,0.11181102362204724,31.798844537815125,0.0,1905,0,60681,0.6914829166888932
NFLX,5min,10,3.0,0.7597058320506243,0.10107747562852745,31.1129363449692,0.0,1949,0,60681,0.6892197897853288
