symbol,timeframe,atr_length,factor,flip_accuracy,whipsaw_rate,avg_trend_duration,bounce_win_rate,total_flips,total_bounces,bars_tested,composite_score
TSLA,1min,10,3.5,0.765904261967254,0.05474315710536183,42.66166541635409,0.6666666666666666,2667,3,113856,0.8526927804317034
TSLA,1min,12,3.5,0.7634327419151882,0.0622876557191393,42.95166163141994,0.6666666666666666,2649,3,113856,0.851629545740531
TSLA,1min,20,3.0,0.7604197901049475,0.08995502248875563,34.119376124775044,1.0,3335,1,113856,0.8422498832536532
TSLA,1min,18,3.0,0.7571329157967989,0.09126155681479273,33.93854415274463,1.0,3353,1,113856,0.8397203117879808
TSLA,1min,14,3.0,0.7549399265216961,0.08817396484956806,33.89064362336114,1.0,3357,1,113856,0.8394458586651327
TSLA,1min,16,3.5,0.7551478846873829,0.06926244852115312,42.597752808988766,0.5,2671,2,113856,0.8199262224166627
TSLA,1min,8,3.5,0.7663849075094941,0.05034913634693128,41.81470588235294,0.42857142857142855,2721,7,113856,0.8133155007684809
TSLA,1min,20,3.5,0.7521527517783602,0.07263197304380382,42.597752808988766,0.3333333333333333,2671,1,113856,0.7930355447678421
TSLA,1min,18,3.5,0.7545374890474402,0.07247465264739016,42.725770097670924,0.16666666666666666,2663,2,113856,0.7696546571031788
TSLA,1min,20,2.8,0.7532421071460513,0.09686074590823719,30.529790660225444,0.6666666666666666,3727,1,113856,0.767118093412302
TSLA,1min,10,3.0,0.7517897420810042,0.0832597822889085,33.471748087110065,0.5,3399,2,113856,0.7621336597113298
TSLA,1min,16,2.2,0.7689484588409007,0.15513392857142858,21.170232558139535,1.0,5376,1,113856,0.75356974483579
TSLA,1min,12,2.2,0.766338649590399,0.15610200364298724,20.730552013117144,1.0,5490,1,113856,0.7498551337178521
TSLA,1min,14,3.5,0.7606163096580234,0.06839534009770763,42.757894736842104,0.0,2661,2,113856,0.7479890538070091
TSLA,1min,10,2.8,0.7520762304397238,0.0889063729346971,29.83420776495278,0.5,3813,2,113856,0.7396499919394555
TSLA,1min,16,2.5,0.7593522249015233,0.11662198391420911,25.427932960893855,0.6666666666666666,4476,2,113856,0.7346209797907873
TSLA,1min,10,2.5,0.7538988509342537,0.11441048034934498,24.850404018344616,0.6666666666666666,4580,1,113856,0.7299036695535385
TSLA,1min,10,2.2,0.7657041057820497,0.1528329123060267,20.53600433134813,0.8333333333333334,5542,2,113856,0.724317952101115
TSLA,1min,8,2.8,0.748676559923631,0.08747721947409529,29.619791666666668,0.3333333333333333,3841,3,113856,0.7125693874553601
TSLA,1min,14,1.8,0.7717320023965876,0.21385969894916218,16.16233489561142,1.0,7042,2,113856,0.7107140912250887
TSLA,1min,8,2.5,0.7580388387017893,0.10877116804168475,24.710097719869708,0.5,4606,2,113856,0.7069458410174599
TSLA,1min,12,2.5,0.7559108018682202,0.11421654929577464,25.047325555800132,0.5,4544,4,113856,0.7068025162807993
TSLA,1min,18,2.2,0.7698166182170544,0.15531994047619047,21.170232558139535,0.6666666666666666,5376,1,113856,0.7038270976412533
TSLA,1min,8,3.0,0.7581318574618895,0.07690066996795805,33.140151515151516,0.0,3433,0,113856,0.6890131214590041
TSLA,1min,16,3.0,0.7533392698130008,0.08993766696349065,33.777315914489314,0.0,3369,2,113856,0.6877850797457273
TSLA,1min,12,3.0,0.7491875923190546,0.08478581979320532,33.61022458628842,0.0,3385,1,113856,0.6866473999096411
TSLA,1min,18,2.5,0.7612949512371898,0.11723672367236723,25.61107359891965,0.3333333333333333,4444,1,113856,0.6862132185275926
TSLA,1min,20,2.5,0.7582717762101364,0.11961400359066428,25.542087542087543,0.3333333333333333,4456,1,113856,0.684159254180098
TSLA,1min,14,2.5,0.7548490710386858,0.11646851607221488,25.058357190046245,0.3333333333333333,4542,1,113856,0.6809321283858483
TSLA,1min,8,2.0,0.7663074250889382,0.1799302473050095,18.045822102425877,0.6666666666666666,6308,3,113856,0.6782606829403681
