swing_length,ob_strength,flip_accuracy,whipsaw_rate,avg_trend_duration,composite_score,total_signals,total_choch,bars_tested
10,1.0,0.8669260027662516,0.012396694214876033,32.21576763485477,0.6677598941598352,242,105,7823
10,2.0,0.8669260027662516,0.012396694214876033,32.21576763485477,0.6677598941598352,242,105,7823
10,2.5,0.8669260027662516,0.012396694214876033,32.21576763485477,0.6677598941598352,242,105,7823
10,1.5,0.8669260027662516,0.012396694214876033,32.21576763485477,0.6677598941598352,242,105,7823
10,3.0,0.8669260027662516,0.012396694214876033,32.21576763485477,0.6677598941598352,242,105,7823
9,3.0,0.8676481799123308,0.018796992481203006,29.260377358490565,0.6638619822419115,266,109,7823
9,1.5,0.8676481799123308,0.018796992481203006,29.260377358490565,0.6638619822419115,266,109,7823
9,1.0,0.8676481799123308,0.018796992481203006,29.260377358490565,0.6638619822419115,266,109,7823
9,2.5,0.8676481799123308,0.018796992481203006,29.260377358490565,0.6638619822419115,266,109,7823
9,2.0,0.8676481799123308,0.018796992481203006,29.260377358490565,0.6638619822419115,266,109,7823
7,1.0,0.872937457426476,0.018808777429467086,24.449685534591193,0.6622845053351987,319,132,7823
7,1.5,0.872937457426476,0.018808777429467086,24.449685534591193,0.6622845053351987,319,132,7823
7,2.0,0.872937457426476,0.018808777429467086,24.449685534591193,0.6622845053351987,319,132,7823
7,3.0,0.872937457426476,0.018808777429467086,24.449685534591193,0.6622845053351987,319,132,7823
7,2.5,0.872937457426476,0.018808777429467086,24.449685534591193,0.6622845053351987,319,132,7823
8,2.5,0.8623981817880191,0.021052631578947368,27.302816901408452,0.6595839026980556,285,119,7823
8,1.0,0.8623981817880191,0.021052631578947368,27.302816901408452,0.6595839026980556,285,119,7823
8,3.0,0.8623981817880191,0.021052631578947368,27.302816901408452,0.6595839026980556,285,119,7823
8,1.5,0.8623981817880191,0.021052631578947368,27.302816901408452,0.6595839026980556,285,119,7823
8,2.0,0.8623981817880191,0.021052631578947368,27.302816901408452,0.6595839026980556,285,119,7823
6,3.0,0.8737141696582463,0.03142857142857143,22.277936962750715,0.6571435877777546,350,148,7823
6,2.5,0.8737141696582463,0.03142857142857143,22.277936962750715,0.6571435877777546,350,148,7823
6,2.0,0.8737141696582463,0.03142857142857143,22.277936962750715,0.6571435877777546,350,148,7823
6,1.0,0.8737141696582463,0.03142857142857143,22.277936962750715,0.6571435877777546,350,148,7823
6,1.5,0.8737141696582463,0.03142857142857143,22.277936962750715,0.6571435877777546,350,148,7823
5,2.0,0.8744670231729055,0.03723404255319149,20.733333333333334,0.6545184244464489,376,164,7823
5,2.5,0.8744670231729055,0.03723404255319149,20.733333333333334,0.6545184244464489,376,164,7823
5,3.0,0.8744670231729055,0.03723404255319149,20.733333333333334,0.6545184244464489,376,164,7823
5,1.0,0.8744670231729055,0.03723404255319149,20.733333333333334,0.6545184244464489,376,164,7823
5,1.5,0.8744670231729055,0.03723404255319149,20.733333333333334,0.6545184244464489,376,164,7823
4,2.0,0.8916779127305442,0.05470459518599562,17.087719298245613,0.6533655408237096,459,199,7823
4,1.5,0.8916779127305442,0.05470459518599562,17.087719298245613,0.6533655408237096,459,199,7823
4,2.5,0.8916779127305442,0.05470459518599562,17.087719298245613,0.6533655408237096,459,199,7823
4,1.0,0.8916779127305442,0.05470459518599562,17.087719298245613,0.6533655408237096,459,199,7823
4,3.0,0.8916779127305442,0.05470459518599562,17.087719298245613,0.6533655408237096,459,199,7823
3,3.0,0.8825811881912783,0.1039426523297491,13.989228007181328,0.6325789864985999,564,291,7823
3,1.0,0.8825811881912783,0.1039426523297491,13.989228007181328,0.6325789864985999,564,291,7823
3,1.5,0.8825811881912783,0.1039426523297491,13.989228007181328,0.6325789864985999,564,291,7823
3,2.0,0.8825811881912783,0.1039426523297491,13.989228007181328,0.6325789864985999,564,291,7823
3,2.5,0.8825811881912783,0.1039426523297491,13.989228007181328,0.6325789864985999,564,291,7823
