swing_length,ob_strength,flip_accuracy,whipsaw_rate,avg_trend_duration,composite_score,total_signals,total_choch,bars_tested
9,3.0,0.8834708062832627,0.028055159296243463,28.819695528068507,0.6478214010187979,2105,804,60681
9,1.5,0.8834708062832627,0.028055159296243463,28.819695528068507,0.6478214010187979,2105,804,60681
9,2.5,0.8834708062832627,0.028055159296243463,28.819695528068507,0.6478214010187979,2105,804,60681
9,1.0,0.8834708062832627,0.028055159296243463,28.819695528068507,0.6478214010187979,2105,804,60681
9,2.0,0.8834708062832627,0.028055159296243463,28.819695528068507,0.6478214010187979,2105,804,60681
10,2.0,0.8802843849817291,0.02773575390821987,30.564581231079718,0.6468151844654109,1984,752,60681
10,1.5,0.8802843849817291,0.02773575390821987,30.564581231079718,0.6468151844654109,1984,752,60681
10,1.0,0.8802843849817291,0.02773575390821987,30.564581231079718,0.6468151844654109,1984,752,60681
10,3.0,0.8802843849817291,0.02773575390821987,30.564581231079718,0.6468151844654109,1984,752,60681
10,2.5,0.8802843849817291,0.02773575390821987,30.564581231079718,0.6468151844654109,1984,752,60681
8,2.5,0.8817741813351998,0.02939846223428313,27.41131221719457,0.646600502402599,2213,874,60681
8,3.0,0.8817741813351998,0.02939846223428313,27.41131221719457,0.646600502402599,2213,874,60681
8,1.0,0.8817741813351998,0.02939846223428313,27.41131221719457,0.646600502402599,2213,874,60681
8,1.5,0.8817741813351998,0.02939846223428313,27.41131221719457,0.646600502402599,2213,874,60681
8,2.0,0.8817741813351998,0.02939846223428313,27.41131221719457,0.646600502402599,2213,874,60681
7,1.0,0.8851758847175998,0.03359932801343973,25.453361344537814,0.6465073262690404,2382,952,60681
7,2.5,0.8851758847175998,0.03359932801343973,25.453361344537814,0.6465073262690404,2382,952,60681
7,2.0,0.8851758847175998,0.03359932801343973,25.453361344537814,0.6465073262690404,2382,952,60681
7,1.5,0.8851758847175998,0.03359932801343973,25.453361344537814,0.6465073262690404,2382,952,60681
7,3.0,0.8851758847175998,0.03359932801343973,25.453361344537814,0.6465073262690404,2382,952,60681
6,3.0,0.8895861173946559,0.043461970775571374,22.70502248875562,0.6450408769827927,2672,1094,60681
6,2.5,0.8895861173946559,0.043461970775571374,22.70502248875562,0.6450408769827927,2672,1094,60681
6,2.0,0.8895861173946559,0.043461970775571374,22.70502248875562,0.6450408769827927,2672,1094,60681
6,1.0,0.8895861173946559,0.043461970775571374,22.70502248875562,0.6450408769827927,2672,1094,60681
6,1.5,0.8895861173946559,0.043461970775571374,22.70502248875562,0.6450408769827927,2672,1094,60681
5,2.0,0.8892465607856024,0.04788639365918098,20.012223323422532,0.6433114695846008,3032,1274,60681
5,2.5,0.8892465607856024,0.04788639365918098,20.012223323422532,0.6433114695846008,3032,1274,60681
5,3.0,0.8892465607856024,0.04788639365918098,20.012223323422532,0.6433114695846008,3032,1274,60681
5,1.0,0.8892465607856024,0.04788639365918098,20.012223323422532,0.6433114695846008,3032,1274,60681
5,1.5,0.8892465607856024,0.04788639365918098,20.012223323422532,0.6433114695846008,3032,1274,60681
4,2.0,0.8876876241948133,0.0522344747533372,17.598838896952106,0.6411448406278032,3451,1497,60681
4,1.5,0.8876876241948133,0.0522344747533372,17.598838896952106,0.6411448406278032,3451,1497,60681
4,2.5,0.8876876241948133,0.0522344747533372,17.598838896952106,0.6411448406278032,3451,1497,60681
4,1.0,0.8876876241948133,0.0522344747533372,17.598838896952106,0.6411448406278032,3451,1497,60681
4,3.0,0.8876876241948133,0.0522344747533372,17.598838896952106,0.6411448406278032,3451,1497,60681
3,3.0,0.890735774878535,0.06673209028459273,14.880981595092024,0.6377460806605774,4080,1834,60681
3,1.0,0.890735774878535,0.06673209028459273,14.880981595092024,0.6377460806605774,4080,1834,60681
3,1.5,0.890735774878535,0.06673209028459273,14.880981595092024,0.6377460806605774,4080,1834,60681
3,2.0,0.890735774878535,0.06673209028459273,14.880981595092024,0.6377460806605774,4080,1834,60681
3,2.5,0.890735774878535,0.06673209028459273,14.880981595092024,0.6377460806605774,4080,1834,60681
