symbol,timeframe,adx_length,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,zone_crossing_accuracy,total_flips,total_zone_entries,bars_tested,composite_score
AAPL,1hr,25,5,0.8019525801952581,0.22594142259414227,32.79831932773109,0.8000000000000002,239,10,7851,0.8441980474198046
AAPL,1hr,22,5,0.8173190984578884,0.27402135231316727,27.889285714285716,0.8703703703703703,281,18,7851,0.8106935698852571
AAPL,1hr,20,5,0.8030803080308031,0.2739273927392739,25.86092715231788,0.8110161443494777,303,27,7851,0.7813695069974355
AAPL,1hr,14,5,0.8270531400966185,0.2492753623188406,22.718023255813954,0.8145833333333333,345,65,7851,0.7725017964660112
AAPL,1hr,16,4,0.8089780324737345,0.25501432664756446,22.451149425287355,0.8620915032679739,349,51,7851,0.7698327896553722
AAPL,1hr,22,4,0.795284030010718,0.3086816720257235,25.18709677419355,0.8421052631578947,311,19,7851,0.7694794422406069
AAPL,1hr,25,4,0.8064516129032259,0.2974910394265233,28.07913669064748,0.6363636363636364,279,11,7851,0.7673686270924609
AAPL,1hr,16,5,0.7817109144542774,0.25073746312684364,23.115384615384617,0.8474277660324172,339,44,7851,0.7642219812901919
AAPL,1hr,25,3,0.8021164021164021,0.3333333333333333,24.856687898089174,0.75,315,12,7851,0.7493735782934317
AAPL,1hr,20,4,0.8152492668621701,0.31671554252199413,22.96764705882353,0.777504105090312,341,29,7851,0.747851229491764
AAPL,1hr,18,5,0.7917888563049854,0.30791788856304986,22.973529411764705,0.8162464985994399,341,35,7851,0.747695695617492
AAPL,1hr,12,5,0.8101265822784809,0.28860759493670884,19.83756345177665,0.8581560283687942,395,94,7851,0.7413244981964876
AAPL,1hr,14,4,0.818260120585702,0.28940568475452194,20.243523316062177,0.8081681681681682,387,75,7851,0.7395678999574116
AAPL,1hr,10,5,0.8021612635078968,0.24688279301745636,19.545,0.780361757105943,401,129,7851,0.7350686777929423
AAPL,1hr,22,3,0.7953890489913545,0.35446685878962536,22.563583815028903,0.8181818181818182,347,22,7851,0.7344840729854772
AAPL,1hr,18,4,0.8025711662075299,0.325068870523416,21.57734806629834,0.7483130904183536,363,39,7851,0.7263495759524401
AAPL,1hr,20,3,0.8096514745308311,0.35656836461126007,20.991935483870968,0.7813620071684588,373,31,7851,0.7214479330656778
AAPL,1hr,12,4,0.7964257964257965,0.31934731934731936,18.261682242990656,0.867986798679868,429,101,7851,0.7183070024008232
AAPL,1hr,16,3,0.8041566746602719,0.34532374100719426,18.778846153846153,0.8636151875145585,417,54,7851,0.717804962782274
AAPL,1hr,10,4,0.7963369963369963,0.3076923076923077,17.218061674008812,0.7761904761904762,455,140,7851,0.6994653942359367
AAPL,1hr,14,3,0.7915742793791575,0.35920177383592017,17.364444444444445,0.8273092369477912,451,83,7851,0.6937046703865759
AAPL,1hr,18,3,0.8032128514056224,0.39518072289156625,18.867149758454108,0.7643041712809154,415,43,7851,0.6907868069924741
AAPL,1hr,8,5,0.7728237791932059,0.3078556263269639,16.636170212765958,0.8021978021978021,471,182,7851,0.690660661876719
AAPL,1hr,25,2,0.7979002624671915,0.42782152230971127,20.53684210526316,0.6875,381,16,7851,0.6819735410661504
AAPL,1hr,12,3,0.7788911155644623,0.3787575150300601,15.69277108433735,0.8247126436781609,499,116,7851,0.6712450730532071
AAPL,1hr,16,2,0.805168986083499,0.4294234592445328,15.56175298804781,0.8524254821741671,503,59,7851,0.6709341027452727
AAPL,1hr,8,4,0.7792207792207791,0.35064935064935066,14.533457249070633,0.7648953301127214,539,207,7851,0.660578213100893
AAPL,1hr,22,2,0.7939538583929991,0.431980906921241,18.677033492822968,0.6428571428571429,419,28,7851,0.6586799280109027
AAPL,1hr,18,2,0.8064076346284935,0.4601226993865031,16.00409836065574,0.784458834412581,489,48,7851,0.6568695301548109
AAPL,1hr,20,2,0.8027961736571009,0.45474613686534215,17.27654867256637,0.7133736559139785,453,32,7851,0.6559859338564216
