symbol,timeframe,adx_length,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,zone_crossing_accuracy,total_flips,total_zone_entries,bars_tested,composite_score
AAPL,5min,25,5,0.7794725135049254,0.22720050842071815,28.82453909726637,0.8405797101449274,3147,161,90747,0.8421022091432834
AAPL,5min,22,5,0.7855505729945191,0.23139013452914797,27.117822966507177,0.7856154910096818,3345,241,90747,0.8201348589882995
AAPL,5min,25,4,0.7820699002807628,0.26169038629102526,26.34572922719349,0.8563218390804597,3443,174,90747,0.8152510159738667
AAPL,5min,20,5,0.7891974425040558,0.23103349556255368,25.968499427262312,0.7757201646090536,3493,324,90747,0.8100478507515949
AAPL,5min,22,4,0.7880351163001178,0.26744501764865597,24.628462791960892,0.761723700887199,3683,263,90747,0.7868163268958104
AAPL,5min,18,5,0.7830146332704911,0.2456234850525182,24.429418103448278,0.7322775263951734,3713,442,90747,0.7843712672718528
AAPL,5min,16,5,0.7872303858382744,0.24929105439546276,23.383702939659617,0.7725490196078431,3879,595,90747,0.781900951564665
AAPL,5min,20,4,0.7811447811447811,0.27117327117327117,23.492746113989636,0.7725162488393685,3861,359,90747,0.7752412696171986
AAPL,5min,25,3,0.7835520109767602,0.31206586056084384,23.335306227483272,0.8425460636515912,3887,199,90747,0.7749996227307195
AAPL,5min,14,5,0.7843899279410574,0.2521253339810542,22.031584062196305,0.7898373983739838,4117,820,90747,0.7710643273278621
AAPL,5min,18,4,0.7874229346485819,0.2776818742293465,22.368524913665514,0.7315573770491803,4055,488,90747,0.7599170852059784
AAPL,5min,12,5,0.7835236176404745,0.26326393552719946,20.30497089117779,0.7921960072595281,4467,1102,90747,0.7533550577655319
AAPL,5min,22,3,0.7841680645418964,0.31751737359213994,21.738974113135185,0.7887323943661971,4173,284,90747,0.7519350600992856
AAPL,5min,16,4,0.7850359045633543,0.2888580032429928,21.010658016682115,0.7676767676767677,4317,660,90747,0.7499284966005915
AAPL,5min,14,4,0.7820540697253026,0.2926723200695803,19.72488038277512,0.773916292974589,4599,892,90747,0.7377154416933229
AAPL,5min,20,3,0.7872761904761906,0.3229714285714286,20.735025148605395,0.7491830065359477,4375,408,90747,0.7370195666661538
AAPL,5min,10,5,0.7849286055885769,0.26920712968653965,18.59016393442623,0.7725837018319646,4881,1583,90747,0.7345463545410404
AAPL,5min,18,3,0.7898280278082693,0.32140504939626785,19.915458937198068,0.7623456790123457,4555,540,90747,0.7331704719524947
AAPL,5min,25,2,0.7844174935685411,0.37640573318632853,20.003308337009262,0.8040935672514621,4535,228,90747,0.7245507296465179
AAPL,5min,12,4,0.7826437941473259,0.2994954591321897,18.30742834073476,0.7713114754098361,4955,1220,90747,0.7235315415959345
AAPL,5min,16,3,0.7848976518107756,0.3341548572602177,18.63085456039441,0.78140589569161,4869,735,90747,0.7199748344404081
AAPL,5min,8,5,0.7876958722029145,0.2839641616383251,16.591258229700074,0.7768522577816747,5469,2281,90747,0.715129083129483
AAPL,5min,14,3,0.7873329459616502,0.33430176254115823,17.56974041069353,0.78159757330637,5163,989,90747,0.7116159940087272
AAPL,5min,22,2,0.7821543960954148,0.3837904722623221,18.707714521452147,0.8012618296529969,4849,317,90747,0.7102508004514858
AAPL,5min,10,4,0.7829242787722213,0.30437188710570007,16.73819188191882,0.7787339835532606,5421,1743,90747,0.7099137328207781
AAPL,5min,12,3,0.7806689241371116,0.3434325432186776,16.166844919786097,0.7679139153827342,5611,1363,90747,0.6927807976455509
AAPL,5min,8,4,0.7860619678697432,0.3202496304811956,14.901609724047306,0.7794994040524433,6089,2517,90747,0.6912283201022168
AAPL,5min,20,2,0.7788355676445825,0.39090732465513894,17.62436844150797,0.7562189054726369,5147,469,90747,0.6911575188500831
AAPL,5min,18,2,0.7845868152274837,0.3957288765088208,16.845282317979198,0.7640021750951606,5385,613,90747,0.6863754150432816
AAPL,5min,10,3,0.7824863343616388,0.35091705891900665,14.727435064935065,0.7790339157245633,6161,1946,90747,0.6807295223595868
AAPL,5min,16,2,0.7836860824441724,0.3988105649816337,15.866864940517845,0.7610136452241716,5717,855,90747,0.6763554810613437
AAPL,5min,14,2,0.7817427838707918,0.4036667212309707,14.848722986247544,0.7718676122931442,6109,1128,90747,0.6672588688179781
AAPL,5min,25,1,0.7846135817659811,0.4781156618034804,15.94479606188467,0.7806372549019608,5689,272,90747,0.6604732825886656
AAPL,5min,8,3,0.7811581377185529,0.3737732897169677,12.90483641536273,0.7776601998824221,7031,2835,90747,0.6585368386076925
AAPL,5min,12,2,0.7771741864091344,0.41378790164429025,13.687537718768858,0.7644697929869032,6629,1578,90747,0.6519487396276457
AAPL,5min,22,1,0.7814796668299854,0.48472970765964396,14.814603070891865,0.7351263243683781,6123,409,90747,0.641093910382781
AAPL,5min,10,2,0.7817464415493379,0.42795291570829386,12.27618403247632,0.7665034861296544,7391,2247,90747,0.6380719251864881
AAPL,5min,20,1,0.7798586390135686,0.493886395294846,14.039473684210526,0.7522988505747127,6461,580,90747,0.6340904321621945
AAPL,5min,18,1,0.7810930720101409,0.5003656574520988,13.267407840842598,0.7521027003098716,6837,753,90747,0.6261769907433462
AAPL,5min,8,2,0.7806073671453501,0.44624360042862243,10.802691116932603,0.7752957976336189,8399,3268,90747,0.6216395766714264
AAPL,5min,16,1,0.7783749023930917,0.5058564144963483,12.499448732083792,0.7589939509710284,7257,1047,90747,0.6182259932160878
AAPL,5min,14,1,0.7790271853862393,0.509755782400827,11.72408891186353,0.7679477882523568,7739,1379,90747,0.6120977017845436
AAPL,5min,12,1,0.7789239375555317,0.5236863759257082,10.665530213966612,0.7538461538461538,8507,1950,90747,0.5972826166517751
AAPL,5min,10,1,0.7849502917099181,0.5424156417533901,9.537531539108494,0.7646060606060606,9513,2750,90747,0.5865401908958117
AAPL,5min,8,1,0.7824079216362015,0.5691455552528829,8.239011986923357,0.7776952286610532,11013,4038,90747,0.5696689831345348
