symbol,timeframe,adx_length,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,zone_crossing_accuracy,total_flips,total_zone_entries,bars_tested,composite_score
MSFT,1hr,25,5,0.7846364883401921,0.20164609053497942,32.19421487603306,0.8055555555555557,243,12,7850,0.8450445816186557
MSFT,1hr,22,5,0.7997557997557997,0.25274725274725274,28.654411764705884,0.7380952380952381,273,14,7850,0.7999541204967715
MSFT,1hr,25,4,0.7749699157641396,0.259927797833935,28.22826086956522,0.8181818181818182,277,11,7850,0.7981876923369624
MSFT,1hr,20,5,0.7999999999999999,0.2677966101694915,26.517006802721088,0.8571428571428571,295,28,7850,0.7975366530749581
MSFT,1hr,18,5,0.7741585233441911,0.254071661237785,25.483660130718953,0.9247311827956989,307,31,7850,0.7940373027708769
MSFT,1hr,16,5,0.7854889589905364,0.26813880126182965,24.68354430379747,0.787878787878788,317,44,7850,0.7677451153253636
MSFT,1hr,20,4,0.7859327217125381,0.30275229357798167,23.914110429447852,0.8275862068965517,327,29,7850,0.7592282330967233
MSFT,1hr,18,4,0.7812798471824259,0.3151862464183381,22.405172413793103,0.8952380952380952,349,35,7850,0.7529215596024339
MSFT,1hr,25,3,0.7897897897897899,0.35135135135135137,23.46385542168675,0.8333333333333334,333,12,7850,0.7457941145816638
MSFT,1hr,14,5,0.7793696275071634,0.2664756446991404,22.416666666666668,0.6989247311827956,349,62,7850,0.7350728856674709
MSFT,1hr,22,4,0.7805128205128206,0.3384615384615385,24.055555555555557,0.6851851851851851,325,18,7850,0.7281421769804519
MSFT,1hr,16,4,0.7834681042228212,0.32345013477088946,21.07837837837838,0.7959183673469387,371,49,7850,0.7264204712991774
MSFT,1hr,22,3,0.7741046831955923,0.36639118457300274,21.527624309392266,0.8571428571428571,363,21,7850,0.7250802459681769
MSFT,1hr,20,3,0.7789566755083998,0.3660477453580902,20.731382978723403,0.8709677419354839,377,31,7850,0.7227549270202193
MSFT,1hr,12,5,0.784313725490196,0.2915601023017903,20.00769230769231,0.7276422764227641,391,82,7850,0.7161332594084812
MSFT,1hr,14,4,0.7932816537467701,0.3023255813953488,20.20984455958549,0.7114427860696516,387,67,7850,0.7157205280646656
MSFT,1hr,18,3,0.7822111388196177,0.38154613466334164,19.4925,0.875,401,40,7850,0.7110038454755168
MSFT,1hr,25,2,0.7720164609053498,0.43703703703703706,19.282178217821784,0.8958333333333334,405,16,7850,0.6950547560915263
MSFT,1hr,22,2,0.7675334909377463,0.4302600472813239,18.466824644549764,0.88,423,25,7850,0.686473441620672
MSFT,1hr,10,5,0.7695749440715884,0.2975391498881432,17.5,0.7037037037037037,447,126,7850,0.6864159787421785
MSFT,1hr,16,3,0.7902364607170099,0.391304347826087,17.887614678899084,0.761006289308176,437,53,7850,0.6818115694392648
MSFT,1hr,8,5,0.7801696020874102,0.33268101761252444,15.307843137254903,0.8176795580110497,511,181,7850,0.6814121104698749
MSFT,1hr,12,4,0.7655677655677655,0.34065934065934067,17.187224669603523,0.7101449275362319,455,92,7850,0.6727707858869799
MSFT,1hr,20,2,0.7739380849532038,0.4535637149028078,16.872294372294373,0.8666666666666667,463,35,7850,0.6685070146035822
MSFT,1hr,14,3,0.7848549186128805,0.3651804670912951,16.597872340425532,0.706140350877193,471,76,7850,0.6682137822732434
MSFT,1hr,10,4,0.7717601547388782,0.3597678916827853,15.125968992248062,0.7358024691358024,517,135,7850,0.6580032019652327
MSFT,1hr,8,4,0.7814113597246127,0.3648881239242685,13.460344827586207,0.7931623931623931,581,195,7850,0.6557708658361908
MSFT,1hr,18,2,0.7750511247443762,0.4601226993865031,15.977459016393443,0.8333333333333334,489,46,7850,0.6553081045143042
MSFT,1hr,12,3,0.7790332705586943,0.384180790960452,14.722641509433963,0.717948717948718,531,104,7850,0.6486355177488485
MSFT,1hr,8,3,0.7813953488372093,0.4,12.147515527950311,0.784037558685446,645,213,7850,0.6354239621839923
MSFT,1hr,10,3,0.7796514896008994,0.4131534569983137,13.184121621621621,0.7342342342342342,593,148,7850,0.6321043787056466
MSFT,1hr,25,1,0.7613412228796844,0.5266272189349113,15.395256916996047,0.8245614035087719,507,19,7850,0.6280467046101632
MSFT,1hr,16,2,0.7564344005021971,0.4519774011299435,14.715094339622642,0.7272727272727272,531,66,7850,0.6251167555170083
MSFT,1hr,22,1,0.7717454757734968,0.553415061295972,13.671929824561403,0.8666666666666667,571,30,7850,0.6179247489872539
MSFT,1hr,14,2,0.7599775154581225,0.46037099494097805,13.177364864864865,0.7131782945736433,593,86,7850,0.6102032436026831
MSFT,1hr,10,2,0.7891654465592972,0.4685212298682284,11.444281524926685,0.7429718875502008,683,166,7850,0.6093924658090084
MSFT,1hr,20,1,0.7605711147721032,0.556836902800659,12.863036303630363,0.8759689922480619,607,43,7850,0.6082722533752613
MSFT,1hr,12,2,0.7801526717557251,0.4732824427480916,11.931192660550458,0.7246376811594203,655,115,7850,0.6060786057200311
MSFT,1hr,8,2,0.7818119447133576,0.48704663212435234,10.171206225680933,0.7707509881422925,772,253,7850,0.5964683535704786
MSFT,1hr,18,1,0.7597964376590332,0.5633587786259542,11.922018348623853,0.7944444444444444,655,60,7850,0.5868346123801277
MSFT,1hr,16,1,0.7570700046360687,0.5660639777468707,10.862116991643454,0.6937984496124031,719,86,7850,0.5618766352996226
MSFT,1hr,12,1,0.7597078046905037,0.5859284890426759,9.01039260969977,0.767605633802817,867,142,7850,0.5545254896056894
MSFT,1hr,14,1,0.7555277430120985,0.5782227784730913,9.775689223057643,0.7201257861635221,799,106,7850,0.5538097301060922
MSFT,1hr,10,1,0.7575681324134846,0.5827956989247312,8.439181916038752,0.7761674718196457,930,207,7850,0.5514084149856807
MSFT,1hr,8,1,0.7659904045065801,0.5955598455598455,7.576811594202899,0.7753164556962026,1036,316,7850,0.5443408962569914
