symbol,timeframe,adx_length,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,zone_crossing_accuracy,total_flips,total_zone_entries,bars_tested,composite_score
MSFT,5min,25,5,0.7771968910740594,0.24525316455696203,26.018043684710353,0.8010335917312661,3160,129,82226,0.8308606594963701
MSFT,5min,22,5,0.780267227763769,0.2496951219512195,25.06678865507777,0.8225806451612904,3280,186,82226,0.8249165063113774
MSFT,5min,20,5,0.782412668847801,0.2426297169811321,24.238572692421116,0.7588075880758808,3392,246,82226,0.8099097111644411
MSFT,5min,18,5,0.787559427247385,0.2513950892857143,22.939715322355568,0.7555555555555555,3584,330,82226,0.7965515766893115
MSFT,5min,22,4,0.7827390537331071,0.2777155655095185,23.017082049845982,0.7976782752902155,3572,201,82226,0.7953461297977467
MSFT,5min,25,4,0.772587634949281,0.2848467322151533,23.775238646225052,0.76056338028169,3458,142,82226,0.7917280189282634
MSFT,5min,16,5,0.7873605112627278,0.2525092445853143,21.717040951122854,0.7754946727549467,3786,438,82226,0.7874459537102585
MSFT,5min,20,4,0.7871458589950393,0.28156632924880126,21.900612843058887,0.7974842767295597,3754,265,82226,0.7851688850739986
MSFT,5min,14,5,0.7897982015776465,0.2518759379689845,20.565173880410306,0.7768817204301075,3998,620,82226,0.7775975652478544
MSFT,5min,18,4,0.7841957912937807,0.28892821031344795,20.78204804045512,0.7481060606060606,3956,352,82226,0.7641411868617206
MSFT,5min,12,5,0.7940874470338793,0.2583410565338276,19.049594438006952,0.7849702380952381,4316,896,82226,0.7641330262999896
MSFT,5min,16,4,0.7876046915377962,0.2843465773097176,19.6787167823797,0.7737588652482269,4178,470,82226,0.759726033869587
MSFT,5min,25,3,0.7773055681959439,0.3383942357179619,21.155727155727156,0.769392033542977,3886,159,82226,0.7561465749663452
MSFT,5min,22,3,0.7803751649501565,0.3302820385947551,20.339767384310814,0.7856093979441997,4042,227,82226,0.7538412618295829
MSFT,5min,14,4,0.7880927728230459,0.28448665762098596,18.5926261026917,0.7687861271676301,4422,692,82226,0.7486799943309973
