symbol,timeframe,adx_length,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,zone_crossing_accuracy,total_flips,total_zone_entries,bars_tested,composite_score
NFLX,1min,25,5,0.768120590121873,0.2757294004488618,27.127645926876202,0.7168949771689498,3119,146,84611,0.8074441030057825
NFLX,1min,22,5,0.7713532156624061,0.266200182537268,25.74163116250761,0.7007407407407408,3287,225,84611,0.7957616072923954
NFLX,1min,20,5,0.7740505108926161,0.27059843885516044,24.46153846153846,0.7491408934707904,3459,291,84611,0.7910691807836869
NFLX,1min,18,5,0.7743589743589743,0.27300192254875033,23.23901098901099,0.732078853046595,3641,372,84611,0.7767505306930979
NFLX,1min,25,4,0.7721286073987992,0.31397037467325006,24.574084834398604,0.7041666666666666,3443,160,84611,0.7738445891711219
NFLX,1min,16,5,0.7802558782849239,0.2766398755509463,21.9375,0.7807196198234895,3857,491,84611,0.7732067508414168
NFLX,1min,20,4,0.7765052923824397,0.30783242258652094,22.01665799062988,0.7579617834394905,3843,314,84611,0.7614117291338196
NFLX,1min,22,4,0.7761544011544012,0.31241547200432784,22.88582251082251,0.7044534412955464,3697,247,84611,0.7601268550967011
NFLX,1min,14,5,0.7789764344493838,0.27650676506765065,20.81496062992126,0.7595628415300547,4065,671,84611,0.7592737305059247
NFLX,1min,18,4,0.7763525735898701,0.3099876695437731,20.86581154415392,0.7574257425742573,4055,404,84611,0.7501332145507951
NFLX,1min,25,3,0.780185758513932,0.35156048491101366,21.822239422084625,0.7247191011235955,3877,178,84611,0.7449897729162992
NFLX,1min,16,4,0.778245285959171,0.31409207758822155,19.773492286115008,0.7597195666029317,4279,523,84611,0.7400471588152268
NFLX,1min,12,5,0.7747270917260926,0.2882392929979606,19.1733907524932,0.7433691756272401,4413,930,84611,0.737296078085899
NFLX,1min,10,5,0.7803956240730306,0.2922145689835107,17.66054279749478,0.767861683193491,4791,1311,84611,0.7280181823975601
NFLX,1min,22,3,0.7764771460423635,0.3592070695008359,20.206880076445294,0.7272727272727274,4187,275,84611,0.7272765038868632
NFLX,1min,14,4,0.7774081053570581,0.3217658686580277,18.583260105448154,0.7576177285318559,4553,722,84611,0.7265516102372487
NFLX,1min,20,3,0.7773982999392836,0.3578420213976781,19.259562841530055,0.7389210019267823,4393,346,84611,0.7209572281432203
NFLX,1min,18,3,0.7764280549530008,0.3606592929950119,18.349023861171368,0.7688292319164803,4611,447,84611,0.7160083131919124
NFLX,1min,12,4,0.7774142764190112,0.3264437689969605,17.14471017430077,0.7639429312581063,4935,1028,84611,0.7130758439079146
NFLX,1min,8,5,0.7785457113081109,0.2991565135895033,15.859392575928009,0.7694121610240862,5335,1980,84611,0.709268954727032
NFLX,1min,16,3,0.7773844980494365,0.3599008878794136,17.470053696819495,0.7560553633217993,4843,578,84611,0.706516271910871
NFLX,1min,10,4,0.7811705312599605,0.3312837711943358,15.764629146477823,0.7704011065006915,5367,1446,84611,0.7014308586550009
NFLX,1min,25,2,0.7790188348664039,0.4208451937814758,18.524529128339903,0.7089430894308943,4567,205,84611,0.694503091887594
NFLX,1min,14,3,0.7801080299668897,0.3706414948950106,16.298843930635837,0.7543424317617866,5191,806,84611,0.6937339093972072
NFLX,1min,8,4,0.7808688159914957,0.3360890838535515,14.275059061761729,0.7707656612529002,5927,2156,84611,0.686451195868332
NFLX,1min,12,3,0.7808897468015976,0.37750576547809117,15.009048970901349,0.763157894736842,5637,1140,84611,0.6817274104026088
NFLX,1min,22,2,0.7792921074043938,0.42871669717307304,17.20626525630594,0.6919831223628692,4917,316,84611,0.6779381539842341
NFLX,1min,18,2,0.781054183560634,0.42822922424912474,15.589568743088831,0.7739018087855297,5427,516,84611,0.6760655764709103
NFLX,1min,20,2,0.7808368630471056,0.4329162656400385,16.285714285714285,0.7122719734660033,5195,402,84611,0.6719887407952926
