symbol,timeframe,adx_length,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,zone_crossing_accuracy,total_flips,total_zone_entries,bars_tested,composite_score
NVDA,15min,25,5,0.7810370370370371,0.22933333333333333,27.822953736654803,0.7909604519774011,1125,59,31378,0.8346736974262398
NVDA,15min,22,5,0.7856806255395132,0.24317617866004962,25.946192052980134,0.7619047619047619,1209,98,31378,0.8116164589840964
NVDA,15min,25,4,0.7810513731188573,0.2653386454183267,24.992025518341308,0.7666666666666666,1255,70,31378,0.7965963343188432
NVDA,15min,20,5,0.7832558948925432,0.2513703993735317,24.565047021943574,0.709832134292566,1277,139,31378,0.7884982316683663
NVDA,15min,18,5,0.7900005165656836,0.25312729948491536,23.083210603829162,0.7657657657657658,1359,185,31378,0.7854947956221818
NVDA,15min,16,5,0.7789780915660521,0.23796231681786462,21.891061452513966,0.7768817204301076,1433,248,31378,0.7763836645440978
NVDA,15min,22,4,0.7761782200745034,0.28371407516580693,23.114306784660766,0.765079365079365,1357,105,31378,0.773186749038472
NVDA,15min,25,3,0.7796311068109968,0.30206112295664533,22.29018492176387,0.8044444444444444,1407,75,31378,0.7683082056816304
NVDA,15min,18,4,0.7781827970040095,0.27278775781769793,20.87017310252996,0.7783333333333333,1503,200,31378,0.7584436164742729
NVDA,15min,20,4,0.7787572699723279,0.28197879858657243,22.167609618104667,0.7105263157894738,1415,152,31378,0.7578338380723367
NVDA,15min,14,5,0.7758935745433053,0.25431309904153354,20.043478260869566,0.7709611451942741,1565,326,31378,0.7537270522052388
NVDA,15min,12,5,0.7764913371224559,0.25429756965026673,18.59311981020166,0.7849961330239753,1687,431,31378,0.7430133680170748
NVDA,15min,16,4,0.7758073626068951,0.2834058421379739,19.49502487562189,0.777363184079602,1609,268,31378,0.7424559323024541
NVDA,15min,22,3,0.7761357084462802,0.3219672131147541,20.566272965879264,0.7660818713450293,1525,114,31378,0.7408638920937485
NVDA,15min,20,3,0.7783032637117983,0.311589613679544,19.863751584283904,0.7530120481927711,1579,166,31378,0.7359440365051076
NVDA,15min,14,4,0.7761311121941334,0.2913522925130586,18.204413472706154,0.7979225684608121,1723,353,31378,0.7320698971153375
NVDA,15min,18,3,0.7766175119372898,0.3138773079213818,18.681168057210964,0.7968253968253968,1679,210,31378,0.7307281317572102
NVDA,15min,10,5,0.7807907754546184,0.26465753424657534,17.18640350877193,0.7756097560975609,1825,615,31378,0.7278803337218935
NVDA,15min,25,2,0.7779460584958464,0.36105976586568084,19.321824907521577,0.7862318840579711,1623,92,31378,0.7235650312290204
NVDA,15min,12,4,0.7792945984802514,0.29351901446170325,16.79957127545552,0.7914862914862915,1867,462,31378,0.7190469448096096
NVDA,15min,22,2,0.7798000610500609,0.36784268363215733,18.138310185185187,0.8110236220472441,1729,127,31378,0.7156026258689265
NVDA,15min,16,3,0.781627980988647,0.32945091514143093,17.39622641509434,0.76045197740113,1803,295,31378,0.7115866835940631
NVDA,15min,8,5,0.7778592672886924,0.2698961937716263,15.503461918892185,0.7634289919058131,2023,906,31378,0.7085956452820645
NVDA,15min,14,3,0.7795928151499981,0.33004670472236636,16.276220145379025,0.8030690537084398,1927,391,31378,0.7070543000995917
NVDA,15min,20,2,0.7875077046607624,0.38136047134440276,16.79796355841372,0.8156424581005587,1867,179,31378,0.70357014678484
NVDA,15min,10,4,0.7795077186049842,0.3074641621354424,15.503461918892185,0.7726136931534233,2023,667,31378,0.7011583163389543
NVDA,15min,18,2,0.7914014244856222,0.37222509034589574,16.19163223140496,0.8002754820936638,1937,242,31378,0.6994636260970764
NVDA,15min,8,4,0.770364139811023,0.29488919041157846,14.184615384615384,0.7790186125211506,2211,985,31378,0.6902121984157654
NVDA,15min,12,3,0.7784441651572838,0.33781835655934644,15.071153846153846,0.7748091603053435,2081,524,31378,0.6896423888680581
NVDA,15min,16,2,0.7913404401239085,0.3817745803357314,15.042226487523992,0.7876106194690266,2085,339,31378,0.684827324531733
NVDA,15min,25,1,0.7947281967358267,0.44478063540090773,15.812310797174572,0.8068535825545172,1983,107,31378,0.6800674753988696
NVDA,15min,10,3,0.7746456471300552,0.33688415446071907,13.920071047957371,0.764497565294378,2253,753,31378,0.6766567947023165
NVDA,15min,14,2,0.7893637451626055,0.3997332147621165,13.944839857651246,0.7905405405405407,2249,444,31378,0.6702248675598532
NVDA,15min,8,3,0.7751612735997303,0.3348088531187123,12.620772946859903,0.7701252236135957,2485,1118,31378,0.666525542101237
NVDA,15min,12,2,0.7826460118469742,0.39748427672955977,13.149328859060402,0.7729549248747913,2385,599,31378,0.6586500790671871
NVDA,15min,20,1,0.7940983546146335,0.46966390222610216,13.687772925764191,0.8218125960061444,2291,217,31378,0.6567802715168911
NVDA,15min,22,1,0.7934350380767935,0.45997223507635354,14.510648148148148,0.750524109014675,2161,159,31378,0.6556716065918768
NVDA,15min,10,2,0.7850986696305894,0.3949289281598156,12.047655649500385,0.7584097859327216,2603,872,31378,0.6480666157266757
NVDA,15min,18,1,0.7879309420572232,0.4699544135930377,12.996268656716419,0.7913907284768212,2413,302,31378,0.6437723358502968
NVDA,15min,16,1,0.7822982715529306,0.4704247717348154,12.449563145353455,0.8092868988391376,2519,402,31378,0.6394553767318208
NVDA,15min,8,2,0.7907355653820228,0.40771637122002086,10.90125173852573,0.7753370645167176,2877,1254,31378,0.6390808777442746
NVDA,15min,14,1,0.7828536016920612,0.48477064220183486,11.508076358296623,0.7756773787019533,2725,529,31378,0.6225622237364283
NVDA,15min,12,1,0.7894067786992377,0.4803014731072285,10.742974640164496,0.7658623771224308,2919,746,31378,0.6176261428810648
NVDA,15min,10,1,0.7906013609470256,0.4855141674625915,9.984713375796177,0.760178117048346,3141,1048,31378,0.6090751633458886
NVDA,15min,8,1,0.7864383941315914,0.5130142737195634,8.777155655095184,0.7862888768276837,3573,1560,31378,0.5938093392132393
