symbol,timeframe,adx_length,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,zone_crossing_accuracy,total_flips,total_zone_entries,bars_tested,composite_score
QQQ,5min,25,5,0.7989746945898779,0.20484293193717276,30.616366612111293,0.8014184397163121,3056,282,93614,0.8486431760796109
QQQ,5min,22,5,0.7971190910935281,0.21545952525867315,28.474581430745815,0.8185880250223413,3286,373,93614,0.8304261134244307
QQQ,5min,25,4,0.8077988915281077,0.24317102137767221,27.78111078111078,0.7995642701525054,3368,306,93614,0.8187200251026325
QQQ,5min,20,5,0.7976468300272268,0.21849474912485414,27.29121680770353,0.8018400566171268,3428,471,93614,0.8176769774333454
QQQ,5min,18,5,0.8059729178260063,0.22092376182526433,26.03033676593376,0.7902869757174393,3594,604,93614,0.8079550920991002
QQQ,5min,22,4,0.8039977790116603,0.247917823431427,25.976117745070813,0.8018018018018017,3602,407,93614,0.8017997729650312
QQQ,5min,16,5,0.8053949903660885,0.21991592222806094,24.580026281208937,0.807426597582038,3806,772,93614,0.7987331128954391
QQQ,5min,20,4,0.8042200854700855,0.2481303418803419,24.99064921186214,0.8021836865767501,3744,519,93614,0.7938348237656165
QQQ,5min,25,3,0.8024822695035461,0.2872340425531915,24.884011705240756,0.7946428571428572,3760,336,93614,0.7814487828641598
QQQ,5min,18,4,0.8026337862774703,0.2564167086059386,23.54417316889001,0.7835103692463328,3974,659,93614,0.7765957323874914
QQQ,5min,14,5,0.7939068100358423,0.2280058651026393,22.861647518944025,0.7928300586004825,4092,967,93614,0.7764687458990185
QQQ,5min,12,5,0.8009972801450589,0.2370806890299184,21.203128542280663,0.7977673935617862,4412,1284,93614,0.7638795564885434
QQQ,5min,22,3,0.8068087919352173,0.29474467030242935,23.193652367964294,0.7715112075198843,4034,461,93614,0.7638129185181047
QQQ,5min,16,4,0.7972038956958843,0.2587181903864279,22.045958048550553,0.7958382410679231,4244,849,93614,0.7637353047174906
QQQ,5min,20,3,0.8023514458214173,0.29408960915157295,22.298212157330155,0.8009340338587275,4196,571,93614,0.7595182593737906
QQQ,5min,14,4,0.7964750621617668,0.2663448881088197,20.526881720430108,0.7870722433460076,4558,1052,93614,0.747854519002406
QQQ,5min,18,3,0.7948432159310448,0.30584039233169863,20.856410256410257,0.7821557971014492,4486,736,93614,0.7393628172449731
QQQ,5min,10,5,0.7998103751862388,0.2586347013409183,19.00589311115627,0.7902534113060429,4922,1710,93614,0.7390068656973673
QQQ,5min,12,4,0.7995943204868153,0.2718052738336714,18.977885980929194,0.794871794871795,4930,1417,93614,0.7361026668593723
QQQ,5min,25,2,0.8034498411257376,0.3561053109396278,21.23496027241771,0.7894288150042627,4406,391,93614,0.7339909347033003
QQQ,5min,16,3,0.7917876399834093,0.3125259228535877,19.402820991495542,0.7933914306463326,4822,918,93614,0.7264379471927978
